# Degradated scenarios (UTest P-Value)
135
Name;P-Value (TTest);P-Value (UTest);AVG R1;AVG R2;N1;N2;Delta
Entry point for AsyncServletIOTest.testBigRead;0.01158165948038231;0.005158957570721268;3.047027313E8;3.098199172E8;10;10;5117185.899999976
Entry point for AsyncIOServletTest.testAsyncReadThrowsException;1.8609302117724191E-9;1.5705228423079642E-4;3.24363435E7;1.695946325E8;10;10;1.37158289E8
Entry point for AsyncServletTest.testSleep;1.0264111006617581E-5;1.5705228423079642E-4;1.2068363247E9;1.2194336101E9;10;10;1.2597285399999857E7
Entry point for AsyncContextTest.testDispatch;0.0015686525370703333;1.5705228423079642E-4;1.05129119E7;3.01172824E7;10;10;1.96043705E7
Entry point for ServletContextHandlerTest.testUtilDecorator;1.5661081252217331E-9;1.5705228423079642E-4;4.304868546E8;1.0949218569E9;10;10;6.644350023000001E8
Entry point for AsyncIOServletTest.testEmptyAsyncRead;1.3527480310488653E-7;1.5705228423079642E-4;4.99181426E7;1.694215419E8;10;10;1.1950339930000001E8
Entry point for DispatcherForwardTest.testQueryAggregatesWithFormBeforeAndAfterForward;5.469986126392941E-6;1.5705228423079642E-4;4.83771807E7;1.255854988E8;10;10;7.72083181E7
Entry point for GzipHandlerTest.testNotGzipHandler;1.5263702523025833E-5;1.5705228423079642E-4;8419117.4;2.22361825E7;10;10;1.38170651E7
Entry point for ErrorPageTest.testErrorCode;0.0010355099696202478;1.5705228423079642E-4;6252449.5;2.68034907E7;10;10;2.05510412E7
Entry point for AsyncServletTest.testStartWaitDispatchStartWaitDispatch;7.151594393782074E-5;1.5705228423079642E-4;2.79890497E7;4.64401531E7;10;10;1.8451103400000002E7
Entry point for ServletContextHandlerTest.testGzipHandlerSet;0.004492913966719393;0.005158957570721268;8655659.4;4.25110509E7;10;10;3.38553915E7
Entry point for DefaultServletRangesTest.testMultipleRangeRequests;9.293377725264987E-6;1.5705228423079642E-4;9401830.6;2.36682673E7;10;10;1.4266436700000001E7
Entry point for DispatcherTest.testForwardToResourceHandler;3.017070137943505E-4;2.8511808363163027E-4;8751549.6;3.80333066E7;10;10;2.9281757E7
Entry point for ComplianceViolations2616Test.testFoldedHeader;0.07532977189463277;0.0274863361115103;8779662.0;1.2719014222222222E7;10;9;3939352.222222222
Entry point for DispatcherTest.testForwardThenInclude;2.708019227930809E-4;0.0014988733371517071;1.45092874E7;2.88781689E7;10;10;1.4368881499999998E7
Entry point for AsyncContextTest.testStartThrow;0.024446100529204852;0.004677734981047288;5043624.2;2.499886725E7;10;4;1.995524305E7
Entry point for GzipHandlerTest.testAddGetPaths;0.005509791807870759;8.807431907417174E-4;8465442.6;1.67198247E7;10;10;8254382.1
Entry point for AsyncServletTest.testStartDispatch;1.4847418961232957E-14;1.5705228423079642E-4;2.596289327E8;3.633252166E8;10;10;1.0369628390000004E8
Entry point for DispatcherForwardTest.testContentCanBeReadViaInputStreamAfterForwardWithoutQuery;1.0911514301747317E-5;1.5705228423079642E-4;2.63550182E7;1.3659685E8;10;10;1.102418318E8
Entry point for DefaultServletTest.testDirectFromResourceHttpContent;0.006088986849527069;1.5705228423079642E-4;1.11592616E7;3.42631241E7;10;10;2.31038625E7
Entry point for ServletContextHandlerTest.testInitOrder;7.731372525889053E-13;1.5705228423079642E-4;8.85854549E7;2.731882705E8;10;10;1.846028156E8
Entry point for ServletContextHandlerTest.testGzipHandlerOption;1.3149487835743056E-4;1.5705228423079642E-4;2.50571831E7;1.137566054E8;10;10;8.869942230000001E7
Entry point for DefaultServletTest.testFiltered;3.6384227597320434E-8;1.5705228423079642E-4;9.00706004E7;2.813464286E8;10;10;1.9127582820000002E8
Entry point for AsyncServletIOTest.testWrites;1.1761120575095444E-6;1.5705228423079642E-4;2.106861896E8;2.254414487E8;10;10;1.4755259099999994E7
Entry point for AsyncServletTest.testAsyncRead;2.924895054043239E-5;2.1218287122259927E-4;1.5128210898E9;1.5329106038E9;10;10;2.0089514E7
Entry point for DispatcherTest.testIncludeToResourceHandler;2.180577185256789E-4;0.0019397281129029942;2.56465239E7;6.532583E7;10;10;3.96793061E7
Entry point for ServletContextHandlerTest.testHandlerBeforeServletHandler;6.719379804196967E-8;1.5705228423079642E-4;6.28036E7;1.816540146E8;10;10;1.188504146E8
Entry point for DefaultServletRangesTest.testOpenStartRange;0.0016591598739126316;5.065414846923133E-4;8252679.9;2.55638641E7;10;10;1.7311184200000003E7
Entry point for DispatcherTest.testServletForward;1.0338501579208677E-5;2.1218287122259927E-4;8840672.2;2.65464179E7;10;10;1.77057457E7
Entry point for AsyncIOServletTest.testOtherThreadOnAllDataRead;3.666204981201756E-4;1.5705228423079642E-4;1.1266088144E9;1.177858601E9;10;10;5.1249786599999905E7
Entry point for AsyncServletIOTest.testAsync2;4.0038114496383385E-4;1.5705228423079642E-4;8491380.1;2.70924305E7;10;10;1.86010504E7
Entry point for DispatcherForwardTest.testQueryReplacedByForwardWithQuery;7.300652869330027E-14;1.5705228423079642E-4;3.19615876E7;1.937410937E8;10;10;1.617795061E8
