# 1 Members with deviation for scenario Entry point for AsyncServletIOTest.testBigRead | Test = UTest, Value = 0.05
Name;P-Value (TTest);P-Value (UTest);AVG R1;AVG R2;N1;N2;Delta;Variation
Entry point for AsyncServletIOTest.testBigRead;0.01158165948038231;0.005158957570721268;3.047027313E8;3.098199172E8;10;10;5117185.899999976;1
4
Name;P-Value (TTest);P-Value (UTest);AVG R1;AVG R2;N1;N2;Delta;Variation
org.eclipse.jetty.util.log.StdErrLog.debug(java.lang.String,java.lang.Object[]);0.0016061876675472903;0.0010077572524345157;1570.18;1290.2800000000002;50;50;-279.89999999999986;-1
org.eclipse.jetty.servlet.AsyncServletIOTest.process(byte[],int[]);0.011094533747841761;0.005158957570721268;3.04522864E8;3.096852989E8;10;10;5162434.899999976;1
org.eclipse.jetty.servlet.AsyncServletIOTest.process(java.lang.String,int[]);0.011301874753725823;0.005158957570721268;3.046108074E8;3.097537359E8;10;10;5142928.5;1
org.eclipse.jetty.servlet.AsyncServletIOTest.testBigRead();0.01158165948038231;0.005158957570721268;3.047027313E8;3.098199172E8;10;10;5117185.899999976;1
# 1 Added members to the execution of scenario Entry point for AsyncServletIOTest.testBigRead
0
# 1 Removed members from the execution of scenario Entry point for AsyncServletIOTest.testBigRead
0
# 2 Members with deviation for scenario Entry point for AsyncIOServletTest.testAsyncReadThrowsException | Test = UTest, Value = 0.05
Name;P-Value (TTest);P-Value (UTest);AVG R1;AVG R2;N1;N2;Delta;Variation
Entry point for AsyncIOServletTest.testAsyncReadThrowsException;1.8609302117724191E-9;1.5705228423079642E-4;3.24363435E7;1.695946325E8;10;10;1.37158289E8;1
228
Name;P-Value (TTest);P-Value (UTest);AVG R1;AVG R2;N1;N2;Delta;Variation
org.eclipse.jetty.server.AbstractConnector.getAcceptors();0.17764293735335412;0.03260148641743055;1049.9;888.65;20;20;-161.2500000000001;-1
org.eclipse.jetty.util.component.ContainerLifeCycle.updateBean(java.lang.Object,java.lang.Object,boolean);0.0014869862194695378;0.005795918475717254;99362.15;80279.6;20;20;-19082.54999999999;-1
org.eclipse.jetty.server.AbstractConnector.getProtocols();0.28934177340059153;0.023342202012890834;31708.4;7609.7;10;10;-24098.7;-1
org.eclipse.jetty.server.ServerConnector(org.eclipse.jetty.server.Server,java.util.concurrent.Executor,org.eclipse.jetty.util.thread.Scheduler,org.eclipse.jetty.io.ByteBufferPool,int,int,org.eclipse.jetty.server.ConnectionFactory[]);0.06531589115899314;0.0019397281129029942;247107.0;164295.3;10;10;-82811.70000000001;-1
org.eclipse.jetty.util.TreeTrie();0.05380662622510436;0.014019277113960005;2133.5;1414.2;10;10;-719.3;-1
org.eclipse.jetty.util.ConcurrentArrayQueue.newBlock();0.5323067385575905;0.0;7577.235937499987;11217.38671875;1280;1280;3640.150781250013;1
org.eclipse.jetty.servlet.ServletMapping.setServletName(java.lang.String);1.6243987490351175E-5;4.2551280347025155E-6;677.4;472.35;20;20;-205.04999999999995;-1
org.eclipse.jetty.servlet.ServletHandler.invalidateChainsCache();2.909587679457052E-4;0.001852712058466488;606.85;482.875;40;40;-123.97500000000002;-1
org.eclipse.jetty.http.PathMap$MappedEntry(java.lang.String,java.lang.Object);2.1040328468818818E-4;3.182078923228415E-4;676.3333333333334;529.7666666666667;30;30;-146.56666666666672;-1
org.eclipse.jetty.util.component.ContainerLifeCycle$Bean.access$3(org.eclipse.jetty.util.component.ContainerLifeCycle.Bean,org.eclipse.jetty.util.component.ContainerLifeCycle.Managed);0.005952542655865616;0.0;732.9357142857139;465.48571428571427;280;280;-267.4499999999996;-1
org.eclipse.jetty.util.thread.ExecutionStrategy$Factory.getDefault();0.04075705951553501;1.5705228423079642E-4;7713.4;5601.9;10;10;-2111.5;-1
org.eclipse.jetty.util.Uptime$DefaultImpl.getUptime();0.012071386761936467;0.012611144099313965;23528.2;20211.1;10;10;-3317.100000000002;-1
org.eclipse.jetty.server.HttpConfiguration.setDelayDispatchUntilContent(boolean);0.013221979427497829;1.5705228423079642E-4;858.0;493.3;10;10;-364.7;-1
org.eclipse.jetty.server.ShutdownMonitor.listen();0.0016669332341043893;1.5705228423079642E-4;13172.5;10299.1;10;10;-2873.3999999999996;-1
org.eclipse.jetty.util.thread.QueuedThreadPool(int,int,int,java.util.concurrent.BlockingQueue);0.08347618421027768;0.04125001659393934;1291.4;869.2;10;10;-422.20000000000005;-1
org.eclipse.jetty.servlet.ServletHolder.compareTo(org.eclipse.jetty.servlet.ServletHolder);0.0036395098699087466;5.065414846923133E-4;2169.6;1629.1;10;10;-540.5;-1
org.eclipse.jetty.server.Server.getThreadPool();0.0010268445703256605;4.843260828724105E-6;635.6;386.85;20;20;-248.75;-1
org.eclipse.jetty.servlet.ServletMapping.setPathSpec(java.lang.String);7.428598726630362E-4;0.0017021498338631869;1296.9;1016.05;20;20;-280.85000000000014;-1
org.eclipse.jetty.servlet.ServletHolder(org.eclipse.jetty.servlet.BaseHolder.Source);0.031212185925986707;0.04112359406047483;857.05;755.65;20;20;-101.39999999999998;-1
org.eclipse.jetty.util.thread.strategy.ExecuteProduceConsume(org.eclipse.jetty.util.thread.ExecutionStrategy.Producer,java.util.concurrent.Executor);6.290513120213012E-4;5.35358151340537E-4;22343.1;17403.3;20;20;-4939.799999999999;-1
org.eclipse.jetty.server.handler.ContextHandler$ApproveNonExistentDirectoryAliases();0.04325290981246459;0.04125001659393934;621.6;423.8;10;10;-197.8;-1
