# 1 Added members to the execution of scenario Entry point for DispatcherForwardTest.testContentCanBeReadViaInputStreamAfterForwardWithoutQuery
Name;Average;N
Entry point for DispatcherForwardTest.testContentCanBeReadViaInputStreamAfterForwardWithoutQuery;1.74693907E7;10
38
Name;Average;N
org.eclipse.jetty.http.pathmap.PathMappings.put(org.eclipse.jetty.http.pathmap.PathSpec,java.lang.Object);41464.14;50
org.eclipse.jetty.io.AbstractEndPoint.onOpen();6325.8;10
org.eclipse.jetty.http.pathmap.PathSpec.compareTo(org.eclipse.jetty.http.pathmap.PathSpec);881.2333333333333;60
org.eclipse.jetty.server.Server.setErrorHandler(org.eclipse.jetty.server.handler.ErrorHandler);80800.8;10
org.eclipse.jetty.http.pathmap.PathSpec();427.6;50
org.eclipse.jetty.io.AbstractEndPoint.close();9375.3;10
org.eclipse.jetty.servlet.Holder.$SWITCH_TABLE$org$eclipse$jetty$servlet$Source$Origin();1723.1999999999996;30
org.eclipse.jetty.servlet.Holder(org.eclipse.jetty.servlet.Source);11421.166666666668;30
org.eclipse.jetty.http.pathmap.PathMappings.$SWITCH_TABLE$org$eclipse$jetty$http$pathmap$PathSpecGroup();472.86;50
org.eclipse.jetty.util.DateCache.formatTick(long);72070.0;1
org.eclipse.jetty.server.handler.ErrorHandler();981.9;10
org.eclipse.jetty.http.pathmap.PathSpec.getPrefix();402.55;40
org.eclipse.jetty.servlet.ServletMapping(org.eclipse.jetty.servlet.Source);551.6;30
org.eclipse.jetty.util.thread.Locker$UnLock.close();25343.733333333334;30
org.eclipse.jetty.servlet.ServletHandler.newServletHolder(org.eclipse.jetty.servlet.Source);29681.4;10
org.eclipse.jetty.servlet.Source.getOrigin();555.1333333333333;30
org.eclipse.jetty.http.pathmap.MappedResource.compareTo(org.eclipse.jetty.http.pathmap.MappedResource);4681.016666666666;60
org.eclipse.jetty.io.AbstractEndPoint.isOutputShutdown();5755.4;10
org.eclipse.jetty.http.pathmap.ServletPathSpec(java.lang.String);6776.74;50
org.eclipse.jetty.util.URIUtil.encodePath(java.lang.StringBuilder,java.lang.String,int);1769.9;10
org.eclipse.jetty.util.URIUtil.encodePath(java.lang.String);14729.3;10
