# Scenarios executed in the second release, but not in the first
25
Name;Average;N
Entry point for AsyncListenerTest.test_StartAsync_OnTimeout_CalledBy_PooledThread;1.0339139236E9;10
Entry point for GzipHandlerTest.testGzipBomb;5.22010933E7;10
Entry point for DefaultServletTest.testDefaultBrotliOverGzip;1.54751041E7;10
Entry point for AsyncListenerTest.test_StartAsync_Throw_OnError_Nothing;3.21934413E7;10
Entry point for DefaultServletTest.testBrotli;3.39293402E7;10
Entry point for GzipHandlerTest.testGzipRequest;1.44194313E7;10
Entry point for AsyncListenerTest.test_StartAsync_Throw_OnError_Throw;2.141127375E7;8
Entry point for AsyncListenerTest.test_StartAsync_Throw_OnError_SendError;3.71185584E7;10
Entry point for AsyncListenerTest.test_StartAsync_OnTimeout_Throw;5.269234238E8;10
Entry point for DefaultServletRangesTest.testOpenEndRange;8892224.0;1
Entry point for AsyncServletIOTest.testWritesFlushWrites;2.09188426E8;1
Entry point for AsyncServletTest.testNonAsync;1.004449894E9;2
Entry point for AsyncContextListenersTest.testListenerClearedOnSecondRequest;4.9675684E7;1
Entry point for AsyncListenerTest.test_StartAsync_OnComplete_Throw;3.49766504E7;10
Entry point for DefaultServletTest.testCustomCompressionFormats;2.48851695E7;10
Entry point for AsyncListenerTest.test_StartAsync_OnTimeout_SendError_CustomErrorPage;5.388808281E8;10
Entry point for AsyncListenerTest.test_StartAsync_OnTimeout_Dispatch;5.246019643E8;10
Entry point for DefaultServletTest.testCachedBrotli;2.23753374E7;10
Entry point for AsyncServletIOTest.testCompleteWhilePending;6.802219901E8;10
Entry point for AsyncListenerTest.test_StartAsync_OnTimeout_SendError;1.1826771081E9;10
Entry point for AsyncListenerTest.test_StartAsync_Throw_OnError_Complete;1.85455545E7;10
Entry point for AsyncListenerTest.test_StartAsync_Throw_OnError_SendError_CustomErrorPage;2.17210578E7;10
Entry point for AsyncListenerTest.test_StartAsync_Throw_OnError_Dispatch;1.59736929E7;10
Entry point for AsyncListenerTest.test_StartAsync_OnTimeout_Complete;5.245782457E8;10
Entry point for AsyncListenerTest.test_StartAsync_OnTimeout_Nothing;5.222686552E8;10
