# 1 Common members from the execution of scenario Entry point for DispatcherForwardTest.testContentCanBeReadViaInputStreamAfterForwardWithoutQuery | Test = UTest, Value = 0.05
Name;P-Value (TTest);P-Value (UTest);AVG R1;AVG R2;N1;N2;Delta;Variation
Entry point for DispatcherForwardTest.testContentCanBeReadViaInputStreamAfterForwardWithoutQuery;0.06793822833924901;0.03429372103649275;2.56178168E7;1.74693907E7;10;10;-8148426.1000000015;-1
299
Name;P-Value (TTest);P-Value (UTest);AVG R1;AVG R2;N1;N2;Delta;Variation
org.eclipse.jetty.server.AbstractConnector.getAcceptors();4.427252375389049E-4;0.002496908915141538;948.9;650.4;10;10;-298.5;-1
org.eclipse.jetty.util.component.ContainerLifeCycle.updateBean(java.lang.Object,java.lang.Object,boolean);0.24767075080634648;3.56148463090733E-4;363804.55;99175.15;20;20;-264629.4;-1
org.eclipse.jetty.server.AbstractConnector.getProtocols();0.28434603217398446;0.08209870865427438;95834.70000000001;9294.3;10;10;-86540.40000000001;0
org.eclipse.jetty.util.thread.Locker.lock();0.06554580585145595;5.032211237709916E-7;1626.4954128440368;2171.1666666666665;109;30;544.6712538226298;1
org.eclipse.jetty.server.LocalConnector.getResponses(java.lang.String);0.5614777663665758;0.7623688184698398;6114190.8;4800202.8;10;10;-1313988.0;0
org.eclipse.jetty.util.TreeTrie();0.26944524485691557;0.4496917979688907;1890.1;1594.9;10;10;-295.1999999999998;0
org.eclipse.jetty.server.LocalConnector.getResponses(java.lang.String,long,java.util.concurrent.TimeUnit);0.5613721065713928;0.7623688184698398;6104786.3;4790524.4;10;10;-1314261.8999999994;0
org.eclipse.jetty.server.Server.start(org.eclipse.jetty.util.component.LifeCycle);0.029723156863094187;0.11721949434485035;2761358.833333333;1156788.625;30;40;-1604570.208333333;0
org.eclipse.jetty.util.BufferUtil.toBuffer(byte[],int,int);0.5758966939525676;0.1509269500667162;2405.1;2125.6;10;10;-279.5;0
org.eclipse.jetty.util.thread.QueuedThreadPool();0.7971869771598217;0.1509269500667162;653.4;682.5;10;10;29.100000000000023;0
org.eclipse.jetty.servlet.ServletMapping.setServletName(java.lang.String);0.019177536638804088;0.03778201789416724;626.4333333333333;515.0333333333333;30;30;-111.39999999999998;-1
org.eclipse.jetty.servlet.ServletHandler.invalidateChainsCache();0.2198910440353914;0.10261068774999738;588.7333333333333;553.5166666666667;60;60;-35.2166666666667;0
org.eclipse.jetty.util.component.ContainerLifeCycle$Bean.access$3(org.eclipse.jetty.util.component.ContainerLifeCycle.Bean,org.eclipse.jetty.util.component.ContainerLifeCycle.Managed);0.3766991012962977;0.004221245787002115;638.272;871.8148148148142;250;270;233.54281481481416;1
org.eclipse.jetty.util.Uptime$DefaultImpl.getUptime();0.21606386063419047;0.5453496680111235;28208.7;23782.8;10;10;-4425.9000000000015;0
org.eclipse.jetty.server.ShutdownMonitor.listen();0.4639589719069277;0.3257513544787165;13814.9;12983.2;10;10;-831.6999999999989;0
org.eclipse.jetty.server.Server.isDumpAfterStart();0.07451377686611788;0.17361733442494343;1039.4;1231.8;10;10;192.39999999999986;0
org.eclipse.jetty.util.thread.QueuedThreadPool(int,int,int,java.util.concurrent.BlockingQueue);0.9635917164808985;0.4496917979688907;886.0;893.4;10;10;7.399999999999977;0
org.eclipse.jetty.servlet.ServletHolder.compareTo(org.eclipse.jetty.servlet.ServletHolder);0.6112931512500163;0.19414845126597857;1730.4;2215.3;20;20;484.9000000000001;0
org.eclipse.jetty.server.AbstractConnector.getConnectionFactory(java.lang.String);0.033227988211364995;0.01556441138663378;12745.9;10522.9;10;10;-2223.0;-1
org.eclipse.jetty.server.AbstractConnectionFactory.getProtocols();0.7433728469475392;0.8205958397554409;615.6;598.8;10;10;-16.800000000000068;0
org.eclipse.jetty.server.Server.getThreadPool();0.057904955296816815;0.039801145505332536;702.0;584.65;20;20;-117.35000000000002;-1
org.eclipse.jetty.servlet.ServletMapping.setPathSpec(java.lang.String);0.08827346337165694;0.03387428012952021;1101.3;999.7333333333333;30;30;-101.5666666666666;-1
org.eclipse.jetty.server.AbstractConnector.getConnectionFactory(java.lang.Class);0.044354592150051386;0.005158957570721268;6690.8;5720.3;10;10;-970.5;-1
org.eclipse.jetty.io.IdleTimeout.getIdleTimeout();0.3999143391440093;0.13057001811573632;613.1;672.0;10;10;58.89999999999998;0
org.eclipse.jetty.server.handler.ContextHandler.access$4(org.eclipse.jetty.server.handler.ContextHandler);0.23940735724779505;0.03429372103649275;859.2;755.8;10;10;-103.40000000000009;-1
org.eclipse.jetty.server.handler.ContextHandler$ApproveNonExistentDirectoryAliases();0.7216872414852213;0.6501474440948545;540.2;524.0;10;10;-16.200000000000045;0
org.eclipse.jetty.util.thread.ScheduledExecutorScheduler.access$2(org.eclipse.jetty.util.thread.ScheduledExecutorScheduler,java.lang.Thread);0.2700486811776662;0.1509269500667162;770.2;676.4;10;10;-93.80000000000007;0
org.eclipse.jetty.util.thread.ScheduledExecutorScheduler$ScheduledFutureTask(java.util.concurrent.ScheduledFuture);0.3420987080322645;0.19876460637323523;873.5;18715.199999999997;10;10;17841.699999999997;0
