# Optimized scenarios (UTest P-Value)
18
Name;P-Value (TTest);P-Value (UTest);AVG R1;AVG R2;N1;N2;Delta
Entry point for DispatcherForwardTest.testContentCanBeReadViaInputStreamAfterForwardWithoutQuery;0.06793822833924901;0.03429372103649275;2.56178168E7;1.74693907E7;10;10;-8148426.1000000015
Entry point for ServletContextHandlerTest.testGzipHandlerOption;0.0038985224559044862;0.0019397281129029942;2.59763231E7;2.00285994E7;10;10;-5947723.700000003
Entry point for AsyncServletTest.testStartOnTimeoutDispatch;0.01070402119532876;0.023342202012890834;2.136717727E8;2.123814096E8;10;10;-1290363.099999994
Entry point for ServletHolderTest.testJspFileNameToClassName;0.708909251682144;0.0493661947519326;5762974.1;5007378.7;10;10;-755595.3999999994
Entry point for AsyncServletTest.testFwdWrapStartDispatchPath;0.03243535509320118;0.0493661947519326;3.68017735E7;3.15742023E7;10;10;-5227571.199999999
Entry point for AsyncServletTest.testAsyncNotSupportedAsync;0.029611650961433082;0.019109922206844376;1.0123746065E9;1.0104514482E9;10;10;-1923158.2999999523
Entry point for AsyncServletIOTest.testReadWrite;0.23771272185250325;0.01556441138663378;3.554927954E8;3.544928822E8;10;10;-999913.1999999881
Entry point for ServletHandlerTest.testAllAfterFilterMappings;9.132768240527587E-5;1.5705228423079642E-4;2354776.3;926920.2;10;10;-1427856.0999999999
Entry point for AsyncContextTest.testDispatchWithContextAsyncContext;0.017504448945085547;0.019109922206844376;6029114.0;4879703.7;10;10;-1149410.2999999998
Entry point for DispatcherTest.testServletInclude;7.895794232223493E-6;2.8511808363163027E-4;2.01694971E7;1.5105865E7;10;10;-5063632.1000000015
Entry point for AsyncServletTest.testFwdStartDispatch;0.025036523121875386;0.04125001659393934;3.14270236E7;2.81355517E7;10;10;-3291471.9000000022
Entry point for ErrorPageTest.testErrorException;0.003932878450429458;0.008150971593502754;2.191980391E8;2.083244377E8;10;10;-1.0873601400000006E7
Entry point for AsyncServletIOTest.testRead;6.017375905140495E-4;0.01556441138663378;3.043761413E8;3.037752041E8;10;10;-600937.1999999881
Entry point for AsyncServletIOTest.testAsyncConsumeAll;6.975678132995847E-15;1.5705228423079642E-4;1.967818322E8;6662498.7;10;10;-1.901193335E8
Entry point for GzipHandlerTest.testGzipHandler;0.060469023225927634;0.0493661947519326;2.60027205E7;2.23793176E7;10;10;-3623402.8999999985
Entry point for ServletHandlerTest.testAddFilterWithMappingIgnoresDuplicateFilters;1.9072121328299208E-9;1.5705228423079642E-4;4.6959825E7;4.270692E7;10;10;-4252905.0
Entry point for AsyncServletIOTest.testBigWrites;0.06735618285941812;0.019109922206844376;2.0512018889E9;2.0419595714E9;10;10;-9242317.5
Entry point for AsyncServletIOTest.testBigWrite;0.0011140680970708548;1.5705228423079642E-4;6.99367274E7;6.12872337E7;10;10;-8649493.700000003
0.0
0.05
