# Unchanged scenarios (UTest P-Value)
112
Name;P-Value (TTest);P-Value (UTest);AVG R1;AVG R2;N1;N2;Delta
Entry point for AsyncServletIOTest.testBigRead;0.34789649266343015;0.06964240479832817;3.044087937E8;3.040423746E8;10;10;-366419.09999996424
Entry point for AsyncServletTest.testSleep;0.8343570482562045;0.3643461266335529;1.2055887703E9;1.2056667865E9;10;10;78016.20000004768
Entry point for AsyncContextTest.testDispatch;0.06793218846095865;0.08209870865427438;1.06666443E7;1.30441095E7;10;10;2377465.1999999993
Entry point for DispatcherForwardTest.testQueryAggregatesWithFormBeforeAndAfterForward;0.8171723921557712;0.8205958397554409;3.85075218E7;3.75320285E7;10;10;-975493.299999997
Entry point for GzipHandlerTest.testNotGzipHandler;0.1888818894813089;0.13057001811573632;1.05281675E7;1.47731204E7;10;10;4244952.9
Entry point for AsyncServletTest.testStartWaitDispatchStartWaitDispatch;0.6659968889070382;0.7054569861112734;3.02193802E7;2.96122792E7;10;10;-607101.0
Entry point for ServletContextHandlerTest.testGzipHandlerSet;0.6064424067075616;1.0;9071191.0;7974028.7;10;10;-1097162.2999999998
Entry point for DefaultServletRangesTest.testMultipleRangeRequests;0.9492661891605801;0.8798291600118298;9650880.8;9604515.8;10;10;-46365.0
Entry point for GzipHandlerTest.testIncludeGzipHandler;0.37354260339312784;0.22647606604348647;1.7520863E7;1.56625296E7;10;10;-1858333.4000000004
Entry point for ComplianceViolations2616Test.testFoldedHeader;0.8204100582618831;0.8205958397554409;7427104.6;7193145.5;10;10;-233959.09999999963
Entry point for DispatcherTest.testForwardThenInclude;0.913325634181555;0.5967012167293564;1.19750049E7;1.2092625E7;10;10;117620.09999999963
Entry point for AsyncContextTest.testStartThrow;0.9283203298678934;0.8702827722810358;5118718.5;5024981.111111111;10;9;-93737.38888888899
Entry point for GzipHandlerTest.testAddGetPaths;0.532426507789887;0.09630369202868827;8895558.9;1.00206863E7;10;10;1125127.4000000004
Entry point for AsyncServletTest.testStartDispatch;0.7456957390651507;0.49629170223109276;2.030505378E8;2.037928068E8;10;10;742269.0
Entry point for DefaultServletTest.testDirectFromResourceHttpContent;0.12823436260870658;0.17361733442494343;1.15094803E7;1.02126725E7;10;10;-1296807.8000000007
Entry point for ServletContextHandlerTest.testInitOrder;0.5093943951337099;0.5453496680111235;5.67013779E7;6.18427688E7;10;10;5141390.8999999985
Entry point for DefaultServletTest.testFiltered;0.31631300786375205;0.08209870865427438;8.92206304E7;8.05779822E7;10;10;-8642648.200000003
Entry point for AsyncServletIOTest.testWrites;0.11501331302577263;0.25683925795785656;2.095132207E8;2.142098651E8;10;10;4696644.400000006
Entry point for AsyncServletTest.testAsyncRead;0.9978986177959122;0.7054569861112734;1.5118654404E9;1.5118588887E9;10;10;-6551.700000047684
Entry point for ServletContextHandlerTest.testHandlerBeforeServletHandler;0.2471521574295501;0.4056788952850532;7.04851234E7;7.87184104E7;10;10;8233287.0
Entry point for DefaultServletRangesTest.testOpenStartRange;0.9237321275636008;0.8798291600118298;8559306.1;8735330.0;10;10;176023.90000000037
Entry point for DispatcherTest.testServletForward;0.1379491843531874;0.11241058465536369;1.2043013E7;7883488.2;10;10;-4159524.8
Entry point for AsyncServletIOTest.testAsync2;0.23305498221223175;0.8205958397554409;8001543.9;1.11429937E7;10;10;3141449.799999999
Entry point for EncodedURITest.testAsyncServletTestServletEncoded;0.5384208238908432;0.4496917979688907;2.22200005E8;2.254311658E8;10;10;3231160.800000012
Entry point for DispatcherForwardTest.testQueryReplacedByForwardWithQuery;0.6168083788416832;0.4056788952850532;2.55126635E7;2.68746755E7;10;10;1362012.0
Entry point for DispatcherTest.testForward;0.659781271154696;0.7054569861112734;1.65749114E7;1.51072697E7;10;10;-1467641.7000000011
Entry point for GzipHandlerTest.testETagNotGzipHandler;1.0;1.0;1.4273909E7;1.9088436E7;1;2;4814527.0
Entry point for DispatcherTest.testWrappedIncludeToResourceHandler;0.7784361200150672;0.4056788952850532;9876399.5;9176606.0;10;10;-699793.5
Entry point for AsyncServletTest.testAsyncNotSupportedNoAsync;0.6980045149048668;0.13057001811573632;1.0061610518E9;1.005553238E9;10;10;-607813.7999999523
Entry point for AsyncServletTest.testStartWaitDispatch;0.4731719047829387;0.4056788952850532;1.69924929E7;1.82854504E7;10;10;1292957.5
Entry point for GzipHandlerTest.testGzipNotMicro;0.22097452744057045;0.08209870865427438;8635502.1;9673141.4;10;10;1037639.3000000007
Entry point for ServletContextHandlerTest.testFallThrough;0.4850977952590394;0.1509269500667162;3.37588907E7;2.93613654E7;10;10;-4397525.3000000045
