# Degradated methods (Rate method)
177
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.eclipse.jetty.servlet.InvokerTest.testInvoker();5.683640493184398E-11;5.316742601735314E-10;173.1;188.13333333333333;30;30
org.eclipse.jetty.servlet.DefaultServletTest.testFiltered();9.448911403509111E-15;2.8719471245608474E-11;37.93333333333333;67.96666666666667;30;30
org.eclipse.jetty.server.handler.ContextHandler$Context.getInitParameter(java.lang.String);0.3175795884226488;0.969306457291446;0.0;0.017777777777777778;720;900
org.eclipse.jetty.servlet.AsyncServletTest.testFwdStartDispatch();0.0014274936164038634;0.04132536157251043;31.133333333333333;35.8;30;30
org.eclipse.jetty.util.component.ContainerLifeCycle.unmanage(java.lang.Object);0.8936415992335144;0.9921266019549936;0.09242424242424242;0.10158730158730159;660;630
org.eclipse.jetty.server.LocalConnector$LocalEndPoint.waitUntilClosedOrIdleFor(long,java.util.concurrent.TimeUnit);0.30038565716256616;0.28644139834036075;12.520892018779342;13.367365967365968;4260;4290
org.eclipse.jetty.servlet.ServletHandlerTest.testMatchAfterAndBefore();0.14406065372208776;0.39938939501369475;1.0666666666666667;3.1;30;30
org.eclipse.jetty.servlet.DispatcherTest.testForwardToResourceHandler();0.7771870948277932;0.7338250612126413;5.7;6.266666666666667;30;30
org.eclipse.jetty.servlet.ServletHolder.destroyInstance(java.lang.Object);0.6152828589643493;0.9528177302751022;0.05333333333333334;0.09696969696969697;300;330
org.eclipse.jetty.util.IO.close(java.io.OutputStream);0.08340400104401355;0.8777443318342645;0.0;0.0824561403508772;570;570
org.eclipse.jetty.servlet.BaseHolder.doStart();0.11287801502635186;0.9076569595654812;0.01640625;0.04051282051282051;3840;3900
org.eclipse.jetty.util.ssl.SslContextFactory.selectProtocols(java.lang.String[],java.lang.String[]);0.321394279769444;0.8748829885276901;0.0;0.26666666666666666;60;60
org.eclipse.jetty.server.handler.ContextHandler.doStop();0.5185043906093929;0.6818171079102899;2.1666666666666665;2.533333333333333;180;210
