# Unchanged methods (Rate method)
456
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.eclipse.jetty.servlet.AsyncServletLongPollTest.prepare(javax.servlet.http.HttpServlet);0.2804859868264886;0.3952670113331168;424.8666666666667;426.9;30;30
org.eclipse.jetty.util.thread.ScheduledExecutorScheduler.access$2(org.eclipse.jetty.util.thread.ScheduledExecutorScheduler);NaN;1.0;0.0;0.0;2220;2340
org.eclipse.jetty.servlet.ServletContextHandlerTest$2(org.eclipse.jetty.servlet.ServletContextHandlerTest);NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.io.WriteFlusher$WritingState();NaN;1.0;0.0;0.0;240;240
org.eclipse.jetty.server.handler.HandlerList();NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.servlet.AsyncServletTest.process(java.lang.String,java.lang.String);0.7989049244567534;0.4063640258497805;81.03725490196078;82.41568627450981;510;510
org.eclipse.jetty.servlet.FilterHolder$Config(org.eclipse.jetty.servlet.FilterHolder);NaN;1.0;0.0;0.0;120;90
org.eclipse.jetty.util.ArrayTernaryTrie(boolean,int);NaN;1.0;0.0;0.0;7230;7350
org.eclipse.jetty.util.BufferUtil.toBuffer(java.lang.String);1.0;1.0;0.020833333333333332;0.020833333333333332;6000;6000
org.eclipse.jetty.servlet.AsyncServletLongPollTest.testSuspendedRequestCompletedByAnotherRequest();2.3490758037016466E-10;7.31597272540796E-7;620.3666666666667;634.6;30;30
org.eclipse.jetty.servlet.DispatcherForwardTest$16(org.eclipse.jetty.servlet.DispatcherForwardTest);NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.servlet.FilterMapping();NaN;1.0;0.0;0.0;420;420
org.eclipse.jetty.io.WriteFlusher$State(org.eclipse.jetty.io.WriteFlusher.StateType);NaN;1.0;0.0;0.0;720;720
org.eclipse.jetty.io.ByteArrayEndPoint(org.eclipse.jetty.util.thread.Scheduler,long);NaN;1.0;0.0;0.0;4260;4290
org.eclipse.jetty.server.Server.getSessionIdManager();NaN;1.0;0.0;0.0;120;150
org.eclipse.jetty.servlet.FilterHolder(org.eclipse.jetty.servlet.BaseHolder.Source);NaN;1.0;0.0;0.0;300;300
org.eclipse.jetty.server.handler.ContextHandler.getInitParameter(java.lang.String);NaN;1.0;0.0;0.0;720;900
org.eclipse.jetty.servlet.DispatcherForwardTest.testQueryAggregatesWithFormBeforeAndAfterForward();1.0;1.0;13.533333333333333;13.533333333333333;30;30
org.eclipse.jetty.servlet.AsyncServletTest.testSuspendWaitComplete();0.7909689560869242;0.8244957516547711;62.333333333333336;62.36666666666667;30;30
org.eclipse.jetty.server.LocalConnector.getResponses(java.nio.ByteBuffer,long,java.util.concurrent.TimeUnit);0.4364092244069985;0.4436440233435741;15.14718309859155;15.893473193473193;4260;4290
org.eclipse.jetty.util.log.StdErrLog.debug(java.lang.String,java.lang.Object[]);NaN;1.0;0.0;0.0;4920;4980
