# Degradated methods (UTest P-Value)
26
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.eclipse.jetty.servlet.InvokerTest.testInvoker();5.683640493184398E-11;5.316742601735314E-10;173.1;188.13333333333333;30;30
org.eclipse.jetty.servlet.DefaultServletTest.testFiltered();9.448911403509111E-15;2.8719471245608474E-11;37.93333333333333;67.96666666666667;30;30
org.eclipse.jetty.servlet.AsyncServletLongPollTest.testSuspendedRequestCompletedByAnotherRequest();2.3490758037016466E-10;7.31597272540796E-7;620.3666666666667;634.6;30;30
org.eclipse.jetty.servlet.AsyncServletTest.testFwdStartDispatch();0.0014274936164038634;0.04132536157251043;31.133333333333333;35.8;30;30
org.eclipse.jetty.servlet.RequestHeadersTest.testGetLowercaseHeader();5.5561897198778805E-5;1.365242843328618E-4;183.1;197.56666666666666;30;30
org.eclipse.jetty.servlet.ErrorPageTest.testErrorException();5.387630473787696E-6;1.0541422260867961E-5;186.63333333333333;196.63333333333333;30;30
org.eclipse.jetty.servlet.AsyncContextTest.testStartCompleteThrow();7.62694984885079E-12;1.7723908452005332E-8;174.73333333333332;187.23333333333332;30;30
org.eclipse.jetty.servlet.AsyncContextListenersTest.testAsyncDispatchAsyncCompletePreservesListener();1.8652471181764276E-6;3.8020878667666125E-8;601.8333333333334;622.9666666666667;30;30
org.eclipse.jetty.servlet.AsyncServletTest.testSuspendTimeoutSuspendResume();1.2972939633257816E-8;1.067005555688283E-6;200.7;212.3;30;30
org.eclipse.jetty.server.handler.ContextHandler(org.eclipse.jetty.server.handler.ContextHandler.Context);6.805527116719583E-24;3.0544739418880695E-6;0.23103448275862068;2.1946236559139787;870;930
org.eclipse.jetty.servlet.SSLAsyncIOServletTest.testAsyncIOWritesWithAggregation();0.08897935013292968;2.305666058788347E-5;549.2166666666667;587.55;60;60
org.eclipse.jetty.servlet.AsyncServletIOTest.process(int[]);0.7390514487107084;0.008602743998931461;515.9222222222222;546.05;180;180
org.eclipse.jetty.servlet.AsyncServletTest.testSuspendTimeoutSuspendComplete();5.842089441896509E-19;2.4878743509759715E-10;31.233333333333334;45.8;30;30
org.eclipse.jetty.servlet.AsyncServletIOTest.testEmpty();1.5156056474389819E-62;2.8719471245608474E-11;6.8;179.83333333333334;30;30
org.eclipse.jetty.servlet.ResponseHeadersTest.readResponseHeader(java.io.InputStream);1.564897098749914E-18;2.8719471245608474E-11;154.43333333333334;171.7;30;30
org.eclipse.jetty.servlet.AsyncServletIOTest.testWrites();0.017955663038989437;0.040595000536692516;256.3333333333333;261.1;30;30
org.eclipse.jetty.servlet.DefaultServletRangesTest.testNoRangeRequests();8.645410037450677E-12;2.6015113729904726E-8;209.56666666666666;226.76666666666668;30;30
org.eclipse.jetty.servlet.DefaultServletTest.testWelcomeServlet();1.6384808989926688E-15;2.0337964645733564E-9;252.63333333333333;276.7;30;30
org.eclipse.jetty.servlet.AsyncIOServletTest.testAsyncWriteThrowsError();0.019067665916440987;1.2555706918604415E-8;599.1;611.0;30;30
org.eclipse.jetty.servlet.DefaultServletTest.testIfETagSmall();4.3929936720142225E-4;0.012469625319240007;23.866666666666667;30.2;30;30
org.eclipse.jetty.servlet.DispatcherTest.testIncludeThenForward();3.30671020888175E-9;3.2070402775641327E-6;15.233333333333333;29.566666666666666;30;30
org.eclipse.jetty.servlet.ResponseHeadersTest.testResponseHeaderFormat();5.712397106392979E-19;6.373035432716279E-11;171.96666666666667;189.86666666666667;30;30
org.eclipse.jetty.servlet.DefaultServletTest.testWelcomeExactServlet();6.425605225993126E-4;0.014710444453394755;23.433333333333334;29.633333333333333;30;30
org.eclipse.jetty.servlet.DispatcherTest.testServletForwardDotDot();1.216970036502378E-9;1.9492039349255919E-7;207.86666666666667;222.16666666666666;30;30
org.eclipse.jetty.servlet.ServletContextHandlerTest.testReplaceServletHandlerWithoutServlet();3.8301093803137404E-14;4.615909876548585E-10;429.6;453.96666666666664;30;30
org.eclipse.jetty.servlet.DispatcherForwardTest.testQueryRetainedByForwardWithoutQuery();1.8301680188083952E-6;2.8719471245608474E-11;569.2666666666667;597.3333333333334;30;30
0.0
0.05
