# Unchanged methods (Rate method)
535
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.eclipse.jetty.servlet.InvokerTest.testInvoker();0.09876605979725317;0.12057499226022927;172.56666666666666;175.26666666666668;30;30
org.eclipse.jetty.servlet.AsyncServletLongPollTest.prepare(javax.servlet.http.HttpServlet);0.5150554424890332;0.5843624220907104;426.26666666666665;428.03333333333336;30;30
org.eclipse.jetty.util.thread.ScheduledExecutorScheduler.access$2(org.eclipse.jetty.util.thread.ScheduledExecutorScheduler);NaN;1.0;0.0;0.0;2220;2220
org.eclipse.jetty.util.ConcurrentArrayQueue.getBlockSize();NaN;1.0;0.0;0.0;960;960
org.eclipse.jetty.servlet.ServletContextHandlerTest$2(org.eclipse.jetty.servlet.ServletContextHandlerTest);NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.io.WriteFlusher$WritingState();NaN;1.0;0.0;0.0;240;240
org.eclipse.jetty.server.handler.HandlerList();NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.servlet.AsyncServletTest.process(java.lang.String,java.lang.String);0.9739112646552488;0.8315773249848618;80.99607843137255;80.81960784313725;510;510
org.eclipse.jetty.servlet.FilterHolder$Config(org.eclipse.jetty.servlet.FilterHolder);NaN;1.0;0.0;0.0;120;120
org.eclipse.jetty.server.Server.doStart();0.7970607069005716;0.12656484994814432;47.840625;48.74375;960;960
org.eclipse.jetty.servlet.AsyncServletLongPollTest.testSuspendedRequestCompletedByAnotherRequest();0.7655964256942258;0.6048386513275239;620.3333333333334;621.4666666666667;30;30
org.eclipse.jetty.servlet.DispatcherForwardTest$16(org.eclipse.jetty.servlet.DispatcherForwardTest);NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.servlet.FilterMapping();NaN;1.0;0.0;0.0;420;420
org.eclipse.jetty.io.WriteFlusher$State(org.eclipse.jetty.io.WriteFlusher.StateType);NaN;1.0;0.0;0.0;720;720
org.eclipse.jetty.server.AbstractConnector.doStop();1.0;1.0;1.3;1.3;120;120
org.eclipse.jetty.io.ByteArrayEndPoint(org.eclipse.jetty.util.thread.Scheduler,long);NaN;1.0;0.0;0.0;4260;4260
org.eclipse.jetty.util.ConcurrentArrayQueue$1();NaN;1.0;0.0;0.0;120;120
org.eclipse.jetty.servlet.ServletHandler.updateMappings();0.7402204231034619;0.8955897343335886;1.128042328042328;1.1592592592592592;3780;3780
org.eclipse.jetty.servlet.ServletHandler.addServletWithMapping(java.lang.String,java.lang.String);0.9211760360794546;0.9614565448002499;2.8296969696969696;2.850909090909091;1650;1650
org.eclipse.jetty.server.session.AbstractSessionIdManager.doStart();NaN;1.0;0.0;0.0;120;120
org.eclipse.jetty.server.Server.getSessionIdManager();NaN;1.0;0.0;0.0;120;120
org.eclipse.jetty.servlet.FilterHolder(org.eclipse.jetty.servlet.BaseHolder.Source);NaN;1.0;0.0;0.0;300;300
org.eclipse.jetty.server.handler.ContextHandler.getInitParameter(java.lang.String);NaN;1.0;0.0;0.0;720;720
org.eclipse.jetty.servlet.AsyncServletTest.testFwdStartDispatch();0.08265671699409659;0.18332122622250846;31.166666666666668;31.366666666666667;30;30
org.eclipse.jetty.servlet.DispatcherForwardTest.testQueryAggregatesWithFormBeforeAndAfterForward();0.9646398637916607;0.8302552839111964;15.133333333333333;15.166666666666666;30;30
org.eclipse.jetty.servlet.AsyncServletTest.testSuspendWaitComplete();0.44068104996912727;0.5058591780795983;62.36666666666667;62.46666666666667;30;30
org.eclipse.jetty.servlet.AsyncIOServletTest.testAsyncReadThrows(java.lang.Throwable);0.924773775989065;0.7588088384461349;20.75;20.95;60;60
org.eclipse.jetty.server.LocalConnector$LocalEndPoint.waitUntilClosedOrIdleFor(long,java.util.concurrent.TimeUnit);0.8473764837274559;0.6989741605590087;12.588732394366197;12.437323943661971;4260;4260
org.eclipse.jetty.util.thread.ScheduledExecutorScheduler.access$1(org.eclipse.jetty.util.thread.ScheduledExecutorScheduler,java.lang.Thread);NaN;1.0;0.0;0.0;2220;2220
org.eclipse.jetty.server.LocalConnector.getResponses(java.nio.ByteBuffer,long,java.util.concurrent.TimeUnit);0.9744959971016244;0.9236305297535806;15.28943661971831;15.25962441314554;4260;4260
org.eclipse.jetty.util.log.StdErrLog.debug(java.lang.String,java.lang.Object[]);NaN;1.0;0.0;0.0;4920;4920
org.eclipse.jetty.servlet.SSLAsyncIOServletTest$1(org.eclipse.jetty.servlet.SSLAsyncIOServletTest,byte[]);NaN;1.0;0.0;0.0;60;60
org.eclipse.jetty.util.statistic.SampleStatistic();NaN;1.0;0.0;0.0;120;120
org.eclipse.jetty.servlet.ServletContextHandler.getSecurityHandler();NaN;1.0;0.0;0.0;1020;1020
org.eclipse.jetty.util.security.Password.toString();NaN;1.0;0.0;0.0;90;90
org.eclipse.jetty.servlet.ServletContextHandler(org.eclipse.jetty.server.HandlerContainer,java.lang.String,org.eclipse.jetty.server.session.SessionHandler,org.eclipse.jetty.security.SecurityHandler,org.eclipse.jetty.servlet.ServletHandler,org.eclipse.jetty.server.handler.ErrorHandler);NaN;1.0;0.0;0.0;420;420
org.eclipse.jetty.io.SelectorManager$ManagedSelector$Stop.await(long);NaN;1.0;0.0;0.0;60;60
org.eclipse.jetty.io.FillInterest.fillable();NaN;1.0;0.0;0.0;4260;4260
org.eclipse.jetty.servlet.AsyncIOServletTest$2(org.eclipse.jetty.servlet.AsyncIOServletTest);NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.util.component.ContainerLifeCycle.addBean(java.lang.Object,org.eclipse.jetty.util.component.ContainerLifeCycle.Managed);0.6918780243677487;0.9443828563338413;0.20435002529084473;0.19726858877086495;19770;19770
org.eclipse.jetty.util.ArrayTernaryTrie(int);NaN;1.0;0.0;0.0;180;180
org.eclipse.jetty.util.IO.close(java.io.InputStream);NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.util.ssl.SslContextFactory.selectProtocols(java.lang.String[],java.lang.String[]);NaN;1.0;0.0;0.0;60;60
org.eclipse.jetty.util.ArrayUtil.asMutableList(java.lang.Object[]);NaN;1.0;0.0;0.0;360;360
org.eclipse.jetty.io.IdleTimeout.getIdleTimeout();NaN;1.0;0.0;0.0;4260;4260
org.eclipse.jetty.server.LocalConnector.executeRequest(java.nio.ByteBuffer);0.937077415434001;0.8659630881148025;2.3194835680751176;2.306807511737089;4260;4260
org.eclipse.jetty.servlet.AsyncContextTest.testDispatchWithContextAsyncContext();0.9840023282542671;0.9646228051136888;3.1333333333333333;3.1666666666666665;30;30
org.eclipse.jetty.servlet.DispatcherTest.testServletForward();1.0;1.0;6.766666666666667;6.766666666666667;30;30
org.eclipse.jetty.util.MemoryUtils$1.run();NaN;1.0;0.0;0.0;150;150
org.eclipse.jetty.servlet.AsyncIOServletTest$4(org.eclipse.jetty.servlet.AsyncIOServletTest,java.lang.Throwable,java.util.concurrent.CountDownLatch);NaN;1.0;0.0;0.0;60;60
org.eclipse.jetty.servlet.ServletMapping.setDefault(boolean);NaN;1.0;0.0;0.0;930;930
org.eclipse.jetty.servlet.AsyncContextTest.testExpire();0.19318120700417996;0.13732283484699326;120.2;117.43333333333334;30;30
org.eclipse.jetty.server.AbstractConnectionFactory.getProtocol();NaN;1.0;0.0;0.0;2160;2160
org.eclipse.jetty.server.ShutdownMonitor.access$12(org.eclipse.jetty.server.ShutdownMonitor);NaN;1.0;0.0;0.0;960;960
org.eclipse.jetty.server.handler.HandlerCollection();NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.server.Server.start(org.eclipse.jetty.util.component.LifeCycle);0.9123513501705536;0.9294289975476726;5.385;5.343666666666667;3000;3000
org.eclipse.jetty.util.security.CertificateUtils.loadCRL(java.lang.String);NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.util.AttributesMap();1.0;1.0;0.01285140562248996;0.01285140562248996;2490;2490
org.eclipse.jetty.servlet.DispatcherTest$ForwardFilter();NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.http.HttpField(org.eclipse.jetty.http.HttpHeader,java.lang.String,java.lang.String);NaN;1.0;0.0;0.0;3420;3420
org.eclipse.jetty.server.SslConnectionFactory(org.eclipse.jetty.util.ssl.SslContextFactory,java.lang.String);NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.servlet.AsyncServletTest.testSuspendWaitResumeSuspendWaitResume();0.08265671699409659;0.18332122622250846;31.166666666666668;31.366666666666667;30;30
org.eclipse.jetty.server.handler.ContextHandler.getDisplayName();NaN;1.0;0.0;0.0;1020;1020
org.eclipse.jetty.servlet.AsyncServletTest.testFwdStartDispatchPath();0.4561825837192336;0.6573804271100814;31.1;31.166666666666668;30;30
org.eclipse.jetty.server.session.AbstractSessionManager$1();NaN;1.0;0.0;0.0;60;60
org.eclipse.jetty.servlet.AsyncContextListenersTest$1(org.eclipse.jetty.servlet.AsyncContextListenersTest,java.util.concurrent.atomic.AtomicInteger);NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.servlet.ServletContextHandler.addServlet(java.lang.Class,java.lang.String);0.9780749464713826;0.8407164691071826;3.026666666666667;3.0206060606060605;1650;1650
org.eclipse.jetty.http.MimeTypes$Type.asString();NaN;1.0;0.0;0.0;1260;1260
org.eclipse.jetty.io.ByteArrayEndPoint.getOutput();NaN;1.0;0.0;0.0;4260;4260
org.eclipse.jetty.servlet.ServletContextHandler.destroyServlet(javax.servlet.Servlet);NaN;1.0;0.0;0.0;300;300
org.eclipse.jetty.servlet.AsyncContextListenersTest$3(org.eclipse.jetty.servlet.AsyncContextListenersTest,java.util.concurrent.atomic.AtomicInteger);NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.server.AbstractConnector$Acceptor(org.eclipse.jetty.server.AbstractConnector,int,org.eclipse.jetty.server.AbstractConnector.Acceptor);NaN;1.0;0.0;0.0;960;960
org.eclipse.jetty.http.HttpField(org.eclipse.jetty.http.HttpHeader,java.lang.String);NaN;1.0;0.0;0.0;3420;3420
org.eclipse.jetty.servlet.ServletContextHandler.getSessionHandler();0.8416679195088631;0.9169079840517913;1.5085714285714287;1.5638095238095238;1050;1050
org.eclipse.jetty.servlet.AsyncServletIOTest.testWritesFlushWrites();0.7994089862947342;0.8244957516547711;249.53333333333333;249.56666666666666;30;30
org.eclipse.jetty.servlet.RequestHeadersTest.testGetLowercaseHeader();0.9059036677897444;0.6100075520376813;182.53333333333333;182.03333333333333;30;30
org.eclipse.jetty.servlet.AsyncServletTest.testSuspendOnTimeoutDispatch();0.5807403978938477;0.6573804271100814;218.26666666666668;218.33333333333334;30;30
org.eclipse.jetty.servlet.ServletContextHandler(org.eclipse.jetty.server.HandlerContainer,java.lang.String,boolean,boolean);NaN;1.0;0.0;0.0;390;390
org.eclipse.jetty.io.AbstractEndPoint$2(org.eclipse.jetty.io.AbstractEndPoint,org.eclipse.jetty.io.EndPoint);NaN;1.0;0.0;0.0;4260;4260
