# Unchanged methods (TTest P-Value)
845
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.eclipse.jetty.servlet.InvokerTest.testInvoker();0.09876605979725317;0.12057499226022927;172.56666666666666;175.26666666666668;30;30
org.eclipse.jetty.servlet.AsyncServletLongPollTest.prepare(javax.servlet.http.HttpServlet);0.5150554424890332;0.5843624220907104;426.26666666666665;428.03333333333336;30;30
org.eclipse.jetty.servlet.DefaultServletTest.testFiltered();0.3231111252818982;0.2739341544522931;38.5;36.36666666666667;30;30
org.eclipse.jetty.util.thread.ScheduledExecutorScheduler.access$2(org.eclipse.jetty.util.thread.ScheduledExecutorScheduler);NaN;1.0;0.0;0.0;2220;2220
org.eclipse.jetty.util.ConcurrentArrayQueue.getBlockSize();NaN;1.0;0.0;0.0;960;960
org.eclipse.jetty.servlet.ServletContextHandler.callContextInitialized(javax.servlet.ServletContextListener,javax.servlet.ServletContextEvent);0.32558198801619376;0.8244957516547711;0.5333333333333333;0.0;30;30
org.eclipse.jetty.servlet.ServletContextHandlerTest$2(org.eclipse.jetty.servlet.ServletContextHandlerTest);NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.io.WriteFlusher$WritingState();NaN;1.0;0.0;0.0;240;240
org.eclipse.jetty.server.handler.HandlerList();NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.servlet.AsyncServletTest.process(java.lang.String,java.lang.String);0.9739112646552488;0.8315773249848618;80.99607843137255;80.81960784313725;510;510
org.eclipse.jetty.util.component.AbstractLifeCycle.stop();0.6163461487853439;0.8419865015517072;0.8752380952380953;0.8204761904761905;2100;2100
org.eclipse.jetty.servlet.FilterHolder$Config(org.eclipse.jetty.servlet.FilterHolder);NaN;1.0;0.0;0.0;120;120
org.eclipse.jetty.server.handler.ContextHandler$Context.getInitParameter(java.lang.String);0.15744339973279342;0.9272896457670525;0.044444444444444446;0.0;720;720
org.eclipse.jetty.util.ArrayTernaryTrie(boolean,int);0.9636328194137126;0.9999984492567089;0.0021768707482993197;0.0020408163265306124;7350;7350
org.eclipse.jetty.util.BufferUtil.toBuffer(java.lang.String);0.16404510789880078;0.9495814627217044;0.015666666666666666;0.005333333333333333;6000;6000
org.eclipse.jetty.util.component.ContainerLifeCycle.unmanage(org.eclipse.jetty.util.component.ContainerLifeCycle.Bean);0.37505476400663984;0.9329495520816639;0.05545722713864307;0.07817109144542773;3390;3390
org.eclipse.jetty.util.log.StdErrLog.getLevelId(java.lang.String,java.lang.String);0.4935301412043297;0.968030758768827;0.019745649263721552;0.015595716198125836;14940;14940
org.eclipse.jetty.server.Server.doStart();0.7970607069005716;0.12656484994814432;47.840625;48.74375;960;960
org.eclipse.jetty.servlet.AsyncServletLongPollTest.testSuspendedRequestCompletedByAnotherRequest();0.7655964256942258;0.6048386513275239;620.3333333333334;621.4666666666667;30;30
org.eclipse.jetty.server.handler.ContextHandler.getAttribute(java.lang.String);0.15838425897568176;0.8234246789710753;0.0;0.25833333333333336;120;120
org.eclipse.jetty.servlet.DispatcherForwardTest$16(org.eclipse.jetty.servlet.DispatcherForwardTest);NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.util.thread.QueuedThreadPool.newThread(java.lang.Runnable);0.3357309218681932;0.9000067558697453;0.09127604166666667;0.0671875;7680;7680
org.eclipse.jetty.servlet.FilterMapping();NaN;1.0;0.0;0.0;420;420
org.eclipse.jetty.io.WriteFlusher$State(org.eclipse.jetty.io.WriteFlusher.StateType);NaN;1.0;0.0;0.0;720;720
org.eclipse.jetty.server.AbstractConnector.doStop();1.0;1.0;1.3;1.3;120;120
org.eclipse.jetty.io.ByteArrayEndPoint(org.eclipse.jetty.util.thread.Scheduler,long);NaN;1.0;0.0;0.0;4260;4260
org.eclipse.jetty.util.thread.QueuedThreadPool.doStop();0.4221439733911685;0.7357378403219259;1.1666666666666667;0.775;120;120
org.eclipse.jetty.util.ConcurrentArrayQueue$1();NaN;1.0;0.0;0.0;120;120
org.eclipse.jetty.servlet.ServletHandler.updateMappings();0.7402204231034619;0.8955897343335886;1.128042328042328;1.1592592592592592;3780;3780
org.eclipse.jetty.servlet.ServletHandler.addServletWithMapping(java.lang.String,java.lang.String);0.9211760360794546;0.9614565448002499;2.8296969696969696;2.850909090909091;1650;1650
org.eclipse.jetty.server.session.AbstractSessionIdManager.doStart();NaN;1.0;0.0;0.0;120;120
org.eclipse.jetty.server.Server.getSessionIdManager();NaN;1.0;0.0;0.0;120;120
org.eclipse.jetty.servlet.FilterHolder(org.eclipse.jetty.servlet.BaseHolder.Source);NaN;1.0;0.0;0.0;300;300
org.eclipse.jetty.server.handler.ContextHandler.getInitParameter(java.lang.String);NaN;1.0;0.0;0.0;720;720
org.eclipse.jetty.util.thread.QueuedThreadPool.startThreads(int);0.14835425899386667;0.3341609297103809;2.730208333333333;2.221875;960;960
org.eclipse.jetty.servlet.AsyncServletTest.testFwdStartDispatch();0.08265671699409659;0.18332122622250846;31.166666666666668;31.366666666666667;30;30
org.eclipse.jetty.servlet.DispatcherForwardTest.testQueryAggregatesWithFormBeforeAndAfterForward();0.9646398637916607;0.8302552839111964;15.133333333333333;15.166666666666666;30;30
org.eclipse.jetty.util.component.ContainerLifeCycle.unmanage(java.lang.Object);0.5679127677251258;0.924980160764902;0.13333333333333333;0.18115942028985507;690;690
org.eclipse.jetty.servlet.AsyncServletTest.testSuspendWaitComplete();0.44068104996912727;0.5058591780795983;62.36666666666667;62.46666666666667;30;30
org.eclipse.jetty.servlet.AsyncIOServletTest.testAsyncReadThrows(java.lang.Throwable);0.924773775989065;0.7588088384461349;20.75;20.95;60;60
org.eclipse.jetty.server.LocalConnector$LocalEndPoint.waitUntilClosedOrIdleFor(long,java.util.concurrent.TimeUnit);0.8473764837274559;0.6989741605590087;12.588732394366197;12.437323943661971;4260;4260
org.eclipse.jetty.io.IdleTimeout.checkIdleTimeout();0.8581508022217764;0.9851035085698969;0.044366197183098595;0.04765258215962441;4260;4260
org.eclipse.jetty.util.thread.ScheduledExecutorScheduler.access$1(org.eclipse.jetty.util.thread.ScheduledExecutorScheduler,java.lang.Thread);NaN;1.0;0.0;0.0;2220;2220
org.eclipse.jetty.server.LocalConnector.getResponses(java.nio.ByteBuffer,long,java.util.concurrent.TimeUnit);0.9744959971016244;0.9236305297535806;15.28943661971831;15.25962441314554;4260;4260
org.eclipse.jetty.security.SecurityHandler.doStart();0.20365592596490512;0.3750436235586131;2.1;4.2;30;30
org.eclipse.jetty.servlet.ServletHandlerTest.testMatchAfterAndBefore();0.6389954812554457;0.8187456534765798;1.0333333333333332;1.5666666666666667;30;30
org.eclipse.jetty.util.log.StdErrLog.debug(java.lang.String,java.lang.Object[]);NaN;1.0;0.0;0.0;4920;4920
org.eclipse.jetty.servlet.DispatcherTest.testForwardToResourceHandler();0.19732404300094186;0.23984999119107975;8.366666666666667;5.733333333333333;30;30
org.eclipse.jetty.servlet.SSLAsyncIOServletTest$1(org.eclipse.jetty.servlet.SSLAsyncIOServletTest,byte[]);NaN;1.0;0.0;0.0;60;60
org.eclipse.jetty.util.statistic.SampleStatistic();NaN;1.0;0.0;0.0;120;120
org.eclipse.jetty.servlet.ServletContextHandler.getSecurityHandler();NaN;1.0;0.0;0.0;1020;1020
org.eclipse.jetty.server.ShutdownMonitor$ShutdownMonitorRunnable(org.eclipse.jetty.server.ShutdownMonitor);0.434121382169637;0.937134671071515;0.06458333333333334;0.03333333333333333;960;960
org.eclipse.jetty.util.security.Password.toString();NaN;1.0;0.0;0.0;90;90
org.eclipse.jetty.servlet.ServletContextHandler(org.eclipse.jetty.server.HandlerContainer,java.lang.String,org.eclipse.jetty.server.session.SessionHandler,org.eclipse.jetty.security.SecurityHandler,org.eclipse.jetty.servlet.ServletHandler,org.eclipse.jetty.server.handler.ErrorHandler);NaN;1.0;0.0;0.0;420;420
org.eclipse.jetty.servlet.Holder.$SWITCH_TABLE$org$eclipse$jetty$servlet$BaseHolder$Source();0.08341029011828797;0.9534429701919465;0.0;0.011616161616161616;3960;3960
org.eclipse.jetty.io.SelectorManager$ManagedSelector$Stop.await(long);NaN;1.0;0.0;0.0;60;60
org.eclipse.jetty.io.FillInterest.fillable();NaN;1.0;0.0;0.0;4260;4260
org.eclipse.jetty.servlet.ServletHolder.destroyInstance(java.lang.Object);0.5309792245923589;0.9432999918748879;0.10666666666666667;0.05;300;300
org.eclipse.jetty.server.ShutdownMonitor.getInstance();0.8066359922876626;0.977913798975602;0.09068627450980392;0.1;2040;2040
org.eclipse.jetty.server.AbstractConnector.getServer();0.31766157158641084;0.9628253718384707;0.0;0.021739130434782608;690;690
org.eclipse.jetty.util.IO.close(java.io.OutputStream);0.9636402302293092;0.9999282233788329;0.028070175438596492;0.02631578947368421;570;570
org.eclipse.jetty.servlet.ServletContextHandler.addFilter(java.lang.Class,java.lang.String,java.util.EnumSet);0.5743464234628126;0.7824860390333954;8.822222222222223;8.166666666666666;90;90
org.eclipse.jetty.servlet.AsyncIOServletTest$2(org.eclipse.jetty.servlet.AsyncIOServletTest);NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.servlet.AsyncContextTest.testStartFlushCompleteThrow();0.7625327675778418;0.662734758176107;6.233333333333333;5.633333333333333;30;30
org.eclipse.jetty.util.component.ContainerLifeCycle.addBean(java.lang.Object,org.eclipse.jetty.util.component.ContainerLifeCycle.Managed);0.6918780243677487;0.9443828563338413;0.20435002529084473;0.19726858877086495;19770;19770
org.eclipse.jetty.util.log.StdErrLog.getLoggingLevel(java.util.Properties,java.lang.String);0.3398252429085088;0.8734581192245059;0.16208333333333333;0.13270833333333334;4800;4800
org.eclipse.jetty.util.ArrayTernaryTrie(int);NaN;1.0;0.0;0.0;180;180
org.eclipse.jetty.servlet.ServletContextHandlerTest.testReplaceHandler();0.193144002745403;0.5105979366056448;28.533333333333335;26.033333333333335;30;30
org.eclipse.jetty.util.IO.close(java.io.InputStream);NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.servlet.BaseHolder.doStart();0.26148058308835986;0.9373889294172473;0.03666666666666667;0.019743589743589744;3900;3900
org.eclipse.jetty.util.ssl.SslContextFactory.selectProtocols(java.lang.String[],java.lang.String[]);NaN;1.0;0.0;0.0;60;60
org.eclipse.jetty.util.ArrayUtil.asMutableList(java.lang.Object[]);NaN;1.0;0.0;0.0;360;360
org.eclipse.jetty.server.handler.ContextHandler.doStop();0.7584611941127108;0.8664726661122106;1.9944444444444445;1.8277777777777777;180;180
org.eclipse.jetty.servlet.ServletHolder.initMultiPart();0.8058863690037297;0.941340627906191;0.49401709401709404;0.5222222222222223;1170;1170
org.eclipse.jetty.util.component.AbstractLifeCycle.isStarted();0.3173158814978134;0.9953949972350071;3.3311125916055963E-4;0.0;45030;45030
org.eclipse.jetty.io.IdleTimeout.getIdleTimeout();NaN;1.0;0.0;0.0;4260;4260
org.eclipse.jetty.servlet.ServletContextHandler$Context.createFilter(java.lang.Class);0.7283908054058814;0.9032237562433061;0.5222222222222223;0.6777777777777778;90;90
