# Optimized methods (Rate method)
194
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.eclipse.jetty.util.ArrayTernaryTrie(boolean,int);0.3173434324095705;0.9885563734604961;0.0020408163265306124;0.0;7350;7470
org.eclipse.jetty.util.log.StdErrLog.getLevelId(java.lang.String,java.lang.String);0.558913003492837;0.9754132150604184;0.015595716198125836;0.012441783100465734;14940;15030
org.eclipse.jetty.server.handler.ContextHandler.getAttribute(java.lang.String);0.5465623035394833;0.9104262082097934;0.25833333333333336;0.125;120;120
org.eclipse.jetty.util.thread.QueuedThreadPool.newThread(java.lang.Runnable);0.5443603627234166;0.9421477835598862;0.0671875;0.05517676767676768;7680;7920
org.eclipse.jetty.servlet.ServletHandler.updateMappings();0.14055831505102856;0.5371528993478467;1.1592592592592592;1.02421875;3780;3840
org.eclipse.jetty.util.component.ContainerLifeCycle.unmanage(java.lang.Object);0.362860431388246;0.8798304503432347;0.18115942028985507;0.10833333333333334;690;720
org.eclipse.jetty.servlet.AsyncIOServletTest.testAsyncReadThrows(java.lang.Throwable);3.9838322634639495E-4;0.010270563374566;20.95;14.1;60;60
org.eclipse.jetty.io.IdleTimeout.checkIdleTimeout();0.27551489296813736;0.9252573727056793;0.04765258215962441;0.029342723004694836;4260;4260
org.eclipse.jetty.security.SecurityHandler.doStart();0.5424536891658123;0.6361406857702461;4.2;3.1333333333333333;30;30
org.eclipse.jetty.servlet.Holder.$SWITCH_TABLE$org$eclipse$jetty$servlet$BaseHolder$Source();0.08341029011828797;0.953268448899439;0.011616161616161616;0.0;3960;4020
org.eclipse.jetty.servlet.ServletHolder.destroyInstance(java.lang.Object);0.3181190974788869;0.943674862164647;0.05;0.0;300;300
org.eclipse.jetty.server.ShutdownMonitor.getInstance();0.7613934508911284;0.9704356191629095;0.1;0.08857142857142856;2040;2100
org.eclipse.jetty.server.AbstractConnector.getServer();0.31766157158641084;0.9624319787016224;0.021739130434782608;0.0;690;720
org.eclipse.jetty.util.IO.close(java.io.OutputStream);0.317735577070935;0.9591052472396117;0.02631578947368421;0.0;570;570
org.eclipse.jetty.servlet.AsyncContextTest.testStartThrow();5.866159643621588E-10;4.744496840403123E-6;13.033333333333333;2.1;30;30
org.eclipse.jetty.servlet.ServletHolder.initMultiPart();0.3814845268528918;0.8003541179783452;0.5222222222222223;0.42583333333333334;1170;1200
org.eclipse.jetty.server.LocalConnector.executeRequest(java.nio.ByteBuffer);0.24064042468253166;0.5713346053427617;2.306807511737089;2.121830985915493;4260;4260
org.eclipse.jetty.servlet.AsyncContextTest.testDispatchWithContextAsyncContext();0.5078363199793986;0.678900536466896;3.1666666666666665;2.1333333333333333;30;30
org.eclipse.jetty.servlet.ServletHolder.doStop();0.31781540220754134;0.9554432934204162;0.03125;0.0;480;480
org.eclipse.jetty.http.HttpHeader.getBytesColonSpace();0.3173478533463887;0.9878615095800433;0.0023148148148148147;0.0;6480;6480
