# Methods executed in both releases
830
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.eclipse.jetty.servlet.InvokerTest.testInvoker();0.28449110985900816;0.3671365812484356;189.76666666666668;188.13333333333333;30;30
org.eclipse.jetty.servlet.AsyncServletLongPollTest.prepare(javax.servlet.http.HttpServlet);0.7857997960024556;0.7393988193114495;426.3666666666667;426.9;30;30
org.eclipse.jetty.servlet.DefaultServletTest.testFiltered();8.855425038179085E-16;2.8719471245608474E-11;35.86666666666667;67.96666666666667;30;30
org.eclipse.jetty.servlet.ServletContextHandler.callContextInitialized(javax.servlet.ServletContextListener,javax.servlet.ServletContextEvent);0.32558198801619376;0.8244957516547711;0.5;0.0;30;30
org.eclipse.jetty.servlet.ServletContextHandlerTest$2(org.eclipse.jetty.servlet.ServletContextHandlerTest);NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.io.WriteFlusher$WritingState();NaN;1.0;0.0;0.0;240;240
org.eclipse.jetty.server.handler.HandlerList();NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.servlet.AsyncServletTest.process(java.lang.String,java.lang.String);0.8904139667150863;0.6543087435700257;81.66470588235295;82.41568627450981;510;510
org.eclipse.jetty.util.component.AbstractLifeCycle.stop();0.05536702431374337;0.4701378052523172;0.6982142857142857;0.9071729957805907;1680;2370
org.eclipse.jetty.servlet.FilterHolder$Config(org.eclipse.jetty.servlet.FilterHolder);NaN;1.0;0.0;0.0;120;90
org.eclipse.jetty.server.handler.ContextHandler$Context.getInitParameter(java.lang.String);0.9111812900762044;0.9923674776310129;0.020833333333333332;0.017777777777777778;720;900
org.eclipse.jetty.util.ArrayTernaryTrie(boolean,int);0.1575298867099404;0.9764863205742129;0.0043971631205673755;0.0;7050;7350
org.eclipse.jetty.util.BufferUtil.toBuffer(java.lang.String);0.7911426751340545;0.9873790817970888;0.018166666666666668;0.020833333333333332;6000;6000
org.eclipse.jetty.util.component.ContainerLifeCycle.unmanage(org.eclipse.jetty.util.component.ContainerLifeCycle.Bean);0.6635911759773954;0.971344497173195;0.038629283489096576;0.04744744744744745;3210;3330
org.eclipse.jetty.util.log.StdErrLog.getLevelId(java.lang.String,java.lang.String);0.7047808200430706;0.9832056050951029;0.016020671834625324;0.013947536788227768;15480;15630
org.eclipse.jetty.server.Server.doStart();0.11872788030889359;0.23058129724244691;51.52758620689655;45.879411764705885;870;1020
