# Optimized methods (TTest P-Value)
27
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.eclipse.jetty.servlet.AsyncContextTest.testStartThrow();1.9027098551690547E-5;0.0013355914259268742;8.8;1.0666666666666667;30;30
org.eclipse.jetty.servlet.ServletHolder.initMultiPart();0.02843080467002446;0.5277531745105379;0.5638888888888889;0.3194444444444444;1080;1080
org.eclipse.jetty.servlet.ServletContextHandler.getSessionHandler();0.04516293783749325;0.4869174737249209;1.7444444444444445;1.2045454545454546;990;1320
org.eclipse.jetty.servlet.ErrorPageTest.testErrorException();0.002265878678038416;0.024625161703710985;201.8;196.63333333333333;30;30
org.eclipse.jetty.servlet.ServletContextHandlerTest.testFallThrough();8.274592248877791E-26;2.8719471245608474E-11;48.9;19.233333333333334;30;30
org.eclipse.jetty.servlet.DispatcherTest.testInclude();0.012576489761171981;0.029756953000472652;17.7;10.4;30;30
org.eclipse.jetty.util.BlockingArrayQueue(int,int);0.04549572902550574;0.8453126207079578;0.1;0.0;630;630
org.eclipse.jetty.servlet.ServletHolder.initServlet();0.01800678464951134;0.45607737874918197;0.6787037037037037;0.38981481481481484;1080;1080
org.eclipse.jetty.io.SelectorManager.newSelector(int);9.0621932024988E-11;0.0022575349422989666;1.9958333333333333;0.5430555555555555;720;720
org.eclipse.jetty.servlet.ServletHolder.initialize();0.02121663789593231;0.7308004600363222;0.1473170731707317;0.09089430894308943;6150;6150
org.eclipse.jetty.servlet.AsyncContextTest.testStartDispatchThrow();0.025447905323976117;0.19073033347156798;3.6333333333333333;0.5333333333333333;30;30
org.eclipse.jetty.servlet.ServletHandler.addFilterMapping(org.eclipse.jetty.servlet.FilterMapping);0.029873758182886966;0.3561172347455426;1.2365079365079366;0.7682539682539683;630;630
org.eclipse.jetty.servlet.DefaultServletTest.testListingXSS();0.03470437150375667;0.04206682132383566;10.966666666666667;6.733333333333333;30;30
org.eclipse.jetty.http.HttpHeaderValue(java.lang.String,int,java.lang.String);0.03500600029496746;0.8536740569057226;0.06435185185185185;0.014351851851851852;2160;2160
org.eclipse.jetty.server.session.AbstractSessionManager();1.952963753917482E-4;0.01305634610542461;3.775;1.1952380952380952;120;210
org.eclipse.jetty.server.session.AbstractSessionManager.doStart();0.0010347204909699392;0.010195848047593215;5.358333333333333;2.5933333333333333;120;150
org.eclipse.jetty.servlet.AsyncIOServletTest.testAsyncWriteThrowsError();0.025795468058790877;0.10388865931791391;615.1333333333333;611.0;30;30
org.eclipse.jetty.servlet.FilterMapping.setFilterHolder(org.eclipse.jetty.servlet.FilterHolder);0.04556760826229529;0.8875603507513791;0.051666666666666666;0.0;1200;1200
org.eclipse.jetty.servlet.ServletHandler.setFilterMappings(org.eclipse.jetty.servlet.FilterMapping[]);0.03530423802960341;0.46626011493744557;0.7828282828282829;0.4909090909090909;990;990
org.eclipse.jetty.io.IdleTimeout.onClose();0.03498211223157514;0.9101121767865964;0.025586854460093896;0.0037296037296037296;4260;4290
org.eclipse.jetty.servlet.AsyncServletTest.testSuspendWaitResumeSuspend();0.03934368158511152;0.18332122622250846;31.266666666666666;31.066666666666666;30;30
org.eclipse.jetty.io.SelectorManager.doStart();8.436934309741064E-4;0.12770553628370873;8.452777777777778;5.986111111111111;360;360
org.eclipse.jetty.servlet.ServletContextHandler.newSessionHandler();8.820481218043046E-4;0.004481483238955253;14.266666666666667;8.75;120;180
org.eclipse.jetty.io.SelectorManager$ManagedSelector(org.eclipse.jetty.io.SelectorManager,int);4.63934421547129E-10;0.025351044479444584;1.2277777777777779;0.17222222222222222;720;720
org.eclipse.jetty.servlet.ServletHandlerTest.testAllAfterFilterMappings();0.03397215215317257;0.1515467907582635;4.233333333333333;1.0;30;30
org.eclipse.jetty.servlet.DefaultServletTest.testListingContextBreakout();4.2027949428913335E-4;0.0013703325610487926;53.03333333333333;47.166666666666664;30;30
org.eclipse.jetty.servlet.ServletContextHandlerTest.testInitOrder();0.01182186469652696;0.03205359011068276;37.46666666666667;32.666666666666664;30;30
0.0
0.05
