21
degradation,revision,authorexpertise,daysbeforerelease,bug,packages,files,issues,insertions,deletions,churns,deltalines,hunks,hour,day
false,171f7b535280cfe1388f20cb72e998a28a376a92,2974,4,false,1,1,1,2,2,4,0,1,17,5
false,31e448ffd677d9360c4132a63b08fe53c860cf7c,2961,10,false,8,23,1,279,253,532,26,117,15,6
false,395ecd2b70fcbc4719441bdf9ff521b7ef5c7a61,1610,20,false,1,2,1,38,59,97,-21,11,20,3
false,5da7c29787e901a96388c5695a9595932f0e3a58,2947,12,false,1,1,1,35,16,51,19,5,10,4
false,6268421dd039a2c272113427852b4d81c383c7c2,1616,18,false,70,631,1,159489,10930,170419,148559,1595,18,5
false,6a6c8bacda1e64b1be2bf561db92b99e50148126,1043,18,false,1,1,1,17,14,31,3,1,19,5
false,8a555e669a593bf073dc59e81090818c3be6895d,2934,19,true,1,2,1,42,10,52,32,7,11,4
false,8bf6b2c62c814c5d8e160bc41a5a0089e4a4c9d9,2944,17,true,1,1,1,9,1,10,8,4,14,6
false,8d2efaf7eb3c8cb901d83bb19041f35ea770d6f6,1591,38,true,16,27,1,120,121,241,-1,62,9,6
false,8eab088a3538fc043c404ed9ed4dc2b1ce6a771b,2968,4,true,3,3,1,44,5,49,39,6,14,5
false,90e9cfc535dc992b00cb4af21eb7a1ef34da433b,1617,18,true,1,1,1,1,1,2,0,1,19,5
false,9189c934d926209855cfc8a50f129de68f43f818,2965,4,true,1,1,1,1,1,2,0,1,11,5
false,9cc3f4b206abd0a503133765091522e91243849f,1045,11,true,1,2,1,26,4,30,22,3,9,5
false,a6e00bc6425fe23b7434153cbd18fb4235106772,2970,4,false,70,675,1,162094,15005,177099,147089,1676,14,5
false,e3bda4efbefa2370d7d9b594aa97dc60a2b37235,2976,3,false,3,10,1,368,47,415,321,19,13,6
false,ec79a6f88ebdcd9f18953ffd29febc57720f691a,2938,18,false,6,12,1,402,208,610,194,54,12,5
false,f07387c703c5df82c63d13617f1bef20a68ec19c,1039,24,true,2,3,1,41,2,43,39,3,12,6
true,149ee0104705200eaa3a2bfe240c8dabbe921788,1031,33,true,2,3,1,24,7,31,17,12,13,4
true,649eb7f3dc7ca8035fda8c1b33b62c3af19113be,1600,25,false,1,1,1,6,1,7,5,1,10,5
true,738c47bc553d7e90a0d074b99aff5e666d26a7c2,2957,10,false,8,63,1,3907,4453,8360,-546,78,8,6
true,a906aaa266352e19afff373fe353a8810532b95d,2943,17,false,2,2,1,86,55,141,31,8,14,6
