# Methods executed in both releases
457
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
io.netty.channel.DefaultChannelHandlerContext.write(java.lang.Object,io.netty.channel.ChannelPromise);0.00496188883920461;0.6149338457241733;0.08177127709930891;0.04814319397841661;84504;88216
io.netty.channel.DefaultChannelPromise.channel();NaN;1.0;0.0;0.0;91627;95134
io.netty.testsuite.util.BogusKeyStore.asInputStream();NaN;1.0;0.0;0.0;20;20
io.netty.testsuite.util.BogusKeyStore.getCertificatePassword();NaN;1.0;0.0;0.0;20;20
io.netty.testsuite.transport.udt.UDTClientServerConnectionTest.connection();0.9848727023810069;0.7913367801006603;6419.6;6417.9;10;10
io.netty.buffer.AbstractByteBuf.writeMedium(int);0.31788765892062965;0.9523739513675092;0.0380952380952381;0.0;420;420
io.netty.channel.oio.AbstractOioMessageChannel(io.netty.channel.Channel);NaN;1.0;0.0;0.0;233;240
io.netty.channel.socket.nio.NioSocketChannel.config();NaN;1.0;0.0;0.0;20;20
io.netty.buffer.AbstractByteBuf.writableBytes();0.1396792841988831;0.9228688655394447;0.016830149716055755;0.026639132679401135;19370;19370
io.netty.channel.ChannelInitializer();NaN;1.0;0.0;0.0;967;1030
io.netty.buffer.UnpooledHeapByteBuf.setByte(int,int);0.317459941684049;0.9757286363393736;0.019135802469135803;0.0;1620;1620
io.netty.testsuite.transport.socket.SocketEchoTest.testSimpleEcho();0.12706561763340463;0.11241058465536369;3527.1;3596.1;10;10
io.netty.bootstrap.AbstractBootstrap();0.15760739170386429;0.9413446214147057;0.0274822695035461;0.0;1128;1170
io.netty.bootstrap.AbstractBootstrap.localAddress();NaN;1.0;0.0;0.0;499;520
io.netty.bootstrap.ServerBootstrap.newAttrArray(int);NaN;1.0;0.0;0.0;469;490
io.netty.channel.socket.DefaultDatagramChannelConfig(io.netty.channel.socket.DatagramChannel,java.net.DatagramSocket);NaN;1.0;0.0;0.0;140;140
io.netty.channel.DefaultChannelPipeline.writeAndFlush(java.lang.Object,io.netty.channel.ChannelPromise);0.4899877275253154;0.899377873001516;0.2064597846738442;0.16330645161290322;1579;1984
io.netty.channel.socket.oio.OioServerSocketChannel.config();NaN;1.0;0.0;0.0;163;170
io.netty.channel.socket.nio.ProtocolFamilyConverter.convert(io.netty.channel.socket.InternetProtocolFamily);NaN;1.0;0.0;0.0;70;70
io.netty.channel.AdaptiveRecvByteBufAllocator(int,int,int);0.6671703151701016;0.9222027482994007;0.2080536912751678;0.30666666666666664;149;150
io.netty.testsuite.transport.socket.DatagramUnicastTest$1(io.netty.testsuite.transport.socket.DatagramUnicastTest,java.util.concurrent.CountDownLatch);NaN;1.0;0.0;0.0;40;40
io.netty.channel.DefaultChannelHandlerContext.findContextOutbound();8.214222179070876E-5;0.7801631561820228;0.01505212156805168;9.000798820895354E-5;170275;177762
io.netty.testsuite.transport.socket.SocketObjectEchoTest$2(io.netty.testsuite.transport.socket.SocketObjectEchoTest,io.netty.testsuite.transport.socket.SocketObjectEchoTest.EchoHandler);NaN;1.0;0.0;0.0;27;30
io.netty.testsuite.transport.socket.SocketSpdyEchoTest.createFrames(int);0.9623442483733538;0.9748773053458529;28.566666666666666;28.9;60;60
io.netty.channel.DefaultChannelPromise.setSuccess();NaN;1.0;0.0;0.0;40;40
io.netty.channel.ChannelHandlerAdapter();0.08340417265551901;0.9370651119959338;0.021218961625282168;0.0;2215;2320
io.netty.testsuite.transport.socket.SocketObjectEchoTest.testObjectEcho();0.8626231277852205;0.9349253116421172;3813.4444444444443;3811.0;9;10
io.netty.channel.socket.oio.OioDatagramChannel.joinGroup(java.net.InetSocketAddress,java.net.NetworkInterface,io.netty.channel.ChannelPromise);NaN;1.0;0.0;0.0;10;10
io.netty.channel.ChannelMetadata(boolean);NaN;1.0;0.0;0.0;476;480
io.netty.channel.socket.oio.DefaultOioSocketChannelConfig.setTcpNoDelay(boolean);NaN;1.0;0.0;0.0;173;180
io.netty.testsuite.transport.socket.SocketTestPermutation$2$1.toString();0.6276630428624015;0.8873772822210163;0.3875;0.6;80;80
io.netty.bootstrap.AbstractBootstrap.doBind(java.net.SocketAddress);0.9765269291734396;0.7485325067153853;27.786535303776684;27.703174603174602;609;630
io.netty.channel.AbstractChannel.newPromise();0.347715651923579;0.9609082719524201;0.007029876977152899;0.019491525423728815;2276;2360
io.netty.testsuite.transport.socket.SocketFileRegionTest.testFileRegion();0.975081365919573;0.9698499769931556;3691.0;3695.5;10;10
io.netty.testsuite.transport.socket.SocketBufReleaseTest$BufWriterHandler();NaN;1.0;0.0;0.0;60;60
io.netty.testsuite.transport.socket.SocketEchoTest.testSimpleEchoWithAdditionalExecutor();0.269741173308895;0.47719661998877005;4315.125;4240.0;8;10
io.netty.bootstrap.ServerBootstrap.toString();0.5328951920589249;0.9072605138410909;0.06823027718550106;0.0326530612244898;469;490
io.netty.channel.DefaultAddressedEnvelope(java.lang.Object,java.net.SocketAddress);NaN;1.0;0.0;0.0;80;80
