# Optimized methods (TTest P-Value)
82
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
io.netty.testsuite.transport.socket.SocketSpdyEchoTest.testSpdyEchoNotAutoRead(io.netty.bootstrap.ServerBootstrap,io.netty.bootstrap.Bootstrap);7.526966207179487E-16;7.471800955727304E-14;741.5;71.5;60;60
io.netty.testsuite.transport.socket.SocketEchoTest.testSimpleEchoWithVoidPromiseNotAutoRead(io.netty.bootstrap.ServerBootstrap,io.netty.bootstrap.Bootstrap);1.4359858827305613E-7;5.088449942514117E-7;1401.15;406.4;60;60
io.netty.buffer.UnpooledHeapByteBuf.setByte(int,int);0.04556665552631331;0.9343820065660257;0.017796610169491526;0.0;3540;3540
io.netty.testsuite.transport.socket.SocketEchoTest.testSimpleEcho();2.469180013128725E-21;1.5705228423079642E-4;9085.3;3066.9;10;10
io.netty.testsuite.transport.socket.SocketObjectEchoTest.testObjectEcho();2.1471171682475833E-24;1.5705228423079642E-4;8804.6;3165.4;10;10
io.netty.testsuite.transport.socket.SocketEchoTest.testSimpleEcho0(io.netty.bootstrap.ServerBootstrap,io.netty.bootstrap.Bootstrap,boolean,boolean,boolean);1.205359781972207E-32;0.0;1565.3380952380953;569.8452380952381;420;420
io.netty.testsuite.transport.socket.SocketFileRegionTest.testFileRegion();7.209835212720727E-13;1.5705228423079642E-4;8695.5;2884.3;10;10
io.netty.testsuite.transport.socket.SocketEchoTest.testSimpleEchoWithAdditionalExecutor();1.5553506819360493E-14;1.5705228423079642E-4;10444.4;4578.7;10;10
io.netty.buffer.PooledByteBufAllocator(boolean,int,int,int,int);7.071941855922892E-78;0.0;21.8;0.0;160;160
io.netty.testsuite.transport.socket.SocketShutdownOutputBySelfTest.testShutdownOutput(io.netty.bootstrap.Bootstrap);7.625071837170716E-8;4.8708945987741004E-8;1091.225;82.65;40;40
io.netty.testsuite.transport.socket.SocketStringEchoTest.testStringEcho();2.3803990943405057E-8;1.5705228423079642E-4;8885.7;3864.2;10;10
io.netty.testsuite.transport.socket.SocketEchoTest.testSimpleEchoWithVoidPromiseNotAutoRead();6.313084942175067E-27;1.5705228423079642E-4;8409.9;2438.4;10;10
io.netty.testsuite.transport.socket.SocketSslEchoTest.testSslEchoNotAutoRead(io.netty.bootstrap.ServerBootstrap,io.netty.bootstrap.Bootstrap);3.9304874068367446E-49;2.149480593516273E-11;1220.2302083333334;514.196875;960;960
io.netty.testsuite.transport.socket.SocketShutdownOutputByPeerTest.testShutdownOutput();1.743622238171372E-22;1.5705228423079642E-4;2513.1;491.5;10;10
io.netty.testsuite.transport.socket.SocketEchoTest.testSimpleEchoWithAdditionalExecutorNotAutoRead();3.643261675218785E-21;1.5705228423079642E-4;10523.7;4573.9;10;10
io.netty.testsuite.transport.socket.SocketStartTlsTest.testStartTls();3.419048245146461E-21;1.5705228423079642E-4;14312.9;4494.6;10;10
io.netty.testsuite.transport.socket.SocketSslEchoTest.testSslEcho(io.netty.bootstrap.ServerBootstrap,io.netty.bootstrap.Bootstrap,boolean);8.792526283301883E-93;0.0;1222.2729166666666;518.5005208333333;1920;1920
io.netty.testsuite.transport.socket.SocketFixedLengthEchoTest.testFixedLengthEcho();1.2689971694507974E-22;1.5705228423079642E-4;8823.5;3410.2;10;10
io.netty.testsuite.transport.socket.SocketFileRegionTest.testFileRegionVoidPromise();6.354418021921896E-30;1.5705228423079642E-4;8934.1;3135.6;10;10
io.netty.channel.DefaultChannelPromise.await();1.4493142605405566E-38;9.908961475567635E-4;18.25161405288336;10.670135988277345;72953;73021
io.netty.bootstrap.AbstractBootstrap.initAndRegister();0.03768202406297822;0.49515558789436886;4.623901098901099;3.8949175824175826;7280;7280
io.netty.testsuite.transport.socket.SocketShutdownOutputByPeerTest.testShutdownOutputWithoutOption();3.904771712821722E-18;1.5705228423079642E-4;3119.9;1115.5;10;10
io.netty.testsuite.transport.socket.SocketSpdyEchoTest.testSpdyEcho(io.netty.bootstrap.ServerBootstrap,io.netty.bootstrap.Bootstrap,io.netty.handler.codec.spdy.SpdyVersion,boolean);2.194611826594412E-32;0.0;768.2916666666666;108.55833333333334;120;120
io.netty.bootstrap.Bootstrap.init(io.netty.channel.Channel);0.014498445461327265;0.595684892049998;0.23692307692307693;0.13692307692307693;3900;3900
io.netty.testsuite.transport.socket.SocketObjectEchoTest.testObjectEcho(io.netty.bootstrap.ServerBootstrap,io.netty.bootstrap.Bootstrap);2.5115061389105793E-7;7.96003260639111E-7;1467.4333333333334;527.05;60;60
io.netty.testsuite.transport.socket.SocketEchoTest.testSimpleEchoNotAutoRead();1.74515323899895E-17;1.5705228423079642E-4;8447.5;2505.4;10;10
io.netty.channel.AbstractChannel(io.netty.channel.Channel);0.030878273277004868;0.9661525453573578;2.360851648351648;1.8413461538461537;7280;7280
io.netty.channel.socket.oio.OioServerSocketChannel(java.net.ServerSocket);0.0014656783832296366;0.32553128204815907;0.6771929824561403;0.3131578947368421;1140;1140
io.netty.bootstrap.AbstractBootstrap$BootstrapChannelFactory.newChannel();0.0341937364088179;0.6203843199172596;3.8740793201133146;3.1837110481586404;7060;7060
io.netty.testsuite.transport.socket.SocketShutdownOutputByPeerTest.testShutdownOutput(io.netty.bootstrap.ServerBootstrap);2.1421382905722706E-7;3.977041026592687E-5;627.9;122.875;40;40
io.netty.testsuite.transport.socket.SocketSpdyEchoTest.testSpdyEchoNotAutoRead();2.4662538846226733E-40;1.5705228423079642E-4;4452.2;430.5;10;10
