47
degradation,revision,authorexpertise,daysbeforerelease,bug,packages,files,issues,insertions,deletions,churns,deltalines,hunks,hour,day
false,0f6cc0cc7bcc546c124ed875d197f0333bca2da9,853,0,true,1,1,1,7,2,9,5,2,10,2
false,15279b2525f694d1789ce06d74cf2d55a9a64e01,872,5,true,1,1,1,30,27,57,3,1,14,6
false,19c92ceb59b8f2c77511b49cb3e0e9f70c50a711,3547,4,false,1,2,1,59,31,90,28,19,14,6
false,241f856cc721dbf786321a94c987c5026eea5412,41,5,false,2,3,1,32,53,85,-21,8,23,5
false,25f96b164498988439c38baf6ff4c57763464824,855,0,false,1,2,1,29,4,33,25,4,11,2
false,2b3ac3d446c9cc9a0f080fd4aabb9bbe3906d212,867,6,false,3,3,1,127,89,216,38,19,12,5
false,3922c518cdbeb0d8091ce06698e569bc37b54acf,44,2,false,2,2,1,40,33,73,7,3,13,1
false,3b1881b523e61496d9bc50e44927f7b58fa449e6,3557,0,true,1,2,1,114,26,140,88,22,20,4
false,46ea0d4e7b8380cfc8c3f5508ac2a3896262e08e,3533,4,false,2,2,1,110,81,191,29,7,23,5
false,568166d55454a079e558c66c35c867ac5ff7fcd7,3522,0,false,1,1,1,8,15,23,-7,3,10,5
false,5e4169802f407114aa18d1b4265bf5231673b20b,3554,7,false,1,1,1,4,2,6,2,4,11,4
false,5e5df6bd09b30b11deb2d8ee7b12b949636cbdb2,3535,4,false,1,1,1,6,1,7,5,2,23,5
false,5f363e8adeef9ddd118e6906e2848ce0a0b049c7,869,5,false,2,3,1,53,32,85,21,8,11,6
false,67919841467360415308ceb64e0b6d88ed5168bc,3541,4,true,1,1,1,7,28,35,-21,8,9,6
false,6c9c151d662b7b8ca036e86d932bba4e1c4c6729,39,3,false,2,4,1,7,6,13,1,6,19,6
false,6ff87cc20d5b728ebe6be2d6f4a2cb0092f6abf6,866,6,false,1,1,1,10,2,12,8,3,9,5
false,7903697c36bbd79e729695e3ca35e24f7674a5bb,3553,0,false,1,1,1,2,3,5,-1,3,15,3
false,7f86550ef83316352d0d52c0f31836c7b3fb1506,849,3,true,1,1,1,4,2,6,2,1,10,7
false,81612f8e9bc02bdb1bac6f1d6bd4d221668bb559,854,0,true,1,1,1,3,0,3,3,2,10,2
false,8178322c5cc81a4f496a5a493a7adf27d7e31540,3539,4,false,1,1,1,16,0,16,16,3,1,6
false,81de2275e482c8954c85e67be0d2799b53ba6e6e,3558,0,false,1,2,1,13,35,48,-22,2,20,4
false,8828d5327a6a7ddb71dcd0a66ca5f262b1a26e60,3536,4,false,1,2,1,19,8,27,11,7,23,5
false,9c8d980a74d7cf786aabaa233c692e247767aaac,3519,0,true,2,2,1,105,0,105,105,2,10,5
false,a06295fe0ad72358f980d09feb8c971613793527,886,0,true,2,4,1,48,113,161,-65,23,9,5
false,a89b17fa944504a00107d40ecf6043de197f34df,3551,0,false,1,2,1,46,42,88,4,6,14,3
false,a8d67b02825d6fbb1d145c7aaee8382f5f648035,3511,0,false,1,2,1,76,49,125,27,9,21,4
false,ada07cb9e0700dff4ecdc3d20afc46ea46f1bc38,3,0,false,4,16,1,24,24,48,0,22,19,2
false,bcef796dc7cfa340ff1c26231ffbdf5eef397192,3531,4,false,10,23,1,408,560,968,-152,56,20,5
false,bf2430d255956ff32307aea3a5e725ee2be16dc2,43,3,false,4,5,1,39,58,97,-19,8,11,7
false,c79a3cdefe4ced7f7effc94a6862a0d1d5af0dae,3555,0,true,2,3,1,125,82,207,43,8,19,4
false,ca29f1a37d49e86d2b7667ff41cf4dd58e7e1381,881,0,false,1,1,1,2,0,2,2,1,10,4
false,ca59c1201e2ee2abe0c1548b371dcd056cbe2b56,42,5,false,4,5,1,6,22,28,-16,8,9,6
false,cc9b9567b990ad3fa6cdf0bf42b7dd04fd0cb108,3513,0,false,1,1,1,23,10,33,13,7,21,4
false,cffbba94ee476b87a3932d2d5a975e55714657f9,871,5,true,2,3,1,17,43,60,-26,6,14,6
false,d4aa5b53d6410d543834f3d54841bd5eaf95dbee,3549,0,false,1,2,1,8,25,33,-17,4,13,3
false,d5e202d7554f79a7a7d670e371486d66a9f75c9d,3542,4,false,1,1,1,6,3,9,3,2,9,6
false,dcf78961724abf97fea9e768cca02ba65146b324,3510,1,true,1,1,1,4,1,5,3,2,18,3
false,e28594952b7e9e0c7eeced17142484ceb0d5d84b,3520,0,true,1,1,1,19,2,21,17,4,10,5
false,e81368af0632b28a7ba54be49142e2b5bf78d14b,3554,0,false,1,1,1,70,84,154,-14,15,16,4
false,f0a3f849f7d0e028eb97e672a3cbf52648b98617,3517,0,false,1,1,1,2,2,4,0,2,9,5
false,f96a8e595171a5ed75a05ea16da07647de54ca64,3544,4,false,5,6,1,49,2,51,47,14,12,6
false,fa4e15e198911b8b5666a8062b0a5ac41b1aafa5,850,2,false,1,1,1,39,13,52,26,8,18,7
false,fabefba79185ce7ec143d911ae86f5ab8bb08845,868,5,false,1,1,1,1,1,2,0,1,20,5
false,faf8b76b5a5487b0308ebe021f45461881b2c568,3540,4,true,1,1,1,8,5,13,3,1,8,6
false,feb8d101bddc032cf55d6c63bc1020ac6930e30a,851,1,false,1,1,1,6,4,10,2,5,6,2
false,fef838f197ca42189f9760c4927993abd9055c01,3538,4,false,1,1,1,17,14,31,3,1,1,6
true,4cd7e625556f86eb25a4a4cfae20ed0d34aaf5ed,3534,4,false,1,2,1,45,7,52,38,11,23,5
