# Degradated methods (TTest P-Value)
39
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
io.netty.testsuite.transport.socket.SocketEchoTest.testSimpleEcho();2.3729167862418288E-23;1.5705228423079642E-4;3644.1;6895.2;10;10
io.netty.testsuite.transport.socket.SocketObjectEchoTest.testObjectEcho();1.2089485977689124E-13;1.5705228423079642E-4;3883.0;7634.6;10;10
io.netty.testsuite.transport.socket.SocketFileRegionTest.testFileRegion();1.1631797224789614E-32;1.5705228423079642E-4;3825.1;7441.2;10;10
io.netty.testsuite.transport.socket.SocketEchoTest.testSimpleEchoWithAdditionalExecutor();1.6079948647608919E-12;1.5705228423079642E-4;4236.9;8629.8;10;10
io.netty.testsuite.transport.socket.DatagramUnicastTest.testSimpleSendWithoutBind();6.412354473714941E-16;1.5705228423079642E-4;5815.9;12099.5;10;10
io.netty.testsuite.transport.socket.SocketStringEchoTest.testStringEcho();4.643418197145897E-24;1.5705228423079642E-4;3887.5;7616.0;10;10
io.netty.channel.DefaultChannelHandlerContext$WriteTask.newInstance(io.netty.channel.DefaultChannelHandlerContext,java.lang.Object,int,boolean,io.netty.channel.ChannelPromise);0.03328916736676223;0.9628089678022814;0.031292683197672484;0.044432249149868194;90053;204086
io.netty.testsuite.transport.socket.SocketShutdownOutputByPeerTest.testShutdownOutput();3.9816974556906226E-11;1.5705228423079642E-4;229.4;453.9;10;10
io.netty.testsuite.transport.socket.SocketStartTlsTest.testStartTls();3.3602904666452853E-10;1.5705228423079642E-4;6673.2;12145.8;10;10
io.netty.channel.socket.DefaultSocketChannelConfig.setOption(io.netty.channel.ChannelOption,java.lang.Object);0.014313034075371236;0.9772429983332596;0.0;0.047474747474747475;30;1980
io.netty.channel.DefaultChannelPipeline.writeAndFlush(java.lang.Object);0.02538212139853175;0.957530003062135;0.16061435074296482;0.19567498950482778;88093;200092
io.netty.testsuite.transport.socket.SocketFixedLengthEchoTest.testFixedLengthEcho();2.830688532557985E-19;1.5705228423079642E-4;3825.3;7564.3;10;10
io.netty.testsuite.transport.socket.SocketFileRegionTest.testFileRegionVoidPromise();5.946378114523372E-33;1.5705228423079642E-4;3402.1;6803.2;10;10
io.netty.buffer.EmptyByteBuf(io.netty.buffer.ByteBufAllocator,java.nio.ByteOrder);0.00452467634261936;0.6445346999249302;0.0;0.4166666666666667;150;300
io.netty.testsuite.transport.socket.SocketShutdownOutputByPeerTest.testShutdownOutputWithoutOption();6.162888203912656E-27;1.5705228423079642E-4;577.2;1092.0;10;10
io.netty.channel.DefaultChannelHandlerContext.writeAndFlush(java.lang.Object,io.netty.channel.ChannelPromise);0.01220207357612411;0.8602919998567026;0.12276104072046462;0.15404780337700774;90053;204086
io.netty.testsuite.transport.socket.SocketBufReleaseTest$BufWriterHandler.check();0.0023823221461540156;0.4126089273788863;0.0;1.1583333333333332;60;120
io.netty.testsuite.transport.socket.DatagramMulticastTest$MulticastTestHandler.await();8.598063855663641E-4;0.08045624372881;0.8;4.6375;40;80
io.netty.testsuite.transport.socket.SocketSpdyEchoTest.testSpdyEcho();7.256252355414638E-33;1.5705228423079642E-4;2909.4;5569.1;10;10
io.netty.testsuite.transport.socket.DatagramMulticastTest.testMulticast();3.5011998405285485E-12;1.5705228423079642E-4;5357.0;9232.1;10;10
io.netty.testsuite.transport.socket.SocketConnectionAttemptTest.testConnectTimeout(io.netty.bootstrap.Bootstrap);2.1520461331555776E-48;3.55295348697382E-10;13.45;2013.625;20;40
io.netty.channel.DefaultChannelHandlerContext.write(java.lang.Object,boolean,io.netty.channel.ChannelPromise);0.0014084649327671505;0.7830810029833031;0.10147357667151566;0.1389855257097498;90053;204086
io.netty.channel.DefaultChannelConfig.setOption(io.netty.channel.ChannelOption,java.lang.Object);0.0015667651174505613;0.9822140269427171;0.0;0.03679245283018868;30;4240
io.netty.testsuite.transport.socket.SocketShutdownOutputBySelfTest.testShutdownOutput();1.6161244882067992E-29;1.5705228423079642E-4;2372.7;4686.2;10;10
io.netty.buffer.AbstractByteBuf.order(java.nio.ByteOrder);0.04560917994084828;0.9852352922119642;0.0;0.004002323930023885;1925;15491
io.netty.channel.DefaultChannelHandlerContext.writeAndFlush(java.lang.Object);0.018480504514369882;0.9696713194045367;0.15492717923103994;0.1907772424684645;88093;200092
io.netty.testsuite.transport.socket.SocketEchoTest.testSimpleEchoWithVoidPromise();1.1231625495049604E-13;1.5705228423079642E-4;3238.7;6552.0;10;10
io.netty.testsuite.transport.socket.SocketBufReleaseTest.testBufRelease();0.011581869528090797;6.69729449021883E-4;1385.3;2244.9;10;10
io.netty.testsuite.transport.socket.SocketEchoTest.testSimpleEchoWithAdditionalExecutorAndVoidPromise();2.3742618652068935E-12;1.5705228423079642E-4;4271.5;8405.2;10;10
io.netty.testsuite.transport.socket.SocketConnectionAttemptTest.testConnectTimeout();2.0662192183468024E-31;1.5705228423079642E-4;35.5;8056.0;10;10
io.netty.channel.AbstractChannel.writeAndFlush(java.lang.Object);0.022681270543437073;0.9431138309371571;0.16420146890218293;0.20001299402274952;88093;200092
io.netty.testsuite.transport.socket.DatagramUnicastTest.testSimpleSend();6.5360858920875E-12;1.5705228423079642E-4;6151.2;12899.8;10;10
io.netty.channel.DefaultChannelConfig.setOptions(java.util.Map);3.066843282703593E-4;0.7993372943149358;0.0;0.11318681318681319;550;1820
io.netty.channel.nio.NioEventLoop.wakeup(boolean);1.6773768752416328E-9;0.6743124909531417;0.01293470062426781;0.03318865943297165;62313;142850
io.netty.channel.DefaultChannelConfig.validate(io.netty.channel.ChannelOption,java.lang.Object);0.025387029453880272;0.9897613833827785;0.0;0.007806324110671937;230;10120
io.netty.channel.DefaultChannelHandlerContext$WriteTask.access$1(io.netty.channel.DefaultChannelHandlerContext,java.lang.Object,int,boolean,io.netty.channel.ChannelPromise);0.005903752835246199;0.9236334424910221;0.034446381575294546;0.05375674960555844;90053;204086
io.netty.testsuite.transport.socket.SocketSslEchoTest.testSslEcho();1.3026038343546524E-9;1.1699502810991191E-7;2663.0;5372.03125;10;160
