50
degradation,revision,authorexpertise,daysbeforerelease,bug,packages,files,issues,insertions,deletions,churns,deltalines,hunks,hour,day
false,02703e8fc1cf1560fccc7ebd804b274d24acb1b3,3608,15,false,1,1,1,6,3,9,3,1,10,7
false,053c512f6de708f1bb3f402cf6d911f88b1d38aa,1042,20,false,1,1,1,1,1,2,0,1,8,2
false,0bbc3facec1fa6c83b0bec04bdfbefc424230a3f,1055,11,true,1,1,1,7,2,9,5,2,8,5
false,11f95c78e203084ad367c7fcb546f5374e073d3b,3588,20,false,1,1,1,136,77,213,59,21,14,6
false,13d65d7ccfcaa90f8e905e9b6c46aa0f246d8109,1056,11,false,1,1,1,18,0,18,18,3,18,5
false,14600167d6ddc3829831a5470d73f091fc4b9aa7,1040,21,false,1,1,1,4,2,6,2,1,19,7
false,1fcd19a28fbab687eb2be65ad3535d1564d656cc,3627,1,false,1,1,1,15,3,18,12,2,19,7
false,237ba27499e102c6ad43d6111590a6c43570a660,3657,7,false,1,1,1,1,1,2,0,1,23,2
false,393f7b2306f282df852bb487173c725396607ea7,0,17,false,1,1,1,4,0,4,4,1,16,6
false,39b8cc348ab1e3fefbd56751e949ab930db86853,0,4,false,1,1,1,3,2,5,1,1,14,5
false,4116de8360f90f6709b750cb8cdc403a12072850,3608,15,false,1,1,1,6,8,14,-2,1,11,7
false,4ce49a6195ea872569d316798d71bdde11810ab6,1005,15,false,1,1,1,10,2,12,8,1,20,3
false,51ca4f3e91599d6879f14608c83f02a079ea9dac,3582,3,false,1,1,1,20,18,38,2,6,16,2
false,53fcff2eab7836bcf2be262e1fd12712117c4797,996,4,false,2,2,1,7,7,14,0,2,9,4
false,544d68b396c4b7d42a4b07bac0ed101fa8d7d12e,1006,15,false,1,1,1,52,60,112,-8,1,11,4
false,68b616728a08b78f3af77f288f103c1cb0ba2c9c,997,4,true,1,8,1,30,6,36,24,8,10,4
false,7231be592aa65ac1e91d0a319761f7e3df2225e9,1020,16,false,1,2,1,18,4,22,14,4,12,3
false,751943ed00e864f1104806c7e03a1207797cf1b6,3645,11,true,1,1,1,17,10,27,7,3,19,5
false,77054d7ecbaec09f52afb03823ad24b555946a10,1014,0,false,1,1,1,2,0,2,2,1,7,5
false,77b4ec7e1bc0b8c6111728cc074226dd9cfe1b73,1013,3,true,1,5,2,18,7,25,11,5,15,2
false,82b6e75b96c4cd3ae4b51039adcfd21bc83fa983,3616,6,true,1,2,1,5,5,10,0,3,14,2
false,8930cefab8640fa1bef3d1d49f93a23184b1bafe,1006,15,false,1,1,1,38,44,82,-6,2,13,4
false,9fd8bf329d6c5b8e0305e5b75ee43f1ea3b9ef93,963,37,false,2,2,1,31,5,36,26,10,21,6
false,b00f8c63901369babae2009e48f6c4d12b9f4097,1018,18,false,1,2,1,21,2,23,19,2,20,7
false,b53fa5dd709ec00546efc4d606d978b0c64edbf2,1009,12,false,1,1,1,9,6,15,3,1,17,7
false,b65b4199dc8ce2032a6b20a2712caa6aa0c7d2f2,3591,14,false,1,1,1,15,18,33,-3,1,15,5
false,b889d3f559ce9cb8ed715ed6ad9721efa6614b42,1050,1,false,1,1,1,5,0,5,5,2,10,7
false,bab227213ef30a414f3ec3db41c1a28646120a6c,3628,1,false,1,1,1,6,2,8,4,2,20,7
false,bc21443ea904ba37f46c1fb3b9ab99322e3bbb0d,3641,11,true,2,3,1,123,62,185,61,11,18,5
false,bcdb3e88d872c5c6c48de5d9d1953e489640a88a,1000,2,false,1,1,1,1,1,2,0,1,17,6
false,c0936fc8e70ec17f9248b139947cd2e85c793b6f,985,14,true,1,2,1,227,7,234,220,3,15,1
