# Scenarios executed in the second release, but not in the first
12
Name;Average
Entry point for SocketSslEchoTest.testSslEchoNotAutoRead;7341.85
Entry point for SocketFileRegionTest.testFileRegionVoidPromiseNotAutoRead;8859.2
Entry point for SocketEchoTest.testSimpleEchoNotAutoRead;8447.5
Entry point for SocketCancelWriteTest.testCancelWrite;9005.9
Entry point for SocketFileRegionTest.testFileRegionNotAutoRead;9504.9
Entry point for SocketEchoTest.testSimpleEchoWithVoidPromiseNotAutoRead;8409.9
Entry point for SocketStartTlsTest.testStartTlsNotAutoRead;14171.1
Entry point for SocketFixedLengthEchoTest.testFixedLengthEchoNotAutoRead;9625.3
Entry point for SocketSpdyEchoTest.testSpdyEchoNotAutoRead;4452.2
Entry point for SocketObjectEchoTest.testObjectEchoNotAutoRead;9687.8
Entry point for SocketEchoTest.testSimpleEchoWithAdditionalExecutorNotAutoRead;10523.7
Entry point for SocketStringEchoTest.testStringEchoNotAutoRead;10086.8
