# Methods executed in the second release, but not in the first
49
Name;Average
io.netty.buffer.PoolThreadCache$MemoryRegionCache.add(io.netty.buffer.PoolChunk,long);0.0
io.netty.channel.socket.nio.NioSocketChannel.newSocket(java.nio.channels.spi.SelectorProvider);0.033771929824561404
io.netty.testsuite.transport.socket.SocketTestPermutation$3(io.netty.testsuite.transport.socket.SocketTestPermutation);0.0
io.netty.testsuite.transport.socket.SocketTestPermutation$2(io.netty.testsuite.transport.socket.SocketTestPermutation);0.0
io.netty.buffer.PooledByteBufAllocator(boolean,int,int,int,int,int,int,int);22.40625
io.netty.buffer.PoolThreadCache.log2(int);0.0
io.netty.testsuite.transport.socket.SocketTestPermutation$4(io.netty.testsuite.transport.socket.SocketTestPermutation);0.0
io.netty.buffer.PoolArena.isTinyOrSmall(int);0.0
io.netty.channel.ChannelHandlerAdapter$1();0.0
io.netty.buffer.PooledByteBufAllocator.access$3(io.netty.buffer.PooledByteBufAllocator);0.0
io.netty.buffer.PoolArena$DirectArena.isDirect();0.0
io.netty.buffer.PoolThreadCache$NormalMemoryRegionCache(int);0.0
io.netty.testsuite.transport.socket.SocketTestPermutation$7(io.netty.testsuite.transport.socket.SocketTestPermutation);0.0
io.netty.channel.socket.nio.NioServerSocketChannel(java.nio.channels.ServerSocketChannel);0.7691964285714286
io.netty.buffer.PooledByteBufAllocator.access$6();0.0
io.netty.testsuite.transport.socket.SocketTestPermutation$4.newInstance();0.5660714285714286
io.netty.testsuite.transport.socket.SocketTestPermutation();149.00625
io.netty.buffer.PoolThreadCache.cache(io.netty.buffer.PoolThreadCache.MemoryRegionCache[],int);0.0
io.netty.buffer.PoolThreadCache.createNormalCaches(int,int,io.netty.buffer.PoolArena);18.05
io.netty.buffer.PoolThreadCache$MemoryRegionCache.powerOfTwo(int);0.0
io.netty.buffer.PooledByteBufAllocator.access$5();0.0
io.netty.buffer.PooledByteBufAllocator.access$2(io.netty.buffer.PooledByteBufAllocator);0.0
io.netty.buffer.PoolThreadCache$MemoryRegionCache$Entry(io.netty.buffer.PoolThreadCache.MemoryRegionCache.Entry);0.0
io.netty.buffer.PoolThreadCache$MemoryRegionCache.nextIdx(int);0.0
io.netty.buffer.PoolThreadCache.createSubPageCaches(int,int);74.375
io.netty.buffer.PoolArena.smallIdx(int);0.0
io.netty.buffer.PoolThreadCache$MemoryRegionCache$Entry();0.0
io.netty.buffer.PoolThreadCache$MemoryRegionCache(int);4.17
io.netty.buffer.PooledByteBufAllocator.access$1(io.netty.buffer.PooledByteBufAllocator);0.0
io.netty.buffer.PoolThreadCache.add(io.netty.buffer.PoolArena,io.netty.buffer.PoolChunk,long,int);0.26666666666666666
io.netty.channel.socket.oio.DefaultOioSocketChannelConfig.setSoTimeout(int);0.0
io.netty.buffer.PoolThreadCache(io.netty.buffer.PoolArena,io.netty.buffer.PoolArena,int,int,int,int,int);335.2
io.netty.channel.ChannelHandlerAdapter$1.initialValue();0.0
io.netty.channel.socket.oio.DefaultOioServerSocketChannelConfig.setSoTimeout(int);0.013157894736842105
io.netty.testsuite.transport.socket.SocketTestPermutation$1(io.netty.testsuite.transport.socket.SocketTestPermutation,io.netty.testsuite.transport.TestsuitePermutation.BootstrapFactory,io.netty.testsuite.transport.TestsuitePermutation.BootstrapFactory);0.0
io.netty.buffer.PoolThreadCache.cacheForSmall(io.netty.buffer.PoolArena,int);0.0
io.netty.buffer.EmptyByteBuf.writerIndex();0.0
io.netty.channel.socket.nio.NioDatagramChannel.newSocket(java.nio.channels.spi.SelectorProvider,io.netty.channel.socket.InternetProtocolFamily);0.13636363636363635
io.netty.buffer.PooledByteBufAllocator$PoolThreadLocalCache.get();55.86666666666667
io.netty.buffer.PoolArena.isTiny(int);0.0
io.netty.buffer.PoolArena.free(io.netty.buffer.PoolChunk,long,int);56.13333333333333
io.netty.buffer.PooledByteBufAllocator.access$4(io.netty.buffer.PooledByteBufAllocator);0.0
io.netty.testsuite.transport.socket.SocketTestPermutation.combo(java.util.List,java.util.List);0.4879310344827586
io.netty.testsuite.transport.socket.SocketTestPermutation$6(io.netty.testsuite.transport.socket.SocketTestPermutation);0.0
io.netty.testsuite.transport.socket.SocketTestPermutation$5(io.netty.testsuite.transport.socket.SocketTestPermutation);0.0
io.netty.buffer.PooledByteBufAllocator.access$0(io.netty.buffer.PooledByteBufAllocator);0.0
io.netty.buffer.PoolThreadCache$SubPageMemoryRegionCache(int);0.0
io.netty.channel.socket.nio.NioServerSocketChannel.newSocket(java.nio.channels.spi.SelectorProvider);0.027678571428571427
io.netty.buffer.PooledByteBufAllocator$PoolThreadLocalCache(io.netty.buffer.PooledByteBufAllocator);0.0
