# Optimized methods (Rate method)
83
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
io.netty.channel.DefaultChannelHandlerContext.write(java.lang.Object,io.netty.channel.ChannelPromise);0.3719198207428265;1.2058132270453825E-12;0.08177127709930891;0.04814319397841661;357;249
io.netty.buffer.AbstractByteBuf.writeMedium(int);1.0;1.0;0.0380952380952381;0.0;1;0
io.netty.buffer.UnpooledHeapByteBuf.setByte(int,int);1.0;1.0;0.019135802469135803;0.0;1;0
io.netty.bootstrap.AbstractBootstrap();1.0;1.0;0.0274822695035461;0.0;2;0
io.netty.channel.DefaultChannelPipeline.writeAndFlush(java.lang.Object,io.netty.channel.ChannelPromise);0.9487207272903496;0.7815112949987135;0.2064597846738442;0.16330645161290322;19;19
io.netty.channel.DefaultChannelHandlerContext.findContextOutbound();1.0;1.0;0.01505212156805168;9.000798820895354E-5;94;1
io.netty.channel.ChannelHandlerAdapter();1.0;1.0;0.021218961625282168;0.0;3;0
io.netty.bootstrap.ServerBootstrap.toString();1.0;1.0;0.06823027718550106;0.0326530612244898;3;1
io.netty.channel.group.DefaultChannelGroup(java.lang.String,io.netty.util.concurrent.EventExecutor);1.0;1.0;3.1;1.5;2;1
io.netty.channel.DefaultChannelPipeline.addLast0(java.lang.String,io.netty.channel.DefaultChannelHandlerContext);0.0699902890537498;0.1952049704040013;0.3981164383561644;0.3611570247933884;33;28
io.netty.bootstrap.Bootstrap.doConnect(java.net.SocketAddress,java.net.SocketAddress);0.9695850988696172;0.2545281101704311;15.773547094188377;14.648076923076923;248;239
io.netty.bootstrap.Bootstrap.doConnect0(io.netty.channel.ChannelFuture,io.netty.channel.Channel,java.net.SocketAddress,java.net.SocketAddress,io.netty.channel.ChannelPromise);1.0;1.0;0.11188811188811189;0.0;1;0
io.netty.channel.socket.nio.NioSocketChannel.shutdownOutput();1.0;1.0;3.0;1.6;2;1
io.netty.channel.AbstractChannel$AbstractUnsafe.register(io.netty.channel.EventLoop,io.netty.channel.ChannelPromise);0.0626167877527024;0.7333020381832176;0.35379061371841153;0.31130434782608696;28;23
io.netty.testsuite.transport.socket.SocketShutdownOutputByPeerTest.testShutdownOutput();0.02287307322472529;0.045154569624278995;254.7;240.2;10;10
io.netty.channel.DefaultChannelPipeline.writeAndFlush(java.lang.Object);0.022592051253192816;0.0;0.1932227916792282;0.11683597736339178;754;589
io.netty.buffer.Unpooled.wrappedBuffer(byte[]);0.08646201696761457;7.403254789785096E-4;0.1106269761702784;0.10335742246311352;157;125
io.netty.channel.socket.nio.NioServerSocketChannel.javaChannel();1.0;1.0;0.04335260115606936;0.0;1;0
io.netty.channel.socket.nio.NioSocketChannel.shutdownOutput(io.netty.channel.ChannelPromise);1.0;1.0;3.0;1.6;2;1
io.netty.buffer.AbstractReferenceCountedByteBuf(int);1.0;1.0;5.739649498737277E-4;0.0;1;0
io.netty.channel.DefaultChannelHandlerContext.writeAndFlush(java.lang.Object,io.netty.channel.ChannelPromise);0.016629672503779572;7.882583474838611E-15;0.15271466439458486;0.08015552734197878;598;425
io.netty.testsuite.transport.socket.SocketShutdownOutputByPeerTest.testShutdownOutput(io.netty.bootstrap.ServerBootstrap);0.17846401847558258;0.3301542612343652;125.8;119.3;20;20
io.netty.channel.AbstractChannel.writeAndFlush(java.lang.Object,io.netty.channel.ChannelPromise);0.9488683759589555;0.7867749320074033;0.21595946801773275;0.17086693548387097;20;20
io.netty.bootstrap.Bootstrap.connect();0.9960696233906827;0.2260033618103503;13.652452025586355;12.489795918367347;229;219
io.netty.channel.SingleThreadEventLoop.register(io.netty.channel.Channel,io.netty.channel.ChannelPromise);0.06048496142346798;0.6782246933005027;0.40974729241877256;0.3791304347826087;32;28
io.netty.channel.socket.oio.OioDatagramChannel.newSocket();0.43548826733696566;1.0;0.9714285714285714;0.44285714285714284;5;2
io.netty.handler.ssl.SslHandler(javax.net.ssl.SSLEngine,boolean,java.util.concurrent.Executor);1.0;1.0;0.5333333333333333;0.26666666666666666;2;1
io.netty.channel.socket.DefaultSocketChannelConfig.setTcpNoDelay(boolean);1.0;1.0;0.03206412825651302;0.0;1;0
io.netty.bootstrap.AbstractBootstrap.handler();1.0;1.0;0.008854454897620365;0.0;1;0
io.netty.channel.FixedRecvByteBufAllocator(int);1.0;1.0;1.05;0.8;2;1
io.netty.channel.DefaultChannelHandlerContext.flush();0.04274577855852482;3.237550220728247E-4;0.054577298116065515;0.023691847283939423;191;129
io.netty.channel.DefaultChannelPipeline.generateName(io.netty.channel.ChannelHandler);0.28488968097403056;0.5083315735521454;0.026595744680851064;0.017378917378917377;7;4
io.netty.channel.nio.AbstractNioChannel.eventLoop();0.16093291176490465;0.5207267196881924;0.007443396115569446;0.0025332024418040465;38;28
io.netty.channel.DefaultChannelPipeline.checkMultiplicity(io.netty.channel.ChannelHandlerContext);0.07401522609630279;0.25751798224906297;0.3287671232876712;0.30991735537190085;27;24
io.netty.testsuite.transport.socket.SocketConnectionAttemptTest.testConnectTimeout(io.netty.bootstrap.Bootstrap);0.11894947095761724;0.1569066705561879;11.65;10.05;11;12
io.netty.bootstrap.AbstractBootstrap.channel(java.lang.Class);0.1234761530719195;0.9840305936314757;0.23950381679389313;0.1853211009174312;18;13
io.netty.channel.AbstractChannel.eventLoop();1.0;1.0;6.254373174993452E-5;0.0;1;0
io.netty.channel.AdaptiveRecvByteBufAllocator();1.0;1.0;0.10738255033557047;0.0;1;0
io.netty.channel.DefaultChannelPipeline(io.netty.channel.Channel);0.002325289812770768;0.2723275957093314;2.435018050541516;2.1382608695652174;155;154
io.netty.testsuite.transport.socket.SocketTestPermutation$6.newInstance();1.0;1.0;0.3619631901840491;0.08823529411764706;6;1
io.netty.buffer.Unpooled.wrappedBuffer(byte[],int,int);0.03994298708006967;6.460262802487904E-8;0.15820976212542479;0.12820319565872776;251;168
io.netty.channel.DefaultChannelHandlerContext.newPromise();0.545089827814179;0.15462926240889951;0.024764823261117445;0.019860213334551517;110;105
io.netty.bootstrap.Bootstrap.validate();1.0;1.0;0.025039123630672927;0.022727272727272728;1;1
io.netty.channel.DefaultChannelHandlerContext.channel();1.0;1.0;1.174569168029167E-5;0.0;1;0
io.netty.channel.ThreadPerChannelEventLoopGroup.register(io.netty.channel.Channel,io.netty.channel.ChannelPromise);0.37485427731764975;0.7783510572213097;1.3448275862068966;1.0047619047619047;32;27
io.netty.channel.ThreadPerChannelEventLoop.register(io.netty.channel.Channel,io.netty.channel.ChannelPromise);0.14125939936163723;0.31731050786291404;0.7044334975369458;0.5595238095238095;20;15
io.netty.channel.DefaultChannelHandlerContext.close(io.netty.channel.ChannelPromise);0.09851566947341861;0.05834530233685731;0.09234411996842937;0.058646616541353384;11;4
io.netty.channel.socket.nio.NioServerSocketChannel.newSocket();1.0;1.0;0.10130718954248366;0.0;2;0
io.netty.testsuite.transport.socket.SocketTestPermutation$3.newInstance();0.33914291716008194;0.5707503880581739;1.2375;0.7875;7;4
io.netty.channel.socket.nio.NioSocketChannel(io.netty.channel.Channel,java.nio.channels.SocketChannel);0.8562919872384448;0.5931323128677334;5.843558282208589;5.423529411764706;61;58
io.netty.channel.AbstractChannel.voidPromise();1.0;1.0;0.0030568575504381496;0.0;1;0
io.netty.testsuite.transport.socket.SocketTestPermutation$2.newInstance();0.6568122736866391;0.6251055995506551;2.6625;2.3125;14;12
io.netty.channel.socket.nio.NioDatagramChannel.newSocket(io.netty.channel.socket.InternetProtocolFamily);0.42243541756216574;0.8169613217153913;0.7428571428571429;0.44285714285714284;4;2
io.netty.channel.DefaultChannelHandlerContext.writeAndFlush(java.lang.Object);0.024303423217350576;7.771561172376096E-16;0.1867108833283087;0.11085211986269598;731;561
io.netty.buffer.UnpooledHeapByteBuf.setArray(byte[]);1.0;1.0;6.122292798653096E-4;0.0;1;0
io.netty.channel.socket.oio.OioDatagramChannel(java.net.MulticastSocket);1.0;1.0;0.07142857142857142;0.0;1;0
io.netty.testsuite.transport.socket.SocketConnectionAttemptTest.testConnectTimeout();0.6487572529871843;0.7913367801006603;27.9;26.4;10;10
io.netty.channel.socket.nio.NioDatagramChannel(java.nio.channels.DatagramChannel);0.27293445806733074;0.5978625674290078;15.928571428571429;14.7;20;20
io.netty.channel.ThreadPerChannelEventLoopGroup.newChild(java.lang.Object[]);0.7310596227118129;0.7411815058736042;0.6546762589928058;0.4392857142857143;11;8
io.netty.channel.SucceededChannelFuture(io.netty.channel.Channel,io.netty.util.concurrent.EventExecutor);1.0;1.0;0.013537906137184115;0.0;1;0
io.netty.channel.AbstractChannel.writeAndFlush(java.lang.Object);0.01717251285064587;1.1102230246251565E-16;0.2024841724449804;0.12131227386585026;786;612
io.netty.buffer.AbstractByteBuf.slice(int,int);0.5351741736066966;0.0011670227538740363;0.05812157256507299;0.03475572979493365;104;57
io.netty.channel.DefaultChannelHandlerContext.close();0.08980484419575155;0.0617262423351409;0.10576164167324388;0.058646616541353384;13;4
io.netty.channel.DefaultChannelHandlerContext.executor();0.20146913413843448;4.4972837554291267E-4;0.012069446463440029;0.007637988725770958;130;116
io.netty.buffer.AbstractByteBuf.writeShort(int);1.0;1.0;0.04492753623188406;0.0;2;0
io.netty.buffer.AbstractByteBuf.setIndex(int,int);0.08975290581498416;0.017519367496056315;0.013851687456952628;0.013000597728631201;27;15
io.netty.buffer.UnpooledHeapByteBuf(io.netty.buffer.ByteBufAllocator,byte[],int);1.0;1.0;6.155266599984612E-4;5.633168093735917E-4;1;1
io.netty.testsuite.util.TestUtils.isSctpSupported();1.0;1.0;3.2;0.0;2;0
io.netty.buffer.AbstractReferenceCountedByteBuf.refCnt();1.0;1.0;2.0492363179321839E-4;0.0;1;0
io.netty.channel.DefaultChannelPromise(io.netty.channel.Channel,io.netty.util.concurrent.EventExecutor);1.0;1.0;1.9004180919802356E-4;0.0;1;0
io.netty.channel.DefaultChannelPipeline.callHandlerAdded0(io.netty.channel.ChannelHandlerContext);1.0;1.0;0.017123287671232876;0.013223140495867768;2;1
