# Unchanged methods (Rate method)
291
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
io.netty.channel.DefaultChannelPromise.channel();NaN;1.0;0.0;0.0;95134;99979
io.netty.testsuite.util.BogusKeyStore.asInputStream();NaN;1.0;0.0;0.0;20;20
io.netty.testsuite.util.BogusKeyStore.getCertificatePassword();NaN;1.0;0.0;0.0;20;20
io.netty.buffer.AbstractByteBuf.writeMedium(int);NaN;1.0;0.0;0.0;420;420
io.netty.channel.oio.AbstractOioMessageChannel(io.netty.channel.Channel);NaN;1.0;0.0;0.0;240;300
io.netty.channel.socket.nio.NioSocketChannel.config();NaN;1.0;0.0;0.0;20;19230
io.netty.channel.ChannelInitializer();NaN;1.0;0.0;0.0;1030;1210
io.netty.buffer.UnpooledHeapByteBuf.setByte(int,int);NaN;1.0;0.0;0.0;1620;1620
io.netty.testsuite.transport.socket.SocketEchoTest.testSimpleEcho();0.28281907370108184;0.02113392812916104;3596.1;3644.1;10;10
io.netty.bootstrap.AbstractBootstrap.localAddress();NaN;1.0;0.0;0.0;520;580
io.netty.bootstrap.ServerBootstrap.newAttrArray(int);NaN;1.0;0.0;0.0;490;550
io.netty.channel.socket.oio.OioServerSocketChannel.config();NaN;1.0;0.0;0.0;170;190
io.netty.testsuite.transport.socket.DatagramUnicastTest$1(io.netty.testsuite.transport.socket.DatagramUnicastTest,java.util.concurrent.CountDownLatch);NaN;1.0;0.0;0.0;40;40
io.netty.testsuite.transport.socket.SocketObjectEchoTest$2(io.netty.testsuite.transport.socket.SocketObjectEchoTest,io.netty.testsuite.transport.socket.SocketObjectEchoTest.EchoHandler);NaN;1.0;0.0;0.0;30;30
io.netty.testsuite.transport.socket.SocketSpdyEchoTest.createFrames(int);0.9639156676495212;0.9518694365252773;28.9;28.583333333333332;60;60
io.netty.channel.DefaultChannelPromise.setSuccess();NaN;1.0;0.0;0.0;40;40
io.netty.testsuite.transport.socket.SocketObjectEchoTest.testObjectEcho();1.8924423829746448E-4;0.0013149446697132694;3811.0;3883.0;10;10
io.netty.channel.socket.oio.OioDatagramChannel.joinGroup(java.net.InetSocketAddress,java.net.NetworkInterface,io.netty.channel.ChannelPromise);NaN;1.0;0.0;0.0;10;10
io.netty.channel.ChannelMetadata(boolean);NaN;1.0;0.0;0.0;480;480
io.netty.channel.socket.oio.DefaultOioSocketChannelConfig.setTcpNoDelay(boolean);NaN;1.0;0.0;0.0;180;200
io.netty.testsuite.transport.socket.SocketFileRegionTest.testFileRegion();0.22418229618849916;0.02113392812916104;3695.5;3825.1;10;10
