46
degradation,revision,authorexpertise,daysbeforerelease,bug,packages,files,issues,insertions,deletions,churns,deltalines,hunks,hour,day
2,0539b48b8a9311e56e99568758f798b83c2ff0f0,2733,99,false,3,4,1,15,41,56,-26,9,15,3
2,07ec47adfac619308f71047808380322c8b46352,2904,20,false,3,3,1,52,21,73,31,13,19,5
2,0dbf684298b3702d22a92fe32e62ab1c11b09fce,2824,55,false,2,7,1,772,716,1488,56,17,15,5
2,14dc4fade0745899b06994ec2c934a9bf38e7d2e,1538,42,false,1,1,1,10,5,15,5,3,22,3
2,1666f54b50f57fd354dce2462c5ff88bee85328c,2727,105,false,3,3,1,71,36,107,35,19,17,4
2,17f46665df2e0b066b40a3889dbf3f56173e0554,2843,49,false,7,25,1,449,147,596,302,51,21,4
2,1ee11138a7c40741195f1709a000569018e3b39c,1567,14,false,1,1,1,52,17,69,35,7,10,4
2,1fb07644a18cd6008f5d8f61f4423e11968a0ef1,2835,53,false,2,6,1,72,61,133,11,19,16,7
2,22e57ef7b727f24e41cc0040bfe47889bf3d7705,2809,61,false,7,29,1,291,210,501,81,94,15,6
2,272e1d8da590c40cb8caa27f1614e0b7e5c63d65,2730,99,false,15,56,1,819,815,1634,4,220,0,3
2,287e86b7aa787c9836fccbe2816dd08b4b6c599e,2846,48,false,4,20,1,249,304,553,-55,32,12,5
2,30123607c66627f74c8e8f7bed372f6e9b99ec31,2808,62,false,11,43,1,821,938,1759,-117,133,15,5
2,33435fad3d8e1e12ab85873d842f2f8d580b567a,1710,54,false,1,1,1,2,1,3,1,1,15,5
2,3832a8645d858de657a46859ca2ae841c8afb285,1442,99,false,1,3,1,119,37,156,82,8,18,3
2,38501a9e978335c63ed52555f8b6d2d8e4f138f8,1713,53,false,1,1,1,5,0,5,5,2,14,6
2,3c321e9b8f049c96ecb7e9b35c1cddebef71673c,2709,107,false,4,10,1,157,53,210,104,26,15,2
2,3e4c9909e0b74f9abeb24398b8e9b1de11052bbf,1715,14,true,4,5,1,164,8,172,156,11,10,4
2,3fcb910c1aa40929da0de5b9c0fc4f2e0349aaa8,2734,99,false,2,6,1,154,77,231,77,9,19,3
2,40a7d5984e41be6033304b42a944efacfe5c76fc,2916,5,true,1,3,1,84,4,88,80,3,9,6
2,40d84ff1e37d1f562a030dae002a10b418882e1b,2906,14,true,4,6,1,29,13,42,16,16,17,4
2,49a32eb1b0da23229441cd2f199ec57caab46cbc,1026,6,true,1,1,1,67,9,76,58,8,18,5
2,4d2a580c2c8ca054841697a9d8848bdceb1c97f9,2767,75,true,8,19,1,120,125,245,-5,44,17,6
2,4d7ead76ce0e24c0a1f180a8fd218bc251068a29,2849,47,false,3,4,1,17,1,18,16,4,17,6
2,58ed30e7103f1c86d1da9702e918795b30b93a27,2700,108,false,3,7,1,516,125,641,391,13,11,1
2,6048343fee5f5fd9b845ccf12d285c69d5aae182,1708,55,false,1,3,1,148,36,184,112,11,10,5
2,6dfa452e29ca3ea5ee63552f9cefb0dd07899fa3,2849,48,false,4,6,1,14,10,24,4,14,19,5
2,85cb290e1c69c4ba5df04df8ee5ab433fe099719,2734,99,false,2,5,1,79,29,108,50,7,15,3
2,87cac64dffad79d1eb1fcc4964374bd774242384,1567,14,false,1,1,1,30,36,66,-6,2,10,4
2,9c3eedfea8b49e6c9e0c4b249a415721a0ebd9e9,2822,55,false,3,9,1,198,182,380,16,22,13,5
2,9f844383cdb528d67ec69895dd8c6117b6e36e13,1674,90,false,3,11,1,536,415,951,121,25,14,4
2,a00e65cb1f14f048db93b594da7ed0de22a1d353,2840,50,false,1,1,1,8,3,11,5,1,17,3
2,a4d4b3ab571fa56b02d611f2b565d03ccccb1347,2845,48,false,2,2,1,14,1,15,13,2,9,5
2,aaa2e5c6c1d6d34f8068dc9a056a6b446fd05603,2833,53,false,4,9,1,124,57,181,67,20,12,7
2,b5971484a57212a39af6f70267ea00a24fdbf100,2842,49,false,9,14,1,123,17,140,106,23,10,4
2,bbd61f8e192b0af9cf7c4aae51a65e5cd07c863c,2724,105,false,6,18,1,601,570,1171,31,55,15,4
2,bec34b460fc370d10b3bc92bee5a09a1787c6f8f,2839,50,false,5,37,1,265,157,422,108,78,17,3
2,c319c1912574f968107ec60d58f8bcabc6a7db2b,2725,105,false,2,5,1,216,119,335,97,29,16,4
2,c80f5561392d951c36ad922146228378ecb27e43,2904,15,false,1,1,1,1,1,2,0,1,15,3
2,c8ee504291a6f1079039fa606e8ded6bd0fd7444,2756,83,false,1,1,1,4,0,4,4,1,15,5
2,d19eef34035b3afcdf45ccd49bd191d3146f600b,2693,112,false,2,6,1,152,5,157,147,9,12,4
2,d45a5c861c88e35513b79e97fc56fd3a1fa5731d,1567,14,false,1,1,1,11,5,16,6,5,10,4
2,d7f2c42e2d1a0af6e7786537fb13a0afed6f9403,2836,50,false,2,7,1,160,114,274,46,24,12,3
2,d8e6331434fbb6025301f06f03230c6f6cad7676,2887,28,true,2,3,1,23,55,78,-32,8,17,4
2,eaf374fa582e07f6d49184b09d72dfe84d7ace1e,2810,61,false,7,15,1,213,153,366,60,59,17,6
2,f594a6fc661ae3590c8fdb9e5255e1b7b65f8229,2763,75,false,1,2,1,219,15,234,204,3,16,6
2,fd1c9dd8d2c298ba66ae1b3b98bc85719cdefb41,1570,14,false,1,2,1,201,56,257,145,8,16,4
