38
Degradation,Revision,Bug Fixing,Number of Packages,Number of Files,Number of Issues,Number of Insertions,Number of Deletions,Number of Churns,Delta of Lines,Number of Hunks,Hour of Day,Day of Week
false,013ac44d3a64d53ab9e131cb43124fcbc0873caf,false,1,3,1,14,13,27,1,11,11,2
false,06e250e493ddbff674d1ec11deb12541f93d6519,false,1,1,1,11,35,46,-24,2,14,3
false,1547876e97e9babc17f683e8a47894757a4e1bee,false,1,3,1,12,10,22,2,4,8,6
false,206dc2a3918d3754b8d9b4b73f107a085377a2d0,true,1,1,1,15,9,24,6,5,9,6
false,23baef8fb48fa363ffd0ed9f5d803a36a05e715f,false,1,2,1,242,4,246,238,3,7,5
false,25c226a8357d324fb201b1150a3d629f3917d18d,false,6,12,1,106,24,130,82,27,21,6
false,2b9a07cac90f7a5a5e6e5fb7859ae19e6c11323c,false,1,2,1,25,3,28,22,2,7,5
false,451e91d1429c08ce8f92bb8ce0b9ad8c28afb904,true,1,2,1,13,2,15,11,3,20,2
false,48a7a21541b96eba74b493d8a2ce4a678a6bc9db,false,6,28,1,435,44,479,391,67,14,2
false,4d0621855a40368052ecb9238c206d03d3067d25,false,1,2,1,2,50,52,-48,6,11,6
false,5416f2315e222acf8d9a36a51bcd4142a0f1c022,true,1,15,1,90,13,103,77,19,9,6
false,59c2fd881318b5c421983881e68889225e0a4d18,false,1,1,1,12,9,21,3,1,16,6
false,5ddd7cee90d5b59ebacdc3da6a25f548646eddad,true,1,2,1,11,0,11,11,3,11,5
false,5ef30b6d8b55441fddc8ddfdd24251f378e24e60,false,1,1,1,30,5,35,25,5,20,4
false,6a2f340ec0187ba68eee869863357b74b6e8c6bf,false,1,1,1,22,10,32,12,3,13,4
false,6d09e57be72cd76b42741c3cba59e9d25f6738a7,true,1,2,1,8,0,8,8,2,14,2
false,7d9388a3cc90b322eb1e9ea048a16e31beaad387,false,1,1,1,9,0,9,9,2,20,4
false,80d30c3dd81a4409a3abaf04d7bff0525d4ad166,false,5,7,1,12,10,22,2,8,7,2
false,92cec8d2acdc08b75646e5e2c988183ca0841c17,false,1,1,1,33,29,62,4,2,9,5
false,9a88c50ffb1233a95d89b83d01d6c9673c8641e7,true,1,2,1,2,0,2,2,2,21,1
false,9d8c4ded50702fdacb75a89e65471627095723ac,false,1,1,1,5,5,10,0,2,13,6
false,9fd35d09a26e1dd060baa9d307cd69f05d6f7ae6,false,1,1,1,5,1,6,4,1,12,5
false,a2624a833e92a99d5ef50e30eea9743a873c0392,false,1,1,1,1,1,2,0,1,16,6
false,a383988cdb57e56e5211fdf592545fe67331ff6e,false,1,1,1,118,189,307,-71,11,15,3
false,a74149e9848fef73d909dd56843e0fbab23f877d,true,1,10,1,544,95,639,449,23,16,6
false,ad0c456209d31522a7729acba2264b432326c5b2,true,3,3,1,18,5,23,13,6,18,5
false,ae904a1f56d80cb3f4ad160006c05319e73d173a,true,5,5,1,26,5,31,21,13,11,3
false,af499b5fb4862041962cba2e00670ad415130897,false,1,4,1,24,0,24,24,4,20,1
false,b4fa8af0791b3a31a91ea8112175adf6493b834b,false,2,2,1,31,12,43,19,5,10,5
false,b54937ab5051004faa6c04048d6bb0410e6dcb33,true,1,2,1,8,2,10,6,4,20,5
false,b8866aef330403353285486bbf5c0342b6c6a998,false,1,1,1,7,2,9,5,4,6,6
false,b934b6009c9e7d2ed6df400698d6e6e4b550291d,false,1,1,1,15,18,33,-3,2,20,4
false,caf91b9c0687bedab40ba06f596b0c2c2f1ae7e3,false,1,2,1,115,1,116,114,2,14,3
false,de44917e62c6ccadb2ae4cf62009f3fa0ad71827,false,1,1,1,43,6,49,37,3,14,1
false,f1d4f813ed6404b83d539a5f68166bea89fc95df,false,1,2,1,22,1,23,21,2,14,1
false,f40a3f34b17633b884f3d35dc2eb43d0810a0cfa,true,1,1,1,12,1,13,11,3,20,5
false,fb619f23947aab158a11730e00f4dbd490093669,false,1,5,1,383,37,420,346,16,10,4
false,fc6213604dc3a1a596b5a6fb25fd9cf0759e0fc7,false,1,1,1,10,2,12,8,3,13,5
