19
degradation,revision,authorexpertise,daysbeforerelease,bug,packages,files,issues,insertions,deletions,churns,deltalines,hunks,hour,day
false,041d37e0c8b3616dc86468bd2c3b6332638bdf1b,3694,8,false,3,3,1,16,9,25,7,7,14,2
false,0fc66a411f6820f8ac45fc0ec3a0433c3f90db82,3713,2,false,1,1,1,2,2,4,0,2,14,6
false,11a235ffe94e75d23b7d745f8c3e47b031629e6a,3703,3,false,1,1,1,84,3,87,81,8,11,7
false,32e28950e18287283437856738652d9f9bda8ab6,1090,1,false,1,1,1,47,46,93,1,3,16,2
false,3d531231fe14666e11d0ade1955d6ccaa414845a,1,12,false,1,2,1,49,0,49,49,3,20,5
false,62ebe88981ab42b28eafad89586307e0c249f00a,1084,6,false,1,1,1,20,11,31,9,3,15,4
false,64c3f58279809141a851becba445a20badc8a610,1072,19,false,2,3,1,97,27,124,70,5,20,5
false,69a36b8beab76ad176a20554d692e89d62f8919b,1085,5,false,1,1,1,1,1,2,0,1,6,5
false,7041a9238e5087efa5fb0fa3d8a5d0721eb5f610,1078,11,false,2,2,1,212,43,255,169,10,20,6
false,7fe10fe6354af68db42afbed6e5cff2464b9fbb2,1097,3,false,3,13,1,400,124,524,276,45,8,6
false,80e6f9adf4ef7eaa273eee8818a4ffd7bb0c5d06,1081,7,false,2,3,1,75,47,122,28,6,18,3
false,80ed147652133ce222279f34e21f4b44e8a4a728,1069,20,false,1,1,1,1,1,2,0,1,7,4
false,96b0a949e102a5766abc5e12b3392b1bf3da7005,3696,8,false,6,8,1,61,38,99,23,26,14,2
false,b00e2a19d326329be9a9fd789fc26cb8e5ff7889,1097,2,false,2,6,1,139,112,251,27,16,21,6
false,c538fd5098342b2d3e4278d6340e6eb0b91800e7,1098,1,false,2,4,1,4,4,8,0,4,20,7
false,d52dc3b740e778bbab60b2a7b5715ec44f31c10b,3698,8,false,1,1,1,1,1,2,0,1,15,2
false,f23d68b42fd71674fee6623f6779d70b6849da21,1078,11,true,2,2,1,2,39,41,-37,4,9,6
false,f4074a8811c1878a01bdfaee1159a19612888177,3705,3,false,1,1,1,4,4,8,0,2,11,7
false,f94b563bcd64840a9978204e75812ed182830990,1069,19,false,1,1,1,58,57,115,1,5,7,5
