degradation,revision,bug,packages,files,issues,insertions,deletions,churns,lines,hunks,hour,day
false,0036f14c33ffb548cdc8adf9ebf17cec34a73c1f,false,2,2,1,3,3,6,0,3,16,5
false,0102b9db3f093b415d1a646c5d7590bd3b10d00e,true,1,2,1,5,8,13,-3,5,22,2
false,01f1ee5818b7a0376d664318921368de99939c0c,false,1,1,1,1,12,13,-11,3,10,6
false,023f94d11cd7147aa43cedcc480d27cf3d9398e9,false,1,1,1,36,1,37,35,2,12,3
false,02d3cda2f37bd10cec0a6991d928643a559eb6c2,false,1,1,1,11,10,21,1,1,9,5
false,0484898603fb5cb726aa11caa6c7346a67faa5ed,false,3,8,1,194,38,232,156,22,22,6
false,051c678ea61bead91d3a198f45393214d185f35a,false,1,1,1,1,1,2,0,1,12,4
false,06218ed2312f274ffc060e8d9c9125a8b3953138,false,5,9,2,255,139,394,116,29,10,4
false,0639719c03a08071db21162238fda9d5f5001dc5,false,1,1,1,1,1,2,0,1,9,2
false,06660a00ba52e1c530587a3c46e16d2860470158,false,1,4,1,13,5,18,8,5,22,1
false,068d7d59693689391b2f5a89ebe9cfb021fd9231,false,1,4,1,13,5,18,8,5,22,1
false,069139412ce4b553375ac1a3006aaa9f5783091f,false,1,1,1,1,1,2,0,1,9,2
false,079e0dc49269b54550fb643ebdd8699dce3dfc7d,false,1,1,1,6,6,12,0,6,22,2
false,0adb864ff18951a9630bd2339fb9e92963867d4a,false,1,3,2,264,5,269,259,10,20,7
false,0b0e0980d6ac9cff063be2ec5b93bf7d37fe8bc8,true,1,1,1,6,0,6,6,1,18,3
false,0b2dbaab794918c159f913b50fbfb2958deb98d9,true,2,2,1,12,4,16,8,2,10,5
false,0b37503f13aefe57406b3782bd1c49d2883b11ff,false,1,1,1,1,8,9,-7,1,17,3
false,0c1cf1a195d9b27bbe4a7538ab68e6d6b22ad8cb,false,1,1,1,1,0,1,1,1,10,5
false,0c38b57174369490a875dd1355cb0eb2f5808922,false,1,1,1,66,37,103,29,7,16,6
false,0c412482dfba45570fe7b7b0116383e59b3245f6,true,3,10,2,279,52,331,227,25,15,3
false,0ce7be0382c9c8113afb2827e633e23fdfad1eb3,false,1,1,1,4,11,15,-7,3,10,2
false,0d4d1df7c719c04c72ca974378465a4be82d086f,true,2,2,1,102,0,102,102,3,13,5
false,0e1155909b5ce4eba96f0c55ecdb1312d1e2447a,false,2,3,1,40,3,43,37,4,14,2
false,0e44f3df8b2bf1029e14babbb74af0a28d3917d4,true,1,1,1,12,2,14,10,2,21,4
false,0f8a6d757367e73eaadcb0dff1372d169bcefb76,true,1,2,1,65,4,69,61,4,13,3
false,0fbd643621f99f1ff03ddd834723b8d53cfd798a,false,1,1,1,2,2,4,0,2,23,3
false,1064d372b48a048bdee292564ec5f45cd00fd3c4,true,2,2,1,5,12,17,-7,2,20,5
false,10bceab0920ff6bb4c87ad7a0dc651ce9bcdb86b,false,1,1,1,1,1,2,0,1,15,4
false,11ef03bd10bd41ca1041d4937d99d73a3038a323,true,1,2,1,18,16,34,2,3,15,6
false,1274ea5673fe5aa02ac54f40e3635050a8d67e31,false,2,5,1,36,0,36,36,7,10,5
false,12ba191004cd27408f6a9f78d282b3e3b8637a55,false,1,4,1,233,1,234,232,4,16,4
false,13137b9da97f980bfd0f84dd716b22e344de86c8,false,2,4,1,110,7,117,103,8,10,3
