28
degradation,revision,bug,packages,files,issues,insertions,deletions,churns,lines,hunks,hour,day
false,0639719c03a08071db21162238fda9d5f5001dc5,false,1,1,1,1,1,2,0,1,9,2
false,0b2dbaab794918c159f913b50fbfb2958deb98d9,true,2,2,1,12,4,16,8,2,10,5
false,1064d372b48a048bdee292564ec5f45cd00fd3c4,true,2,2,1,5,12,17,-7,2,20,5
false,46b9ed395b562a82880ffcc6e6cfc1f01e8b172d,true,1,1,1,21,5,26,16,2,13,2
false,5772296f9a59fc6a52895ae2101321e35f0f6d0c,true,1,1,1,1,1,2,0,1,13,5
false,611dffb273f0cc4aba32af335a0dd72b9733ea7d,true,2,2,1,34,6,40,28,4,22,4
false,6154fd6aae702ec5c23d39f6ac3ae9593da4d3b9,false,1,3,1,61,7,68,54,8,13,2
false,655c82685532dbc1536b478c21a5ece7d57ae9f9,false,1,2,1,104,5,109,99,4,11,5
false,6b8439f93e1809e5fc8b5fb283a4c0ff8c0dac47,true,1,1,1,8,3,11,5,1,18,3
false,6ce317cf9414c550e0e66fbae5e35936ee20763d,false,2,5,1,82,8,90,74,10,12,3
false,79d9f699aeb2db05c0939a8d8088328927387e60,false,1,1,1,2,2,4,0,2,14,4
false,7b0d8ea0c981d6cdff2a12f5b7317f7170ecec43,false,2,3,1,8,12,20,-4,6,15,5
false,966d4dd5e0dbdd08093eba9acd3a8019c61dcc5e,false,1,1,1,1,1,2,0,1,8,2
false,9a123fa341da10bd2af0f1eede568d968820b26d,false,1,1,1,17,0,17,17,1,21,4
false,9fb48d836a5ad26f991e81222fced6cc290c41e3,false,1,1,1,1,1,2,0,1,11,2
false,a01a674b57fdc274f68fe7e9acfda1914190c878,true,1,1,1,2,0,2,2,1,10,3
false,a5954823353f20a6157156704ae91d6067a1f5c8,false,1,1,1,1,1,2,0,1,12,4
false,b5e29819b1aa75ef8648c6ebaf0b5ebf72bdb2da,false,1,3,1,137,20,157,117,17,15,2
false,c092d05b53b8abc3fd9a2a59ac0462dc8ba75e98,false,1,1,1,5,1,6,4,2,20,4
false,ca4711fe6b05f0cee469fd91643ddef8de69fffe,false,1,1,1,21,22,43,-1,1,13,6
false,d0fd2102967f34e35be1d009085c314898b8fb0a,false,1,1,1,1,2,3,-1,2,13,2
false,d38050896b20f98bee1457a0359458e9618307ad,false,1,1,1,4,2,6,2,2,11,3
false,de46d5ab95274f9d19c4d372a7f405e705e48384,false,1,2,1,8,5,13,3,5,16,2
false,e193f4f4d5ef6ef9778a150a337236f208e2b060,false,2,6,1,496,3,499,493,8,13,4
false,f6eaa937d4cdda9fd04c3c5312eaca66d5fb52a2,true,1,1,1,5,5,10,0,5,9,3
false,f7e66e61e3097d32b7767890208436b508747ef1,false,1,1,1,9,4,13,5,4,12,2
false,f95e3130b1a0b9d40e77f90f2bf869d21fd851e0,true,1,1,1,4,3,7,1,1,12,2
false,f9668b5ea6d4dfc196409dff588a06dd5b9ea571,false,1,4,1,234,46,280,188,13,17,2
