23
degradation,revision,authorexpertise,daysbeforerelease,bug,packages,files,issues,insertions,deletions,churns,deltalines,hunks,hour,day
1,0e44f3df8b2bf1029e14babbb74af0a28d3917d4,365,29,true,1,1,1,12,2,14,10,2,21,4
1,cd24f18a2f2667857a5e5b86744bf1e129d7bba8,2771,16,true,3,3,1,76,11,87,65,8,23,3
2,0102b9db3f093b415d1a646c5d7590bd3b10d00e,0,17,true,1,2,1,5,8,13,-3,5,22,2
2,068d7d59693689391b2f5a89ebe9cfb021fd9231,2774,11,false,1,4,1,13,5,18,8,5,22,1
2,1274ea5673fe5aa02ac54f40e3635050a8d67e31,1,22,false,2,5,1,36,0,36,36,7,10,5
2,1fb665336400f0f40ecbb36a642020f87e73524d,364,30,true,1,2,1,106,26,132,80,4,19,3
2,204849bc6046ed73f447f8daa7a1502f3e53a0fb,2750,42,true,1,4,1,21,40,61,-19,4,10,6
2,234dc01def692a28365dd08bd6ffb16d0b646a3b,2,22,true,1,1,1,6,0,6,6,1,13,5
2,2f458d8cd8a20cba394cf5a2fae6e7fe3da04bd1,2777,10,false,1,10,1,527,65,592,462,13,20,2
2,5a3fd0d2a3e501e3f7363293eb938ce04d7c25fc,13,17,false,2,5,1,54,48,102,6,7,17,2
2,5efb8091f05cc9774d340e30c912ae581bb6f5c4,2779,10,true,2,4,1,195,11,206,184,5,21,2
2,813c0964cf8ba27aa69970e389f07b0141e44770,2747,45,false,1,1,1,30,0,30,30,1,12,3
2,847bff720eed8a779accb2d51ac34f446d5ab7db,2757,39,true,2,3,1,25,11,36,14,5,20,1
2,aa82ccfcff94c0a83daf86c8cfd806206e9c6a52,10,31,true,2,3,1,45,7,52,38,6,16,2
2,af400d80f33c3fe2d25712cc4f42681e110a6df9,2780,10,false,1,1,1,4,9,13,-5,1,15,3
2,b5874d796bc42a2107edf2c79ab540409d473957,2754,42,true,1,1,1,14,10,24,4,2,12,6
2,ccff0802a729bc10d84ed876ec08d408efc377af,2768,17,false,2,6,1,216,155,371,61,8,18,2
2,cd414fa5b5c88b39b11938cdbf40571f4a2df153,2754,42,true,2,2,1,5,3,8,2,3,11,6
2,cdb1304189ca452eff0dc0bdc971994a55a03c72,2763,30,true,1,1,1,1,1,2,0,1,10,4
2,e2376fe5e84c7e4d6ed91fe2463b08adc8bb58a3,2752,42,false,1,1,1,2,1,3,1,1,11,6
2,e613e28b860ab6d7b140c0d746ea3b7442dc1751,9,32,true,1,3,1,14,15,29,-1,4,0,2
2,f29fe6f7c4bbf7ffb2fcda8cfd8356639179f731,12,23,false,1,28,1,105,50,155,55,28,23,3
2,f854896f6a8230eb8181976b15fe09e87ac30a71,2762,30,false,1,1,1,4,4,8,0,2,10,4
