# Methods executed in both releases
4215
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.argouml.kernel.ProjectSettings.setShowAssociationNames(boolean);1.0;1.0;0.8;0.75;1;1
org.argouml.ui.LookAndFeelMgr();1.0;1.0;10.433333333333334;18.7;1;1
org.argouml.persistence.ArgoParser.handleShowMultiplicity(org.argouml.persistence.XMLElement);1.0;1.0;0.0;0.0;1;1
org.argouml.kernel.TestProjectSettings$2(org.argouml.kernel.TestProjectSettings,org.argouml.kernel.Project);1.0;1.0;0.0;0.0;1;1
org.argouml.model.mdr.ModelManagementFactoryMDRImpl.buildElementImport(java.lang.Object,java.lang.Object);1.0;1.0;1.6;4.7;1;1
org.argouml.uml.diagram.ui.TestTabDiagram.testFireModelEventPerformance();1.0;1.0;0.0;0.0;1;1
org.argouml.application.events.ArgoEventPump.doFireEvent(org.argouml.application.events.ArgoEvent);1.0;1.0;0.3268238761974945;0.49842602308499473;1;1
org.argouml.uml.ui.UMLChangeDispatch(java.awt.Container,int);1.0;1.0;0.0;0.011111111111111112;1;1
org.argouml.ui.targetmanager.TargetManager.navigateForward();1.0;1.0;0.0;0.0;1;1
org.argouml.model.mdr.CollaborationsFactoryMDRImpl.deleteAssociationEndRole(java.lang.Object);1.0;1.0;0.0;0.0;1;1
org.argouml.model.TestCommonBehaviorFactory.testCreates();1.0;1.0;318.2;332.3;1;1
org.argouml.kernel.ProjectSettings.getShowTypesValue();1.0;1.0;0.0;0.0;1;1
org.argouml.kernel.TestProjectSettings.testProjectSettingsCreation();1.0;1.0;357.0;365.0;1;1
org.argouml.uml.diagram.use_case.ui.FigUseCase.setExtensionPointsVisible(boolean);1.0;1.0;1.5333333333333332;0.5;1;1
org.argouml.model.AbstractCoreHelperDecorator.getFirstSharedNamespace(java.lang.Object,java.lang.Object);1.0;1.0;0.16666666666666666;0.0;1;1
org.omg.uml.foundation.datatypes.CallConcurrencyKindEnum.toString();1.0;1.0;0.0;0.0;1;1
org.argouml.kernel.TestProject.testDeletePackageWithPackageWithActivityDiagram();1.0;1.0;34.3;85.9;1;1
org.argouml.uml.diagram.ui.FigStereotypesGroup.findFigKeyword();1.0;1.0;0.0;0.0;1;1
org.argouml.model.mdr.ActivityGraphsFactoryMDRImpl.createActionState();1.0;1.0;2.942857142857143;3.557142857142857;1;1
org.argouml.uml.util.namespace.StringNamespace(java.lang.String[],java.lang.String);1.0;1.0;0.8;0.0;1;1
org.argouml.cognitive.checklist.ui.TestTabChecklist.testIcon();1.0;1.0;201.1;229.4;1;1
org.argouml.ui.targetmanager.TargetManager.getModelTarget();1.0;1.0;0.0;0.0;1;1
org.argouml.uml.cognitive.critics.CrDisambigStateName();1.0;1.0;0.0;0.775;1;1
org.argouml.model.mdr.FacadeMDRImpl.isAExpression(java.lang.Object);1.0;1.0;0.0;0.0;1;1
org.argouml.model.mdr.DataTypesHelperMDRImpl.equalsShallowHistoryKind(java.lang.Object);1.0;1.0;0.0;0.0;1;1
org.argouml.notation.providers.uml.OperationNotationUml.toString(java.lang.Object,boolean,boolean,boolean,boolean);1.0;1.0;0.42;0.29523809523809524;1;1
org.argouml.model.mdr.FacadeMDRImpl.getBody(java.lang.Object);1.0;1.0;0.0;0.0;1;1
org.argouml.uml.cognitive.critics.TestCrUnconventionalAttrName.testSmallUnderscoreName();1.0;1.0;0.0;0.0;1;1
org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.createCallAction();1.0;1.0;0.6731707317073171;0.4935185185185185;1;1
org.argouml.ui.targetmanager.TestTargetManager.access$3(org.argouml.ui.targetmanager.TestTargetManager,java.lang.Object);1.0;1.0;0.0;0.0;1;1
org.argouml.model.mdr.FacadeMDRImpl.getOwner(java.lang.Object);1.0;1.0;0.0;0.041025641025641026;1;1
org.argouml.util.TokenSep.getString();1.0;1.0;0.0;0.0;1;1
org.argouml.model.mdr.ModelManagementHelperMDRImpl.contained(java.lang.Object,java.lang.Object);1.0;1.0;0.001277241159096352;0.002809243316719529;1;1
org.argouml.uml.diagram.state.ui.FigBranchState(java.lang.Object,java.awt.Rectangle,org.argouml.uml.diagram.DiagramSettings);1.0;1.0;0.0;0.0;1;1
