# Degradated methods (Rate method)
904
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.argouml.ui.LookAndFeelMgr();1.0;1.0;10.433333333333334;18.7;1;1
org.argouml.model.mdr.ModelManagementFactoryMDRImpl.buildElementImport(java.lang.Object,java.lang.Object);1.0;1.0;1.6;4.7;1;1
org.argouml.application.events.ArgoEventPump.doFireEvent(org.argouml.application.events.ArgoEvent);1.0;1.0;0.3268238761974945;0.49842602308499473;1;1
org.argouml.uml.ui.UMLChangeDispatch(java.awt.Container,int);1.0;1.0;0.0;0.011111111111111112;1;1
org.argouml.kernel.TestProject.testDeletePackageWithPackageWithActivityDiagram();1.0;1.0;34.3;85.9;1;1
org.argouml.model.mdr.ActivityGraphsFactoryMDRImpl.createActionState();1.0;1.0;2.942857142857143;3.557142857142857;1;1
org.argouml.cognitive.checklist.ui.TestTabChecklist.testIcon();1.0;1.0;201.1;229.4;1;1
org.argouml.uml.cognitive.critics.CrDisambigStateName();1.0;1.0;0.0;0.775;1;1
org.argouml.model.mdr.FacadeMDRImpl.getOwner(java.lang.Object);1.0;1.0;0.0;0.041025641025641026;1;1
org.argouml.model.mdr.ModelManagementHelperMDRImpl.contained(java.lang.Object,java.lang.Object);1.0;1.0;0.001277241159096352;0.002809243316719529;1;1
org.argouml.model.mdr.FacadeMDRImpl.isAbstract(java.lang.Object);1.0;1.0;0.0;0.013793103448275862;1;1
org.argouml.uml.cognitive.critics.TestCrUnconventionalOperName.testPredicate2();1.0;1.0;78.0;84.0;1;1
org.argouml.uml.cognitive.critics.CrCircularInheritance.getCriticizedDesignMaterials();1.0;1.0;0.0;0.775;1;1
org.argouml.cognitive.NotSnoozedCM.isRelevant(org.argouml.cognitive.Critic,org.argouml.cognitive.Designer);1.0;1.0;0.0;0.8;1;1
org.argouml.notation.providers.uml.TestCallStateNotationUml.testStringGenerationNoClassName();1.0;1.0;7.7;9.1;1;1
org.argouml.util.CustomSeparator.addChar(char);1.0;1.0;0.0;4.3616537937301225E-4;1;1
org.argouml.kernel.AbstractProjectMember.getZipFileExtension();1.0;1.0;0.024615384615384615;0.08214285714285714;1;1
org.argouml.uml.diagram.ui.FigStereotypesGroup(java.lang.Object,java.awt.Rectangle,org.argouml.uml.diagram.DiagramSettings);1.0;1.0;0.31317829457364343;0.39689922480620154;1;1
org.argouml.profile.internal.ProfileManagerImpl.removeFromDefaultProfiles(org.argouml.profile.Profile);1.0;1.0;0.0;1.6;1;1
org.argouml.model.mdr.UndoCoreHelperDecorator.setSpecification(java.lang.Object,boolean);1.0;1.0;0.31;0.62;1;1
