# Optimized methods (Rate method)
311
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.argouml.kernel.ProjectSettings.setShowAssociationNames(boolean);1.0;1.0;16.0;15.0;1;1
org.argouml.model.mdr.ActivityGraphsFactoryMDRImpl.createActionState();0.23104382228908948;0.07388616616610977;17.166666666666668;15.5625;12;16
org.argouml.uml.diagram.ArgoDiagramImpl.getContainingFig(java.lang.Object);0.23836348684922504;0.13508409432681157;17.181818181818183;15.428571428571429;11;7
org.argouml.ui.DetailsPane.setTarget(java.lang.Object,boolean);0.14567767392920894;0.7484683644266517;21.25;15.67741935483871;36;31
org.argouml.uml.diagram.ui.FigNodeModelElement.setBoundsImpl(int,int,int,int);0.15928839643294912;0.49348883422296985;51.40425531914894;15.486486486486486;47;37
org.argouml.notation.providers.uml.TransitionNotationUml.parseTransition(java.lang.Object,java.lang.String);0.03358845647450499;0.20051357953594307;23.442622950819672;20.3542600896861;183;223
org.argouml.model.TestUmlFactoryBuildNode.testBuildStateMachineNodes();0.08930670199298874;0.4273553138978079;31.3;26.8;10;10
org.argouml.ui.targetmanager.TestTargetManager.testGetTarget();NaN;0.049534613435626706;16.0;15.0;3;3
org.argouml.model.mdr.FacadeMDRImpl.getMetatypeNames();1.0;1.0;16.0;15.0;4;1
org.argouml.kernel.TestProject.testTrashcanClassContent();0.06171924163946044;0.10974463874701368;62.6;37.125;10;8
org.argouml.model.mdr.CommonBehaviorHelperMDRImpl.addActualArgument(java.lang.Object,java.lang.Object);1.0;1.0;16.0;15.0;1;1
org.argouml.profile.internal.ocl.OclInterpreter.check(java.lang.Object);0.3284484797088094;0.6349223086646063;19.55;16.304347826086957;20;23
org.argouml.uml.diagram.TestDiagramFactory.testCreateDefaultDiagram();5.374940467242564E-19;1.5705228423079642E-4;452.6;60.8;10;10
org.argouml.model.mdr.MDRModelImplementation.getDefaultRepository();0.009529404389442225;0.013715642034794473;59.2;46.72727272727273;10;11
org.argouml.kernel.TestProjectSettings.testVisibilityEvents();0.015832555155280696;0.30748945661868143;336.8;22.0;10;10
org.argouml.notation.providers.uml.OperationNotationUml.parseOperation(java.lang.String,java.lang.Object);0.021329535491328083;0.0015784911987121175;21.972027972027973;17.513698630136986;143;146
org.argouml.notation.providers.uml.TestMessageNotationUml.trySomeMoreComplexMoving(java.lang.Object,java.lang.Object,java.lang.Object);0.3629333728631352;0.8501067391385257;17.1;15.5;10;10
org.argouml.uml.diagram.ui.FigCompartment.populate();0.3074743599974772;0.6681063796183102;17.033333333333335;15.966666666666667;30;30
org.argouml.notation.providers.uml.TestMessageNotationUml.trySomeActionErrors(java.lang.Object);0.4203579508596065;0.7236736098317631;17.444444444444443;16.0;9;6
org.argouml.cognitive.checklist.TestCheckItem.testBasics();0.626840828270486;0.7696979437812899;23.0;17.714285714285715;2;7
org.argouml.profile.init.InitProfileSubsystem.init();7.310110299052811E-14;4.5632371492576596E-7;932.3;328.675;30;40
org.omg.uml.foundation.datatypes.VisibilityKindEnum.toString();1.0;1.0;16.0;15.0;1;1
org.argouml.model.mdr.ExtensionMechanismsHelperMDRImpl.addCopyStereotype(java.lang.Object,java.lang.Object);1.0;1.0;23.5;16.0;2;1
org.argouml.uml.diagram.activity.ui.FigActionState.setStandardBounds(int,int,int,int);1.0;1.0;16.0;15.0;1;1
org.argouml.uml.ui.TabStereotype.setTarget(java.lang.Object);0.38059210659969134;0.6488340430106421;16.483870967741936;15.571428571428571;31;28
org.argouml.notation.providers.uml.TransitionNotationUml.delete(java.lang.Object);0.014694609034943731;0.00728455700947972;40.7;32.7;10;10
org.argouml.uml.TestUUIDManager.testGetNewUUID();0.07102563891907857;0.09630369202868827;51.6;46.8;10;10
org.argouml.uml.ui.TestActionCollaborationDiagram.testValidNamespaces();3.426395823880234E-5;0.005795358544334661;29.4;17.3;10;10
org.argouml.notation.providers.uml.TestAttributeAndOperationNotationUml.checkParameters(java.lang.Object,java.lang.String,java.lang.String[]);0.16675229390279367;0.6579631591071142;16.689655172413794;15.62962962962963;29;27
org.argouml.kernel.ProjectImpl.remove();0.6597839740794038;0.6534469401117029;217.671875;206.11904761904762;64;84
org.argouml.notation.providers.uml.TransitionNotationUml.parse(java.lang.Object,java.lang.String);0.0032627384585396766;0.008150971593502754;49.8;35.9;10;10
org.argouml.ui.targetmanager.TestTargetManager.testEvents();0.17295273899825764;0.07070114486598289;143.33333333333334;15.333333333333334;6;3
org.argouml.notation.providers.uml.TestTransitionNotationUml.testParseTriggerTimeEvent();0.014891341668279786;0.006501702373081786;60.7;40.6;10;10
org.argouml.configuration.Configuration.setBoolean(org.argouml.configuration.ConfigurationKey,boolean);0.3373691965824579;0.8632570409309721;17.353221957040574;15.860869565217392;419;230
org.argouml.profile.internal.ocl.TestDefaultOclEvaluator.testUndefined();0.3497310282542804;0.6547208460185769;109.2;57.333333333333336;5;3
org.argouml.model.TestExtensionMechanismsFactory.testCreates();0.3792646603922081;0.17361733442494343;170.0;151.3;10;10
org.argouml.notation.providers.uml.StateBodyNotationUml.delete(java.lang.Object);0.6627934360599446;0.8704253903848839;29.772727272727273;27.77777777777778;22;18
org.argouml.uml.diagram.ui.FigCompartmentBox.setStandardBounds(int,int,int,int);0.3240372229199472;0.391595483352814;43.48275862068966;15.391304347826088;29;23
org.argouml.uml.ui.foundation.extension_mechanisms.UMLTagDefinitionComboBoxModel.getApplicableTagDefinitions(java.lang.Object);0.13581126038552954;0.1038761570630854;40.5;23.75;10;4
org.argouml.ui.TestStylePanel.testTargetSet();3.310247377633895E-19;1.5705228423079642E-4;444.6;219.9;10;10
org.argouml.model.TestModelFacade2.testGetModelElementContainer();0.7054207746376491;0.5707503880581739;20.1;18.9;10;10
org.argouml.persistence.ProfileConfigurationFilePersister.load(org.argouml.kernel.Project,org.xml.sax.InputSource);0.1558224688270795;0.17846362072727462;21.77777777777778;19.02173913043478;36;46
org.argouml.model.TestCopyHelper.testCopyPackage();0.12281457903347745;0.12122450301291665;21.9;16.9;10;10
org.argouml.model.mdr.CoreFactoryMDRImpl.buildAssociation(org.omg.uml.foundation.core.Classifier,boolean,org.omg.uml.foundation.datatypes.AggregationKind,org.omg.uml.foundation.core.Classifier,boolean,org.omg.uml.foundation.datatypes.AggregationKind);0.006317251346815269;0.08468420837319868;22.315315315315317;19.35;111;100
org.argouml.uml.ui.TabStyle.shouldBeEnabled(java.lang.Object);0.4031589514333016;1.0;27.25;16.0;4;2
org.argouml.model.mdr.UmlFactoryMDRImpl.buildConnection(java.lang.Object,java.lang.Object,java.lang.Object,java.lang.Object,java.lang.Object,java.lang.Object,java.lang.Object);0.15787129284513046;0.12122450301291665;28.3;23.4;10;10
org.argouml.uml.diagram.ArgoDiagramImpl.constructorInit();1.3152135301853783E-28;5.0770720960713334E-11;184.4016393442623;19.98780487804878;122;82
org.argouml.ui.UndoableAction.actionPerformed(java.awt.event.ActionEvent);1.3988942460149838E-5;0.008711912962379609;328.5833333333333;16.5;12;8
org.argouml.notation.providers.uml.TestAttributeAndOperationNotationUml.checkVisibility(java.lang.Object,java.lang.String,java.lang.String);0.3527550001640921;0.15881539557417523;23.196969696969695;19.40983606557377;66;61
