# Unchanged methods (Rate method)
2189
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.argouml.persistence.ArgoParser.handleShowMultiplicity(org.argouml.persistence.XMLElement);1.0;1.0;0.0;0.0;1;1
org.argouml.kernel.TestProjectSettings$2(org.argouml.kernel.TestProjectSettings,org.argouml.kernel.Project);1.0;1.0;0.0;0.0;1;1
org.argouml.uml.diagram.ui.TestTabDiagram.testFireModelEventPerformance();1.0;1.0;0.0;0.0;1;1
org.argouml.ui.targetmanager.TargetManager.navigateForward();1.0;1.0;0.0;0.0;1;1
org.argouml.model.mdr.CollaborationsFactoryMDRImpl.deleteAssociationEndRole(java.lang.Object);1.0;1.0;0.0;0.0;1;1
org.argouml.model.TestCommonBehaviorFactory.testCreates();1.0;1.0;318.2;332.3;1;1
org.argouml.kernel.ProjectSettings.getShowTypesValue();1.0;1.0;0.0;0.0;1;1
org.argouml.kernel.TestProjectSettings.testProjectSettingsCreation();1.0;1.0;357.0;365.0;1;1
org.omg.uml.foundation.datatypes.CallConcurrencyKindEnum.toString();1.0;1.0;0.0;0.0;1;1
org.argouml.uml.diagram.ui.FigStereotypesGroup.findFigKeyword();1.0;1.0;0.0;0.0;1;1
org.argouml.ui.targetmanager.TargetManager.getModelTarget();1.0;1.0;0.0;0.0;1;1
org.argouml.model.mdr.FacadeMDRImpl.isAExpression(java.lang.Object);1.0;1.0;0.0;0.0;1;1
org.argouml.model.mdr.DataTypesHelperMDRImpl.equalsShallowHistoryKind(java.lang.Object);1.0;1.0;0.0;0.0;1;1
org.argouml.model.mdr.FacadeMDRImpl.getBody(java.lang.Object);1.0;1.0;0.0;0.0;1;1
org.argouml.uml.cognitive.critics.TestCrUnconventionalAttrName.testSmallUnderscoreName();1.0;1.0;0.0;0.0;1;1
org.argouml.ui.targetmanager.TestTargetManager.access$3(org.argouml.ui.targetmanager.TestTargetManager,java.lang.Object);1.0;1.0;0.0;0.0;1;1
org.argouml.util.TokenSep.getString();1.0;1.0;0.0;0.0;1;1
org.argouml.uml.diagram.state.ui.FigBranchState(java.lang.Object,java.awt.Rectangle,org.argouml.uml.diagram.DiagramSettings);1.0;1.0;0.0;0.0;1;1
org.argouml.uml.diagram.ui.FigNodeModelElement.renderingChanged();1.0;1.0;1.5;1.55;1;1
org.argouml.model.mdr.MetaTypesMDRImpl.getModelElement();1.0;1.0;0.0;0.0;1;1
org.omg.uml.foundation.datatypes.CallConcurrencyKindEnum(java.lang.String);1.0;1.0;0.0;0.0;1;1
org.argouml.uml.cognitive.critics.TestCrUnconventionalAttrName.testOnlyUnderscoreName();1.0;1.0;0.0;0.0;1;1
org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.deleteUninterpretedAction(java.lang.Object);1.0;1.0;0.0;0.0;1;1
org.argouml.model.UUIDManager();1.0;1.0;0.0;0.0;1;1
org.argouml.profile.Profile.addProfileDependency(java.lang.String);1.0;1.0;0.0;0.0;1;1
org.argouml.model.mdr.CoreFactoryMDRImpl.doCopyClass(java.lang.Object,java.lang.Object);1.0;1.0;5.85;5.875;1;1
org.argouml.model.mdr.FacadeMDRImpl.isAChangeEvent(java.lang.Object);1.0;1.0;0.0;0.0;1;1
org.argouml.profile.UserProfileReference(java.lang.String,java.net.URL);1.0;1.0;0.0;0.0;1;1
org.argouml.notation.providers.uml.StateBodyNotationUml.getParsingHelp();1.0;1.0;0.0;0.0;1;1
org.argouml.uml.diagram.ui.FigStereotype.setLineWidth(int);1.0;1.0;0.0;0.0;1;1
org.argouml.model.mdr.FacadeMDRImpl.isABehavioralFeature(java.lang.Object);1.0;1.0;0.0;0.0;1;1
org.argouml.uml.diagram.ui.FigMessage.setLineColor(java.awt.Color);1.0;1.0;0.0;0.0;1;1
org.argouml.uml.diagram.state.ui.FigShallowHistoryState(java.lang.Object,java.awt.Rectangle,org.argouml.uml.diagram.DiagramSettings);1.0;1.0;0.0;0.0;1;1
org.argouml.kernel.DefaultUndoManager$UndoStack(org.argouml.kernel.DefaultUndoManager);1.0;1.0;0.0;0.0;1;1
org.argouml.kernel.ProjectSettings$12.redo();1.0;1.0;0.0;0.0;1;1
org.argouml.model.mdr.StateMachinesFactoryMDRImpl.createCompositeState();1.0;1.0;1.3027777777777778;1.330952380952381;1;1
