# Unchanged scenarios (Rate method)
115
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
Entry point for TestModelElementNameNotationJava.testParsingPath;0.5740560637361909;0.28991845394256965;50.1;48.1;10;10
Entry point for TestUmlGeneralization.testClasshasSpecializations;NaN;1.0;0.0;0.0;10;10
Entry point for TestCrUnconventionalPackName.testPredicate2;0.16785065605707428;0.4496917979688907;78.0;81.2;10;10
Entry point for TestCrUnconventionalOperName.testComputeSuggestion;NaN;1.0;0.0;0.0;10;10
Entry point for TestTabs.testTabStereotypeIcon;0.9971702125954719;0.9397429895770734;149.7;149.6;10;10
Entry point for TestCrUnconventionalAttrName.testNullName;NaN;1.0;0.0;0.0;10;10
Entry point for TestModelManagementFactory.testSingleton;NaN;1.0;0.0;0.0;10;10
Entry point for TestCopyHelper.testCopyStereotype;0.9578267963064345;0.7054569861112734;23.4;23.2;10;10
Entry point for TestModelEventPump.testPropertySet;NaN;1.0;0.0;0.0;10;10
Entry point for TestActionCollaborationDiagram.testCreateDiagram;0.6637625400936477;0.6231762238821172;54.5;56.1;10;10
Entry point for TestProfileFacade.testRemove;NaN;1.0;0.0;0.0;10;10
Entry point for TestDiagramSettings.testShowBidirectionalArrows;1.0;1.0;1.5;1.5;10;10
Entry point for TestReaderModelLoader.testLoad;1.3363279406490148E-5;2.4612812790525407E-4;2606.7;2650.3;10;10
Entry point for TestCommonBehaviorHelper.testIsValidStereoType;0.9560936630267675;0.7623688184698398;84.1;84.3;10;10
Entry point for TestStateBodyNotationUml.testValidObjectCheck;NaN;1.0;0.0;0.0;10;10
Entry point for TestTranslator.testGetSystemDefaultLocale;NaN;1.0;0.0;0.0;10;10
Entry point for TestCallStateNotationUml.testValidObjectCheck;NaN;1.0;0.0;0.0;10;10
Entry point for TestProfileManager.testDefaultProfilesManagement;0.9765202451382454;0.9097218891455553;4.6;4.7;10;10
Entry point for TestCollaborationsHelper.testAllAvailable;0.8905990465375839;0.4056788952850532;129.2;132.6;10;10
Entry point for TestStateMachinesFactory.testSingleton;NaN;1.0;0.0;0.0;10;10
Entry point for TestStateMachinesHelper.testIsValidStereoType;0.3619511533213544;0.30748945661868143;73.4;70.1;10;10
Entry point for TestModelFacade2.testTaggedValue;0.7885159690642248;0.9397429895770734;42.0;43.4;10;10
Entry point for TestNotationSettings.testUseGuillemets;NaN;1.0;0.0;0.0;10;10
Entry point for TestModelFacade2.testGetStereotypes;1.0;1.0;12.6;12.6;10;10
Entry point for TestCrAssocNameConflict.testAssociations;0.8742939786816566;0.14046504815835548;59.0;57.7;10;10
Entry point for TestCrDupParamName.testPredicate2;0.18914974223653658;0.18587673236587576;103.1;98.4;10;10
Entry point for TestProfileManager.testGetUMLProfile;NaN;1.0;0.0;0.0;10;10
Entry point for TestFigClonable.testUseCaseClonable;1.0;1.0;210.6;210.6;10;10
