# Unchanged methods (TTest P-Value)
1542
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.argouml.kernel.ProjectSettings.setShowAssociationNames(boolean);1.0;1.0;16.0;15.0;1;1
org.argouml.uml.diagram.state.ui.FigTransition.initializeTransition();0.8501911220011387;0.5145391427581529;18.23076923076923;17.625;13;8
org.argouml.model.mdr.ModelManagementFactoryMDRImpl.buildElementImport(java.lang.Object,java.lang.Object);1.0;1.0;16.0;15.666666666666666;1;3
org.argouml.application.events.ArgoEventPump.doFireEvent(org.argouml.application.events.ArgoEvent);0.3503845985341315;0.8915640960560186;15.56140350877193;15.833333333333334;57;60
org.argouml.model.TestCoreFactory.testBuildRealization();0.27294138353862174;0.254751162990438;15.166666666666666;17.0;6;10
org.argouml.model.mdr.UndoCoreHelperDecorator.addOwnedElement(java.lang.Object,java.lang.Object);0.6788202834279755;0.706272200168183;15.565217391304348;15.666666666666666;23;6
org.argouml.kernel.TestProjectSettings.testProjectSettingsCreation();0.25873126711806715;0.17361733442494343;357.0;365.0;10;10
org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.createReturnAction();0.43244322186465667;0.4750505240539531;15.666666666666666;15.428571428571429;6;7
org.argouml.model.mdr.StateMachinesFactoryMDRImpl.buildCompositeStateOnStateMachine(java.lang.Object);0.31315540601434644;0.7077533861483949;16.05263157894737;15.625;38;40
org.argouml.uml.diagram.use_case.ui.FigUseCase.setExtensionPointsVisible(boolean);0.17468781426411864;0.5049850750938459;15.333333333333334;15.0;6;2
org.argouml.kernel.TestProject.testDeletePackageWithPackageWithActivityDiagram();0.14304176824079104;0.10734653699381091;34.3;122.71428571428571;10;7
org.argouml.model.mdr.ActivityGraphsFactoryMDRImpl.createActionState();0.23104382228908948;0.07388616616610977;17.166666666666668;15.5625;12;16
org.argouml.uml.diagram.state.ui.FigFinalState(java.lang.Object,java.awt.Rectangle,org.argouml.uml.diagram.DiagramSettings);1.0;1.0;16.0;16.0;1;2
org.argouml.uml.diagram.ArgoDiagramImpl.getContainingFig(java.lang.Object);0.23836348684922504;0.13508409432681157;17.181818181818183;15.428571428571429;11;7
org.argouml.uml.cognitive.critics.CrOperNameConflict();1.0;1.0;15.0;16.0;2;1
org.argouml.cognitive.checklist.ui.TestTabChecklist.testIcon();0.5585817605861594;0.0019397281129029942;201.1;229.4;10;10
org.argouml.model.mdr.CollaborationsFactoryMDRImpl.getCollabPkg();1.0;1.0;16.0;16.0;3;1
org.argouml.notation.providers.uml.OperationNotationUml.toString(java.lang.Object,boolean,boolean,boolean,boolean);0.5374403444266737;0.5637028616507731;15.75;15.5;4;4
org.argouml.model.TestModelEventPump.testRemoved();0.07069438974128037;0.17971249487899987;68.6;78.0;5;3
org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.createCallAction();0.38557578219811683;0.49768569469556756;15.771428571428572;15.676470588235293;35;34
org.argouml.model.mdr.ModelManagementHelperMDRImpl.contained(java.lang.Object,java.lang.Object);1.0;1.0;16.0;15.5;1;2
org.argouml.model.CheckUMLModelHelper.isValidStereoType(java.lang.Object,java.lang.Iterable);0.5832602158030193;0.6123483760907001;57.05194805194805;59.88;77;75
org.argouml.uml.diagram.ui.ArgoFigText(java.lang.Object,java.awt.Rectangle,org.argouml.uml.diagram.DiagramSettings,boolean);0.6864776911966193;0.39592222326257775;25.212962962962962;27.048192771084338;108;83
org.argouml.uml.diagram.ui.FigNodeModelElement.renderingChanged();0.49999999999999983;0.43857802608099994;15.0;15.5;2;2
org.argouml.application.helpers.ResourceLoader.isInCache(java.lang.String);0.8087684441414508;0.7728299926844475;15.333333333333334;15.5;3;2
org.argouml.uml.diagram.ui.FigStereotypesGroup.getMinimumSize();0.8087684441414508;0.7728299926844475;15.333333333333334;15.5;3;2
org.argouml.model.mdr.CoreFactoryMDRImpl.doCopyClass(java.lang.Object,java.lang.Object);0.7164562146752951;0.7557356175737271;15.6;15.666666666666666;15;15
org.argouml.ui.DetailsPane.setTarget(java.lang.Object,boolean);0.14567767392920894;0.7484683644266517;21.25;15.67741935483871;36;31
org.argouml.uml.diagram.ui.FigNodeModelElement.setBoundsImpl(int,int,int,int);0.15928839643294912;0.49348883422296985;51.40425531914894;15.486486486486486;47;37
org.argouml.model.TestModelEventPump.testRoleAddedSet();0.8087684441414508;0.7728299926844475;15.5;15.666666666666666;2;3
org.argouml.model.CheckUMLModelHelper.createAndRelease(java.lang.Object,java.lang.Iterable,java.lang.Object[]);0.16890716997926702;0.09292403427811002;145.96666666666667;164.13636363636363;90;88
org.argouml.model.mdr.CollaborationsFactoryMDRImpl.buildCollaboration(java.lang.Object);0.9519784932791164;0.9586871083965982;15.615384615384615;15.625;26;16
org.argouml.uml.diagram.ui.FigNodeModelElement.constructFigs();0.4465054529339113;0.5105691712089319;15.628571428571428;15.533333333333333;35;30
org.argouml.uml.diagram.static_structure.ui.FigPackage.setStandardBounds(int,int,int,int);0.20703125;0.2482130789899235;15.25;15.75;4;4
org.argouml.profile.TestCoreProfileReference.testCtorHappyPath();0.5307106449519405;1.0;429.0;1731.3333333333333;2;3
org.argouml.uml.diagram.static_structure.ui.FigClass(java.lang.Object,java.awt.Rectangle,org.argouml.uml.diagram.DiagramSettings);0.2632889614704287;0.4725719878229545;15.523809523809524;16.09375;21;32
org.argouml.persistence.PGMLStackParser.getOwner(java.lang.String,java.lang.String);1.0;1.0;16.0;31.0;1;2
org.argouml.notation.providers.uml.TestCallStateNotationUml.testStringGenerationNoClassName();0.45573358718708135;0.5228166539190887;15.4;15.166666666666666;5;6
org.argouml.model.mdr.StateMachinesHelperMDRImpl.addTransition(java.lang.Object,java.lang.Object);0.3847248494337032;0.3619347669211923;15.714285714285714;15.333333333333334;7;3
org.argouml.kernel.TestProject.testDeleteStateDiagram();0.26916045423657786;0.2570742986848298;41.55555555555556;53.4;9;5
org.argouml.kernel.AbstractProjectMember.getZipFileExtension();1.0;1.0;16.0;15.333333333333334;1;3
org.argouml.notation.providers.uml.AbstractMessageNotationUml.handleSequenceNumber(java.lang.Object,java.util.List,boolean);0.11830058218712636;0.17515792247265094;15.666666666666666;15.38888888888889;15;18
org.argouml.uml.ui.TestTabs.testTabStyleIcon();0.912092158772861;0.9247190374867695;15.75;15.714285714285714;4;7
org.argouml.persistence.TestProfileConfigurationFilePersister.testProfileConfigurationParser();0.3611616217177587;0.8205958397554409;15.6;17.1;10;10
org.argouml.uml.diagram.collaboration.ui.UMLCollaborationDiagram.createGraphModel();0.9190726776396984;0.9187074054282889;15.333333333333334;15.375;3;8
org.argouml.notation.providers.uml.NotationUtilityUml$10.found(java.lang.Object,java.lang.String);0.3654532990378997;0.24715997321190708;15.5;23.75;2;4
org.argouml.model.mdr.CoreFactoryMDRImpl.createFlow();0.9572496661765316;0.9670677813771822;15.8125;15.8;16;5
org.argouml.model.TestUmlFactoryBuildNode.testBuildStateMachineNodes();0.08930670199298874;0.4273553138978079;31.3;26.8;10;10
org.argouml.persistence.PGMLStackParser.constructFig(java.lang.String,java.lang.String,java.awt.Rectangle,org.xml.sax.Attributes);0.7850735174551374;0.7719044319909227;26.5625;28.085714285714285;208;210
org.argouml.notation.providers.uml.TestStateBodyNotationUml.checkGenerated(java.lang.Object,java.lang.String,boolean,boolean,boolean,int,boolean);0.996460633522145;0.6131331555216548;34.88181818181818;34.861702127659576;110;94
org.argouml.cognitive.ToDoList.spawnValidityChecker(org.argouml.cognitive.Designer);1.0;1.0;15.5;16.0;2;1
org.argouml.uml.diagram.ui.FigStereotypesGroup(java.lang.Object,java.awt.Rectangle,org.argouml.uml.diagram.DiagramSettings);0.8478285087793473;0.9743417627405536;16.16;16.0;25;32
org.argouml.persistence.TestXmiFilePersister.testCreateSaveAndLoadYieldsCorrectModel();0.10254550518695545;0.028365505605209895;983.0;1324.4;10;10
org.argouml.model.mdr.UndoCoreHelperDecorator.setSpecification(java.lang.Object,boolean);0.423399815151151;0.5637028616507731;15.5;20.666666666666668;2;3
org.argouml.ui.targetmanager.TestTargetManager.testGetTarget();NaN;0.049534613435626706;16.0;15.0;3;3
org.argouml.model.mdr.FacadeMDRImpl.getMetatypeNames();1.0;1.0;16.0;15.0;4;1
org.argouml.model.mdr.StateMachinesFactoryMDRImpl.deleteCompositeState(java.lang.Object);0.48220534828934836;0.5100675275575346;15.625;15.4;8;5
org.argouml.kernel.TestProject.testTrashcanClassContent();0.06171924163946044;0.10974463874701368;62.6;37.125;10;8
org.argouml.model.mdr.StateMachinesFactoryMDRImpl.createCompositeState();0.3940648510958531;0.4629279927806743;15.633333333333333;15.527777777777779;30;36
org.argouml.model.mdr.CommonBehaviorHelperMDRImpl.addActualArgument(java.lang.Object,java.lang.Object);1.0;1.0;16.0;15.0;1;1
org.argouml.notation.providers.uml.NotationUtilityUml$PropertySpecialString.invoke(java.lang.Object,java.lang.String,java.lang.String);0.14987802751575385;0.00841804406535207;15.333333333333334;20.6;15;10
org.argouml.model.mdr.StateMachinesFactoryMDRImpl.buildCompositeState(java.lang.Object);1.0;1.0;15.0;15.0;1;2
org.argouml.uml.ui.TabSrc.shouldBeEnabled(java.lang.Object);1.0;1.0;15.0;15.5;1;2
org.argouml.model.TestModelEventPump.testRemovedClass();1.0;1.0;16.0;15.666666666666666;1;3
org.argouml.model.mdr.UmlFactoryMDRImpl.deleteStateVertex(org.omg.uml.behavioralelements.statemachines.StateVertex);0.9813289455244203;0.9839212626595242;15.588235294117647;15.590909090909092;34;44
org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.createLinkEnd();1.0;1.0;15.0;15.5;1;2
org.argouml.model.mdr.ExtensionMechanismsHelperMDRImpl.setValueOfTag(java.lang.Object,java.lang.String);0.8087684441414508;0.7728299926844475;15.333333333333334;15.5;3;2
org.argouml.profile.internal.ocl.OclInterpreter.check(java.lang.Object);0.3284484797088094;0.6349223086646063;19.55;16.304347826086957;20;23
org.argouml.util.TokenSep.getNext();1.0;1.0;15.0;15.75;1;8
org.argouml.uml.diagram.ui.UMLDiagram.getNewDiagramName();0.8552188616941339;0.8703779032953792;15.5;15.461538461538462;12;13
