# Common members from the execution of scenario Entry point for AsyncServletIOTest.testBigRead | Test = UTest, Value = 0.05
Name;P-Value (TTest);P-Value (UTest);AVG R1;AVG R2;N1;N2;Delta;Variation
Entry point for AsyncServletIOTest.testBigRead;0.444832769289486;0.5058591780795983;327.6;327.5;30;30;-0.10000000000002274;0
4
Name;P-Value (TTest);P-Value (UTest);AVG R1;AVG R2;N1;N2;Delta;Variation
org.eclipse.jetty.util.log.StdErrLog.debug(java.lang.String,java.lang.Object[]);NaN;1.0;0.0;0.0;150;150;0.0;0
org.eclipse.jetty.servlet.AsyncServletIOTest.process(byte[],int[]);0.444832769289486;0.5058591780795983;327.6;327.5;30;30;-0.10000000000002274;0
org.eclipse.jetty.servlet.AsyncServletIOTest.process(java.lang.String,int[]);0.444832769289486;0.5058591780795983;327.6;327.5;30;30;-0.10000000000002274;0
org.eclipse.jetty.servlet.AsyncServletIOTest.testBigRead();0.444832769289486;0.5058591780795983;327.6;327.5;30;30;-0.10000000000002274;0
# Common members from the execution of scenario Entry point for AsyncIOServletTest.testAsyncReadThrowsException | Test = UTest, Value = 0.05
Name;P-Value (TTest);P-Value (UTest);AVG R1;AVG R2;N1;N2;Delta;Variation
Entry point for AsyncIOServletTest.testAsyncReadThrowsException;2.964289230597657E-6;8.794537064725771E-4;29.066666666666666;20.4;30;30;-8.666666666666668;-1
235
Name;P-Value (TTest);P-Value (UTest);AVG R1;AVG R2;N1;N2;Delta;Variation
org.eclipse.jetty.server.AbstractConnector.getAcceptors();NaN;1.0;0.0;0.0;60;60;0.0;0
org.eclipse.jetty.server.ServerConnector(org.eclipse.jetty.server.Server,java.util.concurrent.Executor,org.eclipse.jetty.util.thread.Scheduler,org.eclipse.jetty.io.ByteBufferPool,int,int,org.eclipse.jetty.server.ConnectionFactory[]);0.32558198801619365;0.8244957516547711;0.0;0.5333333333333334;30;30;0.5333333333333334;0
org.eclipse.jetty.server.Server.start(org.eclipse.jetty.util.component.LifeCycle);0.366411679346633;0.6075744628905291;2.2777777777777772;1.577777777777777;90;90;-0.7000000000000002;0
org.eclipse.jetty.util.thread.QueuedThreadPool();NaN;1.0;0.0;0.0;30;30;0.0;0
org.eclipse.jetty.servlet.ServletContextHandler(org.eclipse.jetty.server.HandlerContainer,java.lang.String,boolean,boolean);NaN;1.0;0.0;0.0;30;30;0.0;0
org.eclipse.jetty.servlet.ServletMapping.setServletName(java.lang.String);NaN;1.0;0.0;0.0;60;60;0.0;0
org.eclipse.jetty.servlet.ServletHandler.invalidateChainsCache();NaN;1.0;0.0;0.0;120;120;0.0;0
org.eclipse.jetty.http.PathMap$MappedEntry(java.lang.String,java.lang.Object);NaN;1.0;0.0;0.0;90;90;0.0;0
org.eclipse.jetty.util.component.ContainerLifeCycle$Bean.access$3(org.eclipse.jetty.util.component.ContainerLifeCycle.Bean,org.eclipse.jetty.util.component.ContainerLifeCycle.Managed);NaN;1.0;0.0;0.0;780;780;0.0;0
org.eclipse.jetty.util.Uptime$DefaultImpl.getUptime();0.32558198801619365;0.8244957516547711;0.5333333333333333;0.0;30;30;-0.5333333333333333;0
org.eclipse.jetty.server.Server.isDumpAfterStart();NaN;1.0;0.0;0.0;30;30;0.0;0
org.eclipse.jetty.util.thread.QueuedThreadPool(int,int,int,java.util.concurrent.BlockingQueue);NaN;1.0;0.0;0.0;30;30;0.0;0
org.eclipse.jetty.servlet.ServletHolder.compareTo(org.eclipse.jetty.servlet.ServletHolder);NaN;1.0;0.0;0.0;30;30;0.0;0
org.eclipse.jetty.server.AbstractConnector.getConnectionFactory(java.lang.String);NaN;1.0;0.0;0.0;30;30;0.0;0
org.eclipse.jetty.server.Server.getThreadPool();NaN;1.0;0.0;0.0;60;60;0.0;0
org.eclipse.jetty.servlet.ServletMapping.setPathSpec(java.lang.String);NaN;1.0;0.0;0.0;60;60;0.0;0
org.eclipse.jetty.servlet.ServletHolder(org.eclipse.jetty.servlet.BaseHolder.Source);NaN;1.0;0.0;0.0;60;60;0.0;0
org.eclipse.jetty.server.handler.ContextHandler$ApproveNonExistentDirectoryAliases();NaN;1.0;0.0;0.0;30;30;0.0;0
org.eclipse.jetty.servlet.ServletHandler.newServletHolder(org.eclipse.jetty.servlet.BaseHolder.Source);NaN;1.0;0.0;0.0;30;30;0.0;0
org.eclipse.jetty.servlet.ServletContextHandler(org.eclipse.jetty.server.HandlerContainer,java.lang.String,org.eclipse.jetty.server.session.SessionHandler,org.eclipse.jetty.security.SecurityHandler,org.eclipse.jetty.servlet.ServletHandler,org.eclipse.jetty.server.handler.ErrorHandler,int);1.0;1.0;0.5;0.5;30;30;0.0;0
org.eclipse.jetty.server.handler.ContextHandler.getContextPath();NaN;1.0;0.0;0.0;30;30;0.0;0
org.eclipse.jetty.server.handler.ContextHandler.startContext();0.10407517978283443;0.28711193012328706;4.200000000000001;1.6000000000000003;30;30;-2.6000000000000005;0
org.eclipse.jetty.servlet.ServletHolder$Registration(org.eclipse.jetty.servlet.ServletHolder);NaN;1.0;0.0;0.0;30;30;0.0;0
org.eclipse.jetty.server.AbstractNetworkConnector.getHost();NaN;1.0;0.0;0.0;30;30;0.0;0
org.eclipse.jetty.servlet.ServletHandler.addServletWithMapping(java.lang.Class,java.lang.String);0.325581988016194;0.8244957516547711;0.5333333333333333;0.0;30;30;-0.5333333333333333;0
org.eclipse.jetty.util.component.AbstractLifeCycle.isStarting();NaN;1.0;0.0;0.0;300;300;0.0;0
org.eclipse.jetty.io.SelectorManager.doStart();0.6815035298863336;0.847587480259332;1.5333333333333334;1.0666666666666667;30;30;-0.4666666666666668;0
org.eclipse.jetty.servlet.ServletHandler.setServlets(org.eclipse.jetty.servlet.ServletHolder[]);0.321394279769444;0.8748829885276901;0.26666666666666644;0.0;60;60;-0.26666666666666644;0
org.eclipse.jetty.util.AttributesMap.map();NaN;1.0;0.0;0.0;30;30;0.0;0
