# Unchanged methods (Rate method)
412
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.eclipse.jetty.servlet.AsyncServletLongPollTest.prepare(javax.servlet.http.HttpServlet);0.4641774459702679;0.9626310820312192;420.9;422.7;30;10
org.eclipse.jetty.util.ConcurrentArrayQueue.getBlockSize();NaN;1.0;0.0;0.0;960;240
org.eclipse.jetty.servlet.ServletContextHandler.callContextInitialized(javax.servlet.ServletContextListener,javax.servlet.ServletContextEvent);NaN;1.0;0.0;0.0;30;10
org.eclipse.jetty.servlet.ServletContextHandlerTest$2(org.eclipse.jetty.servlet.ServletContextHandlerTest);NaN;1.0;0.0;0.0;30;10
org.eclipse.jetty.io.WriteFlusher$WritingState();NaN;1.0;0.0;0.0;240;80
org.eclipse.jetty.server.handler.HandlerList();NaN;1.0;0.0;0.0;30;10
org.eclipse.jetty.servlet.AsyncServletTest.process(java.lang.String,java.lang.String);0.7519852941863363;0.2792619386142873;80.83529411764705;83.25882352941177;510;170
org.eclipse.jetty.util.component.AbstractLifeCycle.stop();0.897797159486175;0.2732655338838412;0.8223809523809524;0.8017857142857143;2100;560
org.eclipse.jetty.servlet.FilterHolder$Config(org.eclipse.jetty.servlet.FilterHolder);NaN;1.0;0.0;0.0;120;40
org.eclipse.jetty.servlet.AsyncServletLongPollTest.testSuspendedRequestCompletedByAnotherRequest();7.999308632797914E-5;0.01549094048289179;614.5666666666667;625.6;30;10
org.eclipse.jetty.server.handler.ContextHandler.getAttribute(java.lang.String);NaN;1.0;0.0;0.0;120;40
org.eclipse.jetty.servlet.DispatcherForwardTest$16(org.eclipse.jetty.servlet.DispatcherForwardTest);NaN;1.0;0.0;0.0;30;10
org.eclipse.jetty.servlet.FilterMapping();NaN;1.0;0.0;0.0;420;140
org.eclipse.jetty.io.WriteFlusher$State(org.eclipse.jetty.io.WriteFlusher.StateType);NaN;1.0;0.0;0.0;720;240
org.eclipse.jetty.io.ByteArrayEndPoint(org.eclipse.jetty.util.thread.Scheduler,long);NaN;1.0;0.0;0.0;4260;1420
org.eclipse.jetty.util.ConcurrentArrayQueue$1();NaN;1.0;0.0;0.0;120;40
org.eclipse.jetty.servlet.FilterHolder(org.eclipse.jetty.servlet.BaseHolder.Source);NaN;1.0;0.0;0.0;300;100
org.eclipse.jetty.server.handler.ContextHandler.getInitParameter(java.lang.String);NaN;1.0;0.0;0.0;720;240
org.eclipse.jetty.servlet.AsyncServletTest.testFwdStartDispatch();0.5917004568337965;0.9377589428180783;31.233333333333334;30.2;30;10
org.eclipse.jetty.server.LocalConnector.getResponses(java.nio.ByteBuffer,long,java.util.concurrent.TimeUnit);0.6483036905817974;0.008024363605736884;15.134741784037558;15.766197183098592;4260;1420
org.eclipse.jetty.security.SecurityHandler.doStart();0.9885883764586751;0.6619035604716124;3.066666666666667;3.1;30;10
org.eclipse.jetty.util.log.StdErrLog.debug(java.lang.String,java.lang.Object[]);NaN;1.0;0.0;0.0;4920;1640
org.eclipse.jetty.servlet.SSLAsyncIOServletTest$1(org.eclipse.jetty.servlet.SSLAsyncIOServletTest,byte[]);NaN;1.0;0.0;0.0;60;20
org.eclipse.jetty.util.statistic.SampleStatistic();NaN;1.0;0.0;0.0;120;40
org.eclipse.jetty.servlet.ServletContextHandler.getSecurityHandler();NaN;1.0;0.0;0.0;1020;320
org.eclipse.jetty.servlet.ServletContextHandler(org.eclipse.jetty.server.HandlerContainer,java.lang.String,org.eclipse.jetty.server.session.SessionHandler,org.eclipse.jetty.security.SecurityHandler,org.eclipse.jetty.servlet.ServletHandler,org.eclipse.jetty.server.handler.ErrorHandler);NaN;1.0;0.0;0.0;420;140
org.eclipse.jetty.io.FillInterest.fillable();NaN;1.0;0.0;0.0;4260;1420
org.eclipse.jetty.server.ShutdownMonitor.getInstance();0.9461190122801858;0.884313447829786;0.0803921568627451;0.07704918032786885;2040;610
org.eclipse.jetty.server.AbstractConnector.getServer();NaN;1.0;0.0;0.0;690;210
org.eclipse.jetty.util.component.ContainerLifeCycle.addBean(java.lang.Object,org.eclipse.jetty.util.component.ContainerLifeCycle.Managed);0.8211994575729742;0.3290883763262251;0.19074355083459787;0.1853225806451613;19770;6200
org.eclipse.jetty.util.ArrayTernaryTrie(int);NaN;1.0;0.0;0.0;180;60
org.eclipse.jetty.servlet.ServletContextHandlerTest.testReplaceHandler();0.6426462344100766;0.6847045541951502;29.133333333333333;28.0;30;10
org.eclipse.jetty.util.IO.close(java.io.InputStream);NaN;1.0;0.0;0.0;30;10
org.eclipse.jetty.util.ssl.SslContextFactory.selectProtocols(java.lang.String[],java.lang.String[]);NaN;1.0;0.0;0.0;60;20
org.eclipse.jetty.util.ArrayUtil.asMutableList(java.lang.Object[]);NaN;1.0;0.0;0.0;360;100
org.eclipse.jetty.server.LocalConnector.executeRequest(java.nio.ByteBuffer);0.7904555596730236;0.20838586359807476;2.232863849765258;2.2929577464788733;4260;1420
