# Unchanged methods (UTest P-Value)
3619
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.apache.wicket.protocol.http.mock.Cookies$Key(javax.servlet.http.Cookie);NaN;1.0;0.0;0.0;100;100
org.apache.wicket.request.mapper.info.PageInfo();NaN;1.0;0.0;0.0;4840;3610
org.apache.wicket.velocity.Initializer.getVelocityProperties(org.apache.wicket.Application);0.377235203765655;0.7568121544696486;4.933333333333334;2.85;60;60
org.apache.wicket.util.io.FullyBufferedReader.getLineNumber();0.31732260685287494;0.993090289751818;7.5E-4;0.0;20000;20000
org.apache.wicket.Component.getMarkup();0.4862398186225575;0.8870249675407575;0.13506072123852786;0.11900435709650506;107870;107870
org.apache.wicket.markup.html.form.RadioChoice.appendOptionHtml(org.apache.wicket.util.string.AppendingStringBuffer,java.lang.Object,int,java.lang.String);0.32558198801619376;0.8244957516547711;0.5;0.0;30;30
org.apache.wicket.devutils.debugbar.DebugBar(java.lang.String);NaN;1.0;0.0;0.0;420;420
org.apache.wicket.request.handler.render.WebPageRenderer.shouldPreserveClientUrl(org.apache.wicket.request.cycle.RequestCycle);0.3177510552291226;0.958369671497042;0.0;0.02727272727272727;550;550
org.apache.wicket.util.collections.MicroMap.put(java.lang.Object,java.lang.Object);NaN;1.0;0.0;0.0;30;30
org.apache.wicket.examples.library.AuthenticatedWebPage();NaN;1.0;0.0;0.0;10;10
org.apache.wicket.util.license.CssLicenseHeaderHandler(java.util.List);NaN;1.0;0.0;0.0;10;10
org.apache.wicket.request.mapper.info.ComponentInfo.getRenderCount();NaN;1.0;0.0;0.0;180;180
org.apache.wicket.request.mapper.parameter.PageParameters$Entry.access$0(org.apache.wicket.request.mapper.parameter.PageParameters.Entry);0.31732361623530314;0.9931092825025516;8.66738894907909E-4;0.0;18460;15660
org.apache.wicket.request.resource.caching.version.LastModifiedResourceVersion.getVersion(org.apache.wicket.request.resource.caching.IStaticCacheableResource);0.4505671133275524;0.5614713053962831;1.224110671936759;0.5790513833992095;2530;2530
org.apache.wicket.Page.onRender();0.15236380451168297;0.5163755007681811;385.47037037037035;423.5148148148148;540;540
org.apache.wicket.authorization.Action(java.lang.String);0.1583399056597269;0.8069683671707382;0.0;0.32;100;100
org.apache.wicket.util.convert.converter.CalendarConverter();NaN;1.0;0.0;0.0;60;60
org.apache.wicket.Component.setDefaultModel(org.apache.wicket.model.IModel);0.6473979682243276;0.8925850106986768;2.7130434782608694;2.360869565217391;230;230
org.apache.wicket.MarkupContainer.getAssociatedMarkup();0.1979862492274851;0.878781626554243;2.29892029215624;2.569260082565894;31490;31490
org.apache.wicket.protocol.http.servlet.ServletWebRequest.getHeader(java.lang.String);0.3200398591256106;0.9959777416579539;0.003911514796366832;0.017669560100044137;68260;67970
org.apache.wicket.session.HttpSessionStore.getBindListeners();NaN;1.0;0.0;0.0;90;90
org.apache.wicket.util.value.ValueMap();1.0;1.0;6.902502157031924E-4;6.902502157031924E-4;23180;23180
org.apache.wicket.markup.html.form.FormComponent.onValid();NaN;1.0;0.0;0.0;190;190
org.apache.wicket.MarkupContainer.newDequeueContext();0.41426290361148344;0.8625158344722207;3.474127906976744;3.7273255813953488;20640;20640
org.apache.wicket.util.collections.UrlExternalFormComparator();NaN;1.0;0.0;0.0;60;60
org.apache.wicket.util.lang.Bytes.gigabytes();0.3174225702545178;0.9789787612831247;0.006944444444444444;0.0;2160;2160
org.apache.wicket.markup.html.image.Image.onComponentTag(org.apache.wicket.markup.ComponentTag);0.36414234343564433;0.7870735590033229;4.853982300884955;5.615221238938053;5650;5650
org.apache.wicket.UrlResourceReferenceMapper.mapHandler(org.apache.wicket.request.IRequestHandler);0.06387715484851955;0.9219791062708534;0.030882352941176472;0.0159846547314578;15640;15640
org.apache.wicket.request.cycle.RequestCycleContext(org.apache.wicket.request.Request,org.apache.wicket.request.Response,org.apache.wicket.request.IRequestMapper,org.apache.wicket.request.IExceptionMapper);NaN;1.0;0.0;0.0;910;910
org.apache.wicket.markup.MarkupCache$DefaultCacheImplementation.get(java.lang.Object);0.7712098641937544;0.9961081734516936;0.0012373096446700507;0.001475253807106599;63040;63040
org.apache.wicket.session.HttpSessionStore();0.15903677131158922;0.752823664896205;0.0;0.5333333333333333;60;60
org.apache.wicket.markup.html.form.AbstractTextComponent.resolveType();0.7803711386415838;0.9704129725741537;2.0055555555555555;2.1333333333333333;360;360
org.apache.wicket.page.PageAccessSynchronizer.lockPage(int);0.19481541023936477;0.6331088983354921;0.8168224299065421;1.029906542056075;1070;1070
org.apache.wicket.markup.html.panel.AbstractMarkupSourcingStrategy();NaN;1.0;0.0;0.0;2710;2710
org.apache.wicket.markup.html.list.ListView.removeLink(java.lang.String,org.apache.wicket.markup.html.list.ListItem);0.32347494517138287;0.8473896596867143;0.4;0.0;40;40
org.apache.wicket.util.collections.IntHashMap.indexFor(int,int);0.4242367014376748;0.9941084235728799;2.908033442384587E-4;5.725190839694657E-4;110040;110040
org.apache.wicket.RestartResponseAtInterceptPageException$1.mapRequest(org.apache.wicket.request.Request);0.5463058908018923;0.8900736336232729;0.3875;0.1875;80;80
org.apache.wicket.markup.html.form.FormComponent.hasRawInput();NaN;1.0;0.0;0.0;60;60
org.apache.wicket.request.handler.render.PageRenderer.getPageProvider();0.317417138123821;0.9794941809478728;0.0;0.006607929515418502;2270;2270
org.apache.wicket.util.license.XmlLicenseHeaderHandler.checkLicenseHeader(java.io.File);0.49432254764620953;0.5418837935731993;9.563636363636364;8.731818181818182;220;220
org.apache.wicket.Component.detach();0.003447171052876409;0.2280645619861631;1.1844331641285957;0.8556321005559584;82740;82740
org.apache.wicket.Page$5(org.apache.wicket.Page);NaN;1.0;0.0;0.0;540;540
org.apache.wicket.Page.componentModelChanging(org.apache.wicket.Component);0.3232710167084375;0.8165679119606165;0.14545454545454545;0.42727272727272725;110;110
org.apache.wicket.util.file.Files.getLocalFileFromUrl(java.lang.String);0.08340416821871315;0.9417738924449354;0.0;0.01857707509881423;2530;2530
org.apache.wicket.response.filter.EmptySrcAttributeCheckFilter.filter(org.apache.wicket.util.string.AppendingStringBuffer);0.9816161691834063;0.9996886462775711;0.11296296296296296;0.11481481481481481;540;540
org.apache.wicket.request.cycle.RequestCycleListenerCollection.onRequestHandlerScheduled(org.apache.wicket.request.cycle.RequestCycle,org.apache.wicket.request.IRequestHandler);0.04528806518518629;0.674328911418277;0.10952380952380952;0.45;420;420
org.apache.wicket.core.request.handler.BookmarkableListenerInterfaceRequestHandler.getBehaviorIndex();NaN;1.0;0.0;0.0;3080;3090
org.apache.wicket.markup.html.form.Form$9(org.apache.wicket.markup.html.form.Form);NaN;1.0;0.0;0.0;50;50
org.apache.wicket.settings.DebugSettings.setComponentUseCheck(boolean);NaN;1.0;0.0;0.0;60;60
org.apache.wicket.util.convert.converter.CharacterConverter();NaN;1.0;0.0;0.0;50;50
org.apache.wicket.markup.parser.XmlTag.getNamespace();1.0;1.0;2.229253559614555E-4;2.229253559614555E-4;139060;139060
org.apache.wicket.markup.resolver.WicketMessageResolver();NaN;1.0;0.0;0.0;60;60
org.apache.wicket.util.license.CssLicenseHeaderHandler.getLicenseHeaderFilename();NaN;1.0;0.0;0.0;10;10
org.apache.wicket.core.request.mapper.AbstractBookmarkableMapper$MountPathSegment.setFixedPart(java.lang.String);NaN;1.0;0.0;0.0;60;60
org.apache.wicket.settings.PageSettings.getComponentResolvers();NaN;1.0;0.0;0.0;2950;2950
org.apache.wicket.DequeueContext.pushContainer(org.apache.wicket.MarkupContainer);0.7483330314019707;0.9942289622302083;0.0023887468030690537;0.0025917813934084274;195500;191760
org.apache.wicket.request.cycle.RequestCycle.processRequest();0.5079593986389715;0.670404487558119;533.8976470588235;557.3364705882353;850;850
org.apache.wicket.request.handler.logger.DelegateLogData(org.apache.wicket.request.ILogData);NaN;1.0;0.0;0.0;20;20
org.apache.wicket.core.request.handler.BufferedResponseRequestHandler.detach(org.apache.wicket.request.IRequestCycle);NaN;1.0;0.0;0.0;250;250
org.apache.wicket.Page.onAfterRender();0.49600843348691925;0.25103297369813604;16.824074074074073;14.481481481481481;540;540
org.apache.wicket.Session.getId();0.5217397742934116;0.9643204971869251;0.021;0.03166666666666667;3000;3000
org.apache.wicket.util.tester.BaseWicketTester.newFormTester(java.lang.String);0.05017338587170515;0.15159665373405617;13.12;7.48;50;50
org.apache.wicket.Component.onBeforeRenderChildren();0.31731892152866525;0.9942378614060347;0.0;5.563282336578582E-4;28760;28760
org.apache.wicket.ConverterLocator.set(java.lang.Class,org.apache.wicket.util.convert.IConverter);0.3174859443039393;0.9737040513388032;0.0;0.011594202898550725;1380;1380
org.apache.wicket.examples.forminput.BeforeAndAfterBorder();NaN;1.0;0.0;0.0;10;10
org.apache.wicket.devutils.debugbar.DebugBar.isVisible();0.21906627387903;0.9901528479945959;0.03420919656392117;0.017837291561394644;39580;39580
org.apache.wicket.ConverterLocator$DefaultConverter(java.lang.Class,org.apache.wicket.ConverterLocator.DefaultConverter);NaN;1.0;0.0;0.0;3670;3670
org.apache.wicket.util.parse.metapattern.MetaPattern(java.util.List);0.31732233482279637;0.9931684026202204;7.820136852394917E-4;0.0;20460;20460
