# Degradated methods (TTest P-Value)
108
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.apache.wicket.util.license.XmlLicenseHeaderHandler.checkLicenseHeader(java.io.File);4.979538334861052E-6;2.1278715094275036E-5;8.731818181818182;15.280952380952382;220;210
org.apache.wicket.markup.parser.filter.WicketContainerTagHandler.onComponentTag(org.apache.wicket.markup.ComponentTag);0.0454972619589399;0.9701320319551013;0.0;0.0033351862145636463;19920;17990
org.apache.wicket.core.request.mapper.AbstractComponentMapper.getPageClass(java.lang.String);2.404357607134469E-4;0.07240961696301995;0.5818181818181818;2.2863636363636366;220;220
org.apache.wicket.core.request.mapper.MountedMapper.mapHandler(org.apache.wicket.request.IRequestHandler);0.002386364103454234;0.7041992002873085;0.06745454545454546;0.10569886022795441;22000;16670
org.apache.wicket.filtertest.WithoutCPWithFPTest.testHelloWorld();4.008821244566281E-21;6.3018482210353E-8;63.15;117.05;20;20
org.apache.wicket.util.license.ApacheLicenseHeaderTestCase$1.visitFile(java.io.File);7.798232179001175E-107;0.0;3.7625;8.389655172413793;4880;4930
org.apache.wicket.MarkupContainer.autoAdd(org.apache.wicket.Component,org.apache.wicket.markup.MarkupStream);1.3843956006652083E-20;2.682568789716955E-4;0.3792517006802721;1.3289473684210527;2940;2660
org.apache.wicket.Localizer();8.961912870094616E-5;7.959163393098656E-4;1.55;12.5;20;20
org.apache.wicket.core.util.resource.locator.caching.CachingResourceStreamLocator.locate(java.lang.Class,java.lang.String,java.lang.String,java.lang.String,java.util.Locale,java.lang.String,boolean);0.003385639380817717;2.6592918245249564E-7;1.2138436482084691;1.6598765432098765;12280;12960
org.apache.wicket.util.string.Entities.addEntities(java.lang.String[][]);0.00527008990142848;0.040492613538346656;5.585714285714285;6.734523809523809;840;840
org.apache.wicket.MarkupContainer$3.component(org.apache.wicket.Component,org.apache.wicket.util.visit.IVisit);1.0898533860020181E-5;0.001847002952339083;0.268436018957346;0.4119845944721341;63300;44140
org.apache.wicket.util.visit.Visits.visitChildren(java.lang.Iterable,org.apache.wicket.util.visit.IVisitor,org.apache.wicket.util.visit.IVisitFilter);0.019957830912882116;0.9616662549966577;1.6842105263157896;2.278397212543554;20520;14350
org.apache.wicket.Component.fireInitialize();0.040333196991801656;0.011389413383365965;0.46159568086382724;0.5676959619952494;83350;54730
org.apache.wicket.examples.forminput.FormInput$InputForm$2.populateItem(org.apache.wicket.markup.html.list.ListItem);0.0024949370976422376;0.024625161703710985;16.166666666666668;25.0;30;30
org.apache.wicket.session.DefaultPageFactory.constructor(java.lang.Class,java.lang.Class);0.009657152216280473;0.46211910574959225;0.17222222222222222;1.3777777777777778;180;180
org.apache.wicket.examples.library.Home(org.apache.wicket.request.mapper.parameter.PageParameters);2.31310571707925E-9;1.5705228423079642E-4;49.9;163.7;10;10
org.apache.wicket.examples.hangman.Home(org.apache.wicket.request.mapper.parameter.PageParameters);1.8446974925056988E-5;4.600727270089866E-4;12.55;31.95;20;20
org.apache.wicket.Component.wrap(org.apache.wicket.model.IModel);0.025405036764738546;0.9216575053695932;0.0;0.015476190476190477;9360;5040
org.apache.wicket.examples.library.Home$1.populateItem(org.apache.wicket.markup.html.list.ListItem);5.665615218487824E-4;1.9318868904605324E-7;42.525;115.875;40;40
org.apache.wicket.examples.template.pageinheritance.TemplatePage();3.1535511456243013E-10;1.5705228423079642E-4;51.4;160.9;10;10
org.apache.wicket.util.tester.BaseWicketTester$TestRequestMapper.mapRequest(org.apache.wicket.request.Request);0.003909286409025646;0.44726634265603915;4.816470588235294;6.315294117647059;850;850
org.apache.wicket.Application.exists();0.04872439685609896;0.9358182673524664;0.003277229325133517;0.008993063860320498;123580;83620
org.apache.wicket.markup.html.form.FormComponent.newValidatable();0.03156626556152766;0.4642937186134408;0.16;1.11;100;100
org.apache.wicket.Component.renderComponentTag(org.apache.wicket.markup.ComponentTag);0.0058811580733746874;0.2245291845048074;0.6442876344086022;1.217035864978903;29760;18960
org.apache.wicket.core.request.mapper.BufferedResponseMapper.mapRequest(org.apache.wicket.request.Request);0.04623925750536591;0.540108242072928;0.3303030303030303;0.9090909090909091;330;330
org.apache.wicket.examples.niceurl.Page1(org.apache.wicket.request.mapper.parameter.PageParameters);1.7096026593454223E-6;0.00100797624037674;1.6;17.1;10;10
org.apache.wicket.markup.html.form.FormComponent.validate();0.037564563493811154;0.32839315835531246;0.63;1.89;100;100
org.apache.wicket.util.license.AbstractLicenseHeaderHandler.extractLicenseHeader(java.io.File,int,int);1.1115296274936032E-111;0.0;3.6043032786885245;8.243610547667343;4880;4930
org.apache.wicket.markup.html.border.Border.addToBorder(org.apache.wicket.Component[]);0.001663262457027857;0.13342008973716157;0.0;4.416666666666667;50;60
org.apache.wicket.markup.parser.XmlTag.isClose();0.027921563086002323;0.987288147176413;9.603400012259659E-5;3.994501076440225E-4;489410;385530
org.apache.wicket.request.cycle.RequestCycleListenerCollection$5.notify(org.apache.wicket.request.cycle.IRequestCycleListener);0.02295884152930848;0.7897980771936973;0.03686274509803922;0.10313725490196078;2550;2550
org.apache.wicket.markup.html.panel.FeedbackPanel$1.onConfigure();0.017565181115071684;0.04129351866843611;7.78;13.42;50;50
org.apache.wicket.Application.getSecuritySettings();0.011254358866465074;0.8785235952458909;0.011054164239953408;0.018112582781456953;85850;60400
org.apache.wicket.examples.template.border.Page1();2.9354207626799048E-5;1.5705228423079642E-4;56.2;142.0;10;10
org.apache.wicket.examples.niceurl.Page2(org.apache.wicket.request.mapper.parameter.PageParameters);1.2456275297872813E-5;2.9883000630104295E-4;7.766666666666667;33.016666666666666;60;60
org.apache.wicket.core.util.lang.PropertyResolver.getValue(java.lang.String,java.lang.Object);0.007183831512645786;0.4906461101115457;0.3035971223021583;0.5805755395683453;1390;1390
org.apache.wicket.request.Url.equals(java.lang.Object);4.2716645205612127E-8;0.38017594116317033;0.014222222222222223;0.25822222222222224;2250;2250
org.apache.wicket.markup.html.form.FormComponent.getInputName();0.0014494757230144842;0.6302323695681655;0.02830188679245283;0.2175925925925926;1060;1080
org.apache.wicket.markup.html.form.Form.getRootFormRelativeId(org.apache.wicket.Component);0.0024495244800837625;0.6568652704310445;0.02830188679245283;0.20277777777777778;1060;1080
org.apache.wicket.request.mapper.CompoundRequestMapper.mapRequest(org.apache.wicket.request.Request);0.0027669918525951966;0.3575163766742765;4.896341463414634;6.489024390243903;820;820
org.apache.wicket.examples.guestbook.GuestBook();1.7855846709298567E-7;1.5705228423079642E-4;59.2;146.8;10;10
org.apache.wicket.util.markup.xhtml.WellFormedXmlTestCase.processFile(java.io.File);3.022858984974205E-4;0.0013478745613459964;6.016194331983805;7.865587044534413;2470;2470
org.apache.wicket.markup.html.form.FormComponent.getModelObject();0.004458477781865456;0.07604147583024301;0.0;4.733333333333333;30;30
org.apache.wicket.markup.html.form.CheckBox.getConverter(java.lang.Class);4.2178150470403484E-4;0.0019397281129029942;3.0;14.1;10;10
org.apache.wicket.util.markup.xhtml.WellFormedXmlTest.markupFiles();0.002354067929784184;0.002496908915141538;1802.0;2279.1;10;10
org.apache.wicket.util.license.CssLicenseHeaderHandler.checkLicenseHeader(java.io.File);4.133950825725058E-6;6.949142782641804E-5;5.29;14.463636363636363;100;110
org.apache.wicket.core.util.resource.UrlResourceStream.getData(boolean);0.002176776144754662;0.1951689330148153;0.42550143266475643;0.6924603174603174;3490;2520
org.apache.wicket.core.util.lang.PropertyResolver$ObjectAndGetSetter.getValue();0.02534525476873118;0.8695567398290489;0.0;0.05467625899280575;1390;1390
org.apache.wicket.util.license.PropertiesLicenseHeaderHandler.checkLicenseHeader(java.io.File);1.0260086056352156E-12;6.633414040280172E-9;4.5120689655172415;8.622033898305085;580;590
org.apache.wicket.core.request.mapper.AbstractBookmarkableMapper.mapRequest(org.apache.wicket.request.Request);5.8953131224165956E-5;0.0884311084514896;2.567857142857143;4.5303571428571425;560;560
org.apache.wicket.markup.html.link.ResourceLink.getURL();0.009742552601633776;0.019109922206844376;9.1;18.5;10;10
org.apache.wicket.core.util.resource.locator.ExtensionResourceNameIterator(java.lang.Iterable);0.025417137190450446;0.9730944498214031;0.0;0.002590501494520093;25310;30110
org.apache.wicket.util.string.StringValue(java.lang.String,java.util.Locale);0.04558700464421257;0.9896333783632197;0.0;3.798966182973158E-4;208330;160570
org.apache.wicket.markup.html.internal.HtmlHeaderContainer.getHeaderResponse();0.006379867641230773;0.7951234213599415;0.033941344778254647;0.07475973697521497;27960;19770
org.apache.wicket.examples.ajax.prototype.Index();2.7443760079196207E-9;1.5705228423079642E-4;35.9;118.8;10;10
org.apache.wicket.util.string.AppendingStringBuffer.append(org.apache.wicket.util.string.AppendingStringBuffer);0.045561680161681314;0.9244735148115361;0.0;0.02359550561797753;2670;2670
org.apache.wicket.markup.ComponentTag.writeOutput(org.apache.wicket.request.Response,boolean,java.lang.String);0.014001253515831823;0.2999764704501454;0.3023521505376344;0.7212025316455696;29760;18960
org.apache.wicket.util.convert.converter.AbstractDateConverter.getDateFormat(java.util.Locale);0.028963182605244314;0.2915376460035958;0.64;4.36;50;50
org.apache.wicket.util.license.ApacheLicenseHeaderTestCase.visitDirectory(java.util.List,java.util.List,java.io.File,org.apache.wicket.util.license.ApacheLicenseHeaderTestCase.FileVisitor);2.2651341926446592E-5;0.5000403014327783;42.71012323943662;57.71660839160839;11360;11440
org.apache.wicket.Application.decorateHeaderResponse(org.apache.wicket.markup.head.IHeaderResponse);0.0038028189196462644;0.2505901633156544;0.8574074074074074;1.9037037037037037;540;540
org.apache.wicket.util.convert.converter.AbstractDateConverter.convertToString(java.util.Date,java.util.Locale);0.028963182605244314;0.2915376460035958;0.64;4.36;50;50
org.apache.wicket.core.util.lang.PropertyResolver$MethodGetAndSet.getValue(java.lang.Object);0.025334756659757464;0.8573409867097255;0.0;0.06551724137931035;1160;1160
org.apache.wicket.request.cycle.RequestCycleListenerCollection.onRequestHandlerExecuted(org.apache.wicket.request.cycle.RequestCycle,org.apache.wicket.request.IRequestHandler);0.028268565025996426;0.744066112838395;0.06470588235294118;0.1652941176470588;1700;1700
org.apache.wicket.examples.niceurl.mounted.Page4(org.apache.wicket.request.mapper.parameter.PageParameters);3.964208455340795E-15;1.5705228423079642E-4;0.0;15.7;10;10
org.apache.wicket.markup.html.panel.FeedbackPanel.newFeedbackMessagesModel();0.02785658308614746;0.375828326422892;0.21428571428571427;1.5714285714285714;70;70
