# Optimized methods (Rate method)
797
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.apache.wicket.velocity.Initializer.getVelocityProperties(org.apache.wicket.Application);0.377235203765655;0.7568121544696486;4.933333333333334;2.85;60;60
org.apache.wicket.util.io.FullyBufferedReader.getLineNumber();0.31732260685287494;0.993090289751818;7.5E-4;0.0;20000;20000
org.apache.wicket.Component.getMarkup();0.4862398186225575;0.8870249675407575;0.13506072123852786;0.11900435709650506;107870;107870
org.apache.wicket.markup.html.form.RadioChoice.appendOptionHtml(org.apache.wicket.util.string.AppendingStringBuffer,java.lang.Object,int,java.lang.String);0.32558198801619376;0.8244957516547711;0.5;0.0;30;30
org.apache.wicket.request.mapper.parameter.PageParameters$Entry.access$0(org.apache.wicket.request.mapper.parameter.PageParameters.Entry);0.31732361623530314;0.9931092825025516;8.66738894907909E-4;0.0;18460;15660
org.apache.wicket.request.resource.caching.version.LastModifiedResourceVersion.getVersion(org.apache.wicket.request.resource.caching.IStaticCacheableResource);0.4505671133275524;0.5614713053962831;1.224110671936759;0.5790513833992095;2530;2530
org.apache.wicket.Component.setDefaultModel(org.apache.wicket.model.IModel);0.6473979682243276;0.8925850106986768;2.7130434782608694;2.360869565217391;230;230
org.apache.wicket.util.lang.Bytes.gigabytes();0.3174225702545178;0.9789787612831247;0.006944444444444444;0.0;2160;2160
org.apache.wicket.UrlResourceReferenceMapper.mapHandler(org.apache.wicket.request.IRequestHandler);0.06387715484851955;0.9219791062708534;0.030882352941176472;0.0159846547314578;15640;15640
org.apache.wicket.markup.html.list.ListView.removeLink(java.lang.String,org.apache.wicket.markup.html.list.ListItem);0.32347494517138287;0.8473896596867143;0.4;0.0;40;40
org.apache.wicket.RestartResponseAtInterceptPageException$1.mapRequest(org.apache.wicket.request.Request);0.5463058908018923;0.8900736336232729;0.3875;0.1875;80;80
org.apache.wicket.util.license.XmlLicenseHeaderHandler.checkLicenseHeader(java.io.File);0.49432254764620953;0.5418837935731993;9.563636363636364;8.731818181818182;220;220
org.apache.wicket.Component.detach();0.003447171052876409;0.2280645619861631;1.1844331641285957;0.8556321005559584;82740;82740
org.apache.wicket.Page.onAfterRender();0.49600843348691925;0.25103297369813604;16.824074074074073;14.481481481481481;540;540
