# Unchanged methods (Rate method)
1897
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.apache.wicket.protocol.http.mock.Cookies$Key(javax.servlet.http.Cookie);NaN;1.0;0.0;0.0;100;100
org.apache.wicket.request.mapper.info.PageInfo();NaN;1.0;0.0;0.0;4840;3610
org.apache.wicket.devutils.debugbar.DebugBar(java.lang.String);NaN;1.0;0.0;0.0;420;420
org.apache.wicket.util.collections.MicroMap.put(java.lang.Object,java.lang.Object);NaN;1.0;0.0;0.0;30;30
org.apache.wicket.examples.library.AuthenticatedWebPage();NaN;1.0;0.0;0.0;10;10
org.apache.wicket.util.license.CssLicenseHeaderHandler(java.util.List);NaN;1.0;0.0;0.0;10;10
org.apache.wicket.request.mapper.info.ComponentInfo.getRenderCount();NaN;1.0;0.0;0.0;180;180
org.apache.wicket.util.convert.converter.CalendarConverter();NaN;1.0;0.0;0.0;60;60
org.apache.wicket.session.HttpSessionStore.getBindListeners();NaN;1.0;0.0;0.0;90;90
org.apache.wicket.util.value.ValueMap();1.0;1.0;6.902502157031924E-4;6.902502157031924E-4;23180;23180
org.apache.wicket.markup.html.form.FormComponent.onValid();NaN;1.0;0.0;0.0;190;190
org.apache.wicket.util.collections.UrlExternalFormComparator();NaN;1.0;0.0;0.0;60;60
org.apache.wicket.request.cycle.RequestCycleContext(org.apache.wicket.request.Request,org.apache.wicket.request.Response,org.apache.wicket.request.IRequestMapper,org.apache.wicket.request.IExceptionMapper);NaN;1.0;0.0;0.0;910;910
org.apache.wicket.markup.html.panel.AbstractMarkupSourcingStrategy();NaN;1.0;0.0;0.0;2710;2710
org.apache.wicket.markup.html.form.FormComponent.hasRawInput();NaN;1.0;0.0;0.0;60;60
org.apache.wicket.Page$5(org.apache.wicket.Page);NaN;1.0;0.0;0.0;540;540
org.apache.wicket.response.filter.EmptySrcAttributeCheckFilter.filter(org.apache.wicket.util.string.AppendingStringBuffer);0.9816161691834063;0.9996886462775711;0.11296296296296296;0.11481481481481481;540;540
org.apache.wicket.core.request.handler.BookmarkableListenerInterfaceRequestHandler.getBehaviorIndex();NaN;1.0;0.0;0.0;3080;3090
org.apache.wicket.markup.html.form.Form$9(org.apache.wicket.markup.html.form.Form);NaN;1.0;0.0;0.0;50;50
org.apache.wicket.settings.DebugSettings.setComponentUseCheck(boolean);NaN;1.0;0.0;0.0;60;60
org.apache.wicket.util.convert.converter.CharacterConverter();NaN;1.0;0.0;0.0;50;50
org.apache.wicket.markup.parser.XmlTag.getNamespace();1.0;1.0;2.229253559614555E-4;2.229253559614555E-4;139060;139060
org.apache.wicket.markup.resolver.WicketMessageResolver();NaN;1.0;0.0;0.0;60;60
org.apache.wicket.util.license.CssLicenseHeaderHandler.getLicenseHeaderFilename();NaN;1.0;0.0;0.0;10;10
org.apache.wicket.core.request.mapper.AbstractBookmarkableMapper$MountPathSegment.setFixedPart(java.lang.String);NaN;1.0;0.0;0.0;60;60
org.apache.wicket.settings.PageSettings.getComponentResolvers();NaN;1.0;0.0;0.0;2950;2950
org.apache.wicket.request.cycle.RequestCycle.processRequest();0.5079593986389715;0.670404487558119;533.8976470588235;557.3364705882353;850;850
org.apache.wicket.request.handler.logger.DelegateLogData(org.apache.wicket.request.ILogData);NaN;1.0;0.0;0.0;20;20
org.apache.wicket.core.request.handler.BufferedResponseRequestHandler.detach(org.apache.wicket.request.IRequestCycle);NaN;1.0;0.0;0.0;250;250
org.apache.wicket.examples.forminput.BeforeAndAfterBorder();NaN;1.0;0.0;0.0;10;10
org.apache.wicket.ConverterLocator$DefaultConverter(java.lang.Class,org.apache.wicket.ConverterLocator.DefaultConverter);NaN;1.0;0.0;0.0;3670;3670
org.apache.wicket.markup.repeater.RepeatingView(java.lang.String);NaN;1.0;0.0;0.0;10;10
org.apache.wicket.UrlResourceReferenceMapper.getCompatibilityScore(org.apache.wicket.request.Request);NaN;1.0;0.0;0.0;820;820
org.apache.wicket.request.http.WebResponse();NaN;1.0;0.0;0.0;1450;1450
org.apache.wicket.util.value.ValueMap.makeImmutable();NaN;1.0;0.0;0.0;9990;9990
org.apache.wicket.markup.parser.filter.RelativePathPrefixHandler$1();NaN;1.0;0.0;0.0;50;50
org.apache.wicket.model.CompoundPropertyModel$AttachedCompoundPropertyModel(org.apache.wicket.model.CompoundPropertyModel,org.apache.wicket.Component);NaN;1.0;0.0;0.0;560;560
org.apache.wicket.markup.head.CssReferenceHeaderItem.getDependencies();NaN;1.0;0.0;0.0;540;540
org.apache.wicket.core.request.handler.BookmarkablePageRequestHandler(org.apache.wicket.core.request.handler.IPageProvider);0.9746811394041633;0.9999889461035757;0.009841269841269842;0.010158730158730159;3150;3150
org.apache.wicket.markup.html.link.DownloadLink.detachModels();NaN;1.0;0.0;0.0;20;20
org.apache.wicket.util.cookies.CookieDefaults.getComment();NaN;1.0;0.0;0.0;30;30
org.apache.wicket.examples.library.User.getBooks();NaN;1.0;0.0;0.0;260;260
org.apache.wicket.markup.html.form.ChoiceRenderer.getDisplayValue(java.lang.Object);NaN;1.0;0.0;0.0;60;60
org.apache.wicket.markup.html.form.AutoLabelTextResolver();NaN;1.0;0.0;0.0;60;60
org.apache.wicket.session.HttpSessionStore.getSessionId(org.apache.wicket.request.Request,boolean);0.9746563837828344;0.9999085372300921;0.040584415584415584;0.041233766233766234;3080;3080
org.apache.wicket.util.visit.Visit$Action(java.lang.String,int);NaN;1.0;0.0;0.0;360;360
org.apache.wicket.devutils.debugbar.StandardDebugPanel(java.lang.String);NaN;1.0;0.0;0.0;1620;1620
org.apache.wicket.Session.isSessionInvalidated();NaN;1.0;0.0;0.0;40;40
org.apache.wicket.BehaviorInstantiationListenerCollection$1(org.apache.wicket.BehaviorInstantiationListenerCollection,org.apache.wicket.behavior.Behavior);NaN;1.0;0.0;0.0;4020;4090
org.apache.wicket.util.io.BOMInputStream.reset();NaN;1.0;0.0;0.0;290;290
org.apache.wicket.examples.signin2.Signin2Test.testSignIn2();0.84703648137171;0.6501474440948545;3695.8;3678.8;10;10
org.apache.wicket.protocol.http.mock.MockHttpServletResponse.reset();NaN;1.0;0.0;0.0;20;20
org.apache.wicket.examples.niceurl.NiceUrlTest.testPage2PP();0.34002857817143506;0.7054569861112734;1480.6;1455.4;10;10
org.apache.wicket.util.tester.BaseWicketTester.getComponentFromLastRenderedPage(java.lang.String,boolean);0.9745473186490209;0.9990116233707758;0.2015873015873016;0.1984126984126984;630;630
org.apache.wicket.util.tester.BaseWicketTester.clickLink(java.lang.String,boolean);0.8514855593998341;0.749911039795454;730.165625;718.46875;320;320
org.apache.wicket.util.collections.IntHashMap.init();NaN;1.0;0.0;0.0;360;360
org.apache.wicket.markup.html.form.Form.validateFormValidators();NaN;1.0;0.0;0.0;50;50
org.apache.wicket.jmx.wrapper.ResourceSettings(org.apache.wicket.Application);NaN;1.0;0.0;0.0;60;60
org.apache.wicket.markup.MarkupCache$DefaultCacheImplementation.containsKey(java.lang.Object);NaN;1.0;0.0;0.0;830;830
org.apache.wicket.markup.head.internal.HeaderResponse.close();NaN;1.0;0.0;0.0;540;540
org.apache.wicket.core.util.resource.UrlResourceStream$StreamData.access$3(org.apache.wicket.core.util.resource.UrlResourceStream.StreamData,long);NaN;1.0;0.0;0.0;900;900
org.apache.wicket.examples.hangman.Game();NaN;1.0;0.0;0.0;40;40
org.apache.wicket.markup.html.form.FormComponentPanel.onComponentTag(org.apache.wicket.markup.ComponentTag);NaN;1.0;0.0;0.0;10;10
org.apache.wicket.mock.MockRequestParameters.getParameterValues(java.lang.String);NaN;1.0;0.0;0.0;3050;2940
org.apache.wicket.core.util.lang.PropertyResolverConverter.convert(java.lang.Object,java.lang.Class);NaN;1.0;0.0;0.0;40;40
org.apache.wicket.util.cookies.CookieDefaults.getMaxAge();NaN;1.0;0.0;0.0;20;20
org.apache.wicket.markup.html.form.Radio.getGroup();NaN;1.0;0.0;0.0;30;30
org.apache.wicket.markup.html.form.CheckBox$CheckBoxConverter.convertToObject(java.lang.String,java.util.Locale);NaN;1.0;0.0;0.0;10;10
org.apache.wicket.Session.dirty();NaN;1.0;0.0;0.0;50;50
org.apache.wicket.request.http.handler.RedirectRequestHandler(java.lang.String);NaN;1.0;0.0;0.0;10;10
org.apache.wicket.markup.resolver.WicketMessageResolver$MessageContainer$1(org.apache.wicket.markup.resolver.WicketMessageResolver.MessageContainer,java.lang.String,java.util.Map,java.util.Map,java.lang.String,org.apache.wicket.markup.MarkupStream);NaN;1.0;0.0;0.0;140;140
org.apache.wicket.core.util.lang.WicketObjects$SerializingObjectSizeOfStrategy();NaN;1.0;0.0;0.0;50;50
org.apache.wicket.markup.html.form.CheckBox(java.lang.String);NaN;1.0;0.0;0.0;60;60
org.apache.wicket.request.handler.render.WebPageRenderer.neverRedirect(org.apache.wicket.core.request.handler.RenderPageRequestHandler.RedirectPolicy);NaN;1.0;0.0;0.0;590;590
org.apache.wicket.Page.startComponentRender(org.apache.wicket.Component);NaN;1.0;0.0;0.0;20;20
org.apache.wicket.util.collections.ConcurrentHashSet.contains(java.lang.Object);NaN;1.0;0.0;0.0;30;30
