# Degradated methods (UTest P-Value)
84
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.apache.wicket.request.cycle.RequestCycle.processRequest();0.001283570144091804;0.011733496633241858;433.26235294117646;533.8976470588235;850;850
org.apache.wicket.examples.niceurl.NiceUrlTest.testPage2PP();2.632278938199602E-6;1.5705228423079642E-4;726.9;1480.6;10;10
org.apache.wicket.util.tester.BaseWicketTester.clickLink(java.lang.String,boolean);1.2083019812822915E-8;1.3978818103055346E-12;438.51875;730.165625;320;320
org.apache.wicket.markup.AbstractMarkupParser.parse();3.4678432889606086E-6;5.731011417682286E-4;38.536904761904765;55.01904761904762;840;840
org.apache.wicket.util.tester.BaseWicketTester.processRequest(org.apache.wicket.protocol.http.mock.MockHttpServletRequest,org.apache.wicket.request.IRequestHandler,boolean);2.0500464330334078E-4;0.0043597093307382595;495.21176470588233;620.6647058823529;850;850
org.apache.wicket.markup.MarkupFactory.loadMarkup(org.apache.wicket.MarkupContainer,org.apache.wicket.markup.MarkupResourceStream,boolean);1.1605344787213433E-4;0.004165007672014331;48.7710843373494;65.13493975903614;830;830
org.apache.wicket.util.string.Entities.addEntities(java.lang.String[][]);2.9578817780481465E-29;3.3306690738754696E-16;2.0;5.84047619047619;840;840
org.apache.wicket.markup.AbstractMarkupParser.getNextTag();3.048441419855874E-11;2.1407298042563916E-5;0.9864302600472813;1.4509219858156028;21150;21150
org.apache.wicket.examples.forminput.FormInput$InputForm$3.populateItem(org.apache.wicket.markup.html.list.ListItem);5.424061623397239E-13;4.780660423087113E-9;2.6;20.8;30;30
org.apache.wicket.Component.fireInitialize();8.902354291203377E-38;0.0024278745119595824;0.11870425914817037;0.4421715656868626;83350;83350
org.apache.wicket.examples.forminput.FormInput$InputForm$2.populateItem(org.apache.wicket.markup.html.list.ListItem);2.2663032521438304E-12;4.8848156963821054E-8;3.6;17.633333333333333;30;30
org.apache.wicket.request.handler.render.PageRenderer.getPage();4.738322788793469E-6;0.03273792803213216;21.477272727272727;40.41715976331361;1320;1690
org.apache.wicket.MarkupContainer.addedComponent(org.apache.wicket.Component);1.5472509739811777E-74;0.0;0.5769429097605894;5.3371639042357275;27150;27150
org.apache.wicket.util.tester.BaseWicketTester.startPage(java.lang.Class,org.apache.wicket.request.mapper.parameter.PageParameters);0.08873182663665313;5.909888542654507E-6;714.1571428571428;804.36;350;350
org.apache.wicket.examples.hangman.HangManTest.clickLetter(org.apache.wicket.util.tester.WicketTester,char);1.786400459269338E-8;1.887075262718696E-7;740.1545454545454;1348.8181818181818;110;110
org.apache.wicket.markup.html.list.ListView.onPopulate();8.657308202906854E-24;0.0;29.112328767123287;138.23698630136985;730;730
org.apache.wicket.examples.hangman.Guess$2.populateItem(org.apache.wicket.markup.html.list.ListItem);9.892057699958101E-8;0.0;1.1814685314685316;10.691608391608392;2860;2860
org.apache.wicket.examples.library.Home$1.populateItem(org.apache.wicket.markup.html.list.ListItem);0.0019386345625594004;2.47454461110852E-6;32.375;101.35;40;40
org.apache.wicket.util.tester.BaseWicketTester.processRequest(org.apache.wicket.protocol.http.mock.MockHttpServletRequest,org.apache.wicket.request.IRequestHandler);2.2031588227644097E-5;1.9951628837944213E-7;680.1303571428572;861.0107142857142;560;560
org.apache.wicket.markup.html.list.Loop.onPopulate();2.2664877662217464E-5;0.00170624936891961;4.7;24.9;10;10
org.apache.wicket.examples.forminput.FormInputTest.test_1();0.12519482539203014;0.002496908915141538;2840.8;3121.8;10;10
