# List of all commits from classes found during the repository mining phase (blamed or not)
322
revision,authorexpertise,daysbeforerelease,bug,author,date,packages,files,insertions,deletions,churns,deltalines,hunks,issues,listissues
0036f14c33ffb548cdc8adf9ebf17cec34a73c1f,2679,45,false,Martin Tzvetanov Grigorov,Qui 06-Mar-2014 16:03:27 +0200,2,2,3,3,6,0,3,1,0
01f1ee5818b7a0376d664318921368de99939c0c,2504,107,false,Martin Tzvetanov Grigorov,Sex 03-Jan-2014 10:46:44 +0200,1,1,1,12,13,-11,3,1,0
023f94d11cd7147aa43cedcc480d27cf3d9398e9,2644,54,false,Martin Tzvetanov Grigorov,Ter 25-Fev-2014 12:58:24 +0200,1,1,36,1,37,35,2,1,5516
02d3cda2f37bd10cec0a6991d928643a559eb6c2,2305,262,false,Martin Tzvetanov Grigorov,Qui 01-Ago-2013 09:10:15 +0200,1,1,11,10,21,1,1,1,5295
0484898603fb5cb726aa11caa6c7346a67faa5ed,2849,162,false,Igor Vaynberg,Sex 08-Nov-2013 22:48:22 -0800,3,8,194,38,232,156,22,1,5411
06218ed2312f274ffc060e8d9c9125a8b3953138,2061,354,false,Martin Tzvetanov Grigorov,Qua 01-Mai-2013 10:00:28 +0200,5,9,255,139,394,116,29,2,5167:5168
079e0dc49269b54550fb643ebdd8699dce3dfc7d,2133,328,false,Martin Tzvetanov Grigorov,Seg 27-Mai-2013 22:24:21 +0300,1,1,6,6,12,0,6,1,0
0b37503f13aefe57406b3782bd1c49d2883b11ff,2716,33,false,Martin Tzvetanov Grigorov,Ter 18-Mar-2014 17:54:21 +0200,1,1,1,8,9,-7,1,1,0
0c1cf1a195d9b27bbe4a7538ab68e6d6b22ad8cb,2573,73,false,Martin Tzvetanov Grigorov,Qui 06-Fev-2014 10:57:34 +0100,1,1,1,0,1,1,1,1,0
0c412482dfba45570fe7b7b0116383e59b3245f6,2248,299,true,Martin Tzvetanov Grigorov,Ter 25-Jun-2013 15:15:30 +0300,3,10,279,52,331,227,25,2,5128:4585
0d4d1df7c719c04c72ca974378465a4be82d086f,2219,304,true,Martin Tzvetanov Grigorov,Qui 20-Jun-2013 13:06:41 +0200,2,2,102,0,102,102,3,1,5165
0e1155909b5ce4eba96f0c55ecdb1312d1e2447a,2582,69,false,Martin Tzvetanov Grigorov,Seg 10-Fev-2014 14:46:50 +0200,2,3,40,3,43,37,4,1,3335
0fbd643621f99f1ff03ddd834723b8d53cfd798a,2140,326,false,Martin Tzvetanov Grigorov,Ter 28-Mai-2013 23:13:46 +0300,1,1,2,2,4,0,2,1,0
10bceab0920ff6bb4c87ad7a0dc651ce9bcdb86b,288,291,false,svenmeier,Qua 03-Jul-2013 15:43:40 +0200,1,1,1,1,2,0,1,1,0
10ea373b89b619da3f198a7e4c1072ec038a082f,2109,341,true,Martin Tzvetanov Grigorov,Ter 14-Mai-2013 14:51:43 +0300,2,4,17,14,31,3,7,1,5187
11c2d1fbb0b43e9df08016d9e04c68359df310cb,295,276,false,svenmeier,Qui 18-Jul-2013 13:49:34 +0200,2,2,13,9,22,4,4,1,5276
11ef03bd10bd41ca1041d4937d99d73a3038a323,284,310,true,svenmeier,Sex 14-Jun-2013 15:51:43 +0200,1,2,18,16,34,2,3,1,5235
12ba191004cd27408f6a9f78d282b3e3b8637a55,2322,256,false,Martin Tzvetanov Grigorov,Qua 07-Ago-2013 16:50:02 +0200,1,4,233,1,234,232,4,1,5307
1316f6759b0e503a7805fae63290ab34f2618945,2380,205,false,Martin Tzvetanov Grigorov,Sex 27-Set-2013 14:26:31 +0200,1,1,3,2,5,1,2,1,5376
