287
degradation,revision,authorexpertise,daysbeforerelease,bug,packages,files,issues,insertions,deletions,churns,deltalines,hunks,hour,day
false,0036f14c33ffb548cdc8adf9ebf17cec34a73c1f,2679,45,false,2,2,1,3,3,6,0,3,16,5
false,01f1ee5818b7a0376d664318921368de99939c0c,2504,107,false,1,1,1,1,12,13,-11,3,10,6
false,023f94d11cd7147aa43cedcc480d27cf3d9398e9,2644,54,false,1,1,1,36,1,37,35,2,12,3
false,02d3cda2f37bd10cec0a6991d928643a559eb6c2,2305,262,false,1,1,1,11,10,21,1,1,9,5
false,0484898603fb5cb726aa11caa6c7346a67faa5ed,2849,162,false,3,8,1,194,38,232,156,22,22,6
false,06218ed2312f274ffc060e8d9c9125a8b3953138,2061,354,false,5,9,2,255,139,394,116,29,10,4
false,079e0dc49269b54550fb643ebdd8699dce3dfc7d,2133,328,false,1,1,1,6,6,12,0,6,22,2
false,0b37503f13aefe57406b3782bd1c49d2883b11ff,2716,33,false,1,1,1,1,8,9,-7,1,17,3
false,0c1cf1a195d9b27bbe4a7538ab68e6d6b22ad8cb,2573,73,false,1,1,1,1,0,1,1,1,10,5
false,0c412482dfba45570fe7b7b0116383e59b3245f6,2248,299,true,3,10,2,279,52,331,227,25,15,3
false,0d4d1df7c719c04c72ca974378465a4be82d086f,2219,304,true,2,2,1,102,0,102,102,3,13,5
false,0e1155909b5ce4eba96f0c55ecdb1312d1e2447a,2582,69,false,2,3,1,40,3,43,37,4,14,2
false,10bceab0920ff6bb4c87ad7a0dc651ce9bcdb86b,288,291,false,1,1,1,1,1,2,0,1,15,4
false,11ef03bd10bd41ca1041d4937d99d73a3038a323,284,310,true,1,2,1,18,16,34,2,3,15,6
false,12ba191004cd27408f6a9f78d282b3e3b8637a55,2322,256,false,1,4,1,233,1,234,232,4,16,4
false,1316f6759b0e503a7805fae63290ab34f2618945,2380,205,false,1,1,1,3,2,5,1,2,14,6
false,1397853757a0eeaa1487862abff0f46b7e4a288b,2394,198,false,1,1,1,1,1,2,0,1,16,6
false,1426abb909b542b4a283690454884a83fbbc50f7,363,15,false,1,5,1,13,6,19,7,8,10,7
