23
Degradation,Revision,Bug Fixing,Number of Packages,Number of Files,Number of Issues,Number of Insertions,Number of Deletions,Number of Churns,Delta of Lines,Number of Hunks,Hour of Day,Day of Week
false,0102b9db3f093b415d1a646c5d7590bd3b10d00e,true,1,2,1,5,8,13,-3,5,22,2
false,068d7d59693689391b2f5a89ebe9cfb021fd9231,false,1,4,1,13,5,18,8,5,22,1
false,1274ea5673fe5aa02ac54f40e3635050a8d67e31,false,2,5,1,36,0,36,36,7,10,5
false,204849bc6046ed73f447f8daa7a1502f3e53a0fb,true,1,4,1,21,40,61,-19,4,10,6
false,234dc01def692a28365dd08bd6ffb16d0b646a3b,true,1,1,1,6,0,6,6,1,13,5
false,2f458d8cd8a20cba394cf5a2fae6e7fe3da04bd1,false,1,10,1,527,65,592,462,13,20,2
false,5a3fd0d2a3e501e3f7363293eb938ce04d7c25fc,false,2,4,1,16,10,26,6,7,17,2
false,5efb8091f05cc9774d340e30c912ae581bb6f5c4,true,2,4,1,195,11,206,184,5,21,2
false,813c0964cf8ba27aa69970e389f07b0141e44770,false,1,1,1,30,0,30,30,1,12,3
false,847bff720eed8a779accb2d51ac34f446d5ab7db,true,2,3,1,25,11,36,14,5,20,1
false,aa82ccfcff94c0a83daf86c8cfd806206e9c6a52,true,2,3,1,45,7,52,38,6,16,2
false,af400d80f33c3fe2d25712cc4f42681e110a6df9,false,1,1,1,4,9,13,-5,1,15,3
false,b5874d796bc42a2107edf2c79ab540409d473957,true,1,1,1,14,10,24,4,2,12,6
false,ccff0802a729bc10d84ed876ec08d408efc377af,false,2,6,1,216,155,371,61,8,18,2
false,cd24f18a2f2667857a5e5b86744bf1e129d7bba8,true,3,3,1,76,11,87,65,8,23,3
false,cd414fa5b5c88b39b11938cdbf40571f4a2df153,true,2,2,1,5,3,8,2,3,11,6
false,cdb1304189ca452eff0dc0bdc971994a55a03c72,true,1,1,1,1,1,2,0,1,10,4
false,e2376fe5e84c7e4d6ed91fe2463b08adc8bb58a3,false,1,1,1,2,1,3,1,1,11,6
false,e613e28b860ab6d7b140c0d746ea3b7442dc1751,true,1,3,1,14,15,29,-1,4,0,2
false,f29fe6f7c4bbf7ffb2fcda8cfd8356639179f731,false,1,28,1,105,50,155,55,28,23,3
false,f854896f6a8230eb8181976b15fe09e87ac30a71,false,1,1,1,4,4,8,0,2,10,4
true,0e44f3df8b2bf1029e14babbb74af0a28d3917d4,true,1,1,1,12,2,14,10,2,21,4
true,1fb665336400f0f40ecbb36a642020f87e73524d,true,1,2,1,106,26,132,80,4,19,3
