# List of all commits from classes found during the repository mining phase (blamed or not)
103
Revision,Bug Fixing,Author,Date,Number of Packages,Number of Files,Number of Insertions,Number of Deletions,Number of Churns,Delta of Lines,Number of Hunks,Number of Issues,Issues
051c678ea61bead91d3a198f45393214d185f35a,false,Martin Tzvetanov Grigorov,Qua 27-Ago-2014 12:11:43 +0300,1,1,1,1,2,0,1,1,0
069139412ce4b553375ac1a3006aaa9f5783091f,false,Martin Tzvetanov Grigorov,Seg 04-Ago-2014 09:11:12 +0200,1,1,1,1,2,0,1,1,0
0b0e0980d6ac9cff063be2ec5b93bf7d37fe8bc8,true,Andrea Del Bene,Ter 22-Jul-2014 18:19:31 +0200,1,1,6,0,6,6,1,1,5643
0c38b57174369490a875dd1355cb0eb2f5808922,false,adelbene,Sex 12-Set-2014 16:42:58 +0200,1,1,66,37,103,29,7,1,0
0ce7be0382c9c8113afb2827e633e23fdfad1eb3,false,Martin Tzvetanov Grigorov,Seg 22-Set-2014 10:01:48 +0200,1,1,4,11,15,-7,3,1,0
0f8a6d757367e73eaadcb0dff1372d169bcefb76,true,Martin Tzvetanov Grigorov,Ter 23-Set-2014 13:48:14 +0200,1,2,65,4,69,61,4,1,5706
1218c11130dee32d42c5aaa94bf1ed5cf753932e,false,Martin Tzvetanov Grigorov,Seg 21-Jul-2014 17:26:14 +0300,1,3,104,12,116,92,8,1,5640
13137b9da97f980bfd0f84dd716b22e344de86c8,false,Martin Tzvetanov Grigorov,Ter 09-Set-2014 10:38:12 +0300,2,4,110,7,117,103,8,1,5694
145da0212480f26b571208968e299abdfd951e2b,true,Jesse Long,Ter 30-Set-2014 18:11:45 +0200,2,2,34,8,42,26,5,1,5712
16e52ff2861f36431aedf61cafd86d2c5565d449,false,adelbene,Dom 12-Out-2014 21:06:28 +0200,7,13,14,14,28,0,14,1,5708
16e908b54916d3bf9c62a85ba20ee6e7016fe7dc,false,Martin Tzvetanov Grigorov,Sáb 14-Jun-2014 15:12:39 +0300,2,10,178,63,241,115,26,1,5617
1c517a264e908ab91f833e2563e3efcf0a0ca787,false,svenmeier,Qua 16-Jul-2014 20:46:53 +0200,1,1,5,1,6,4,2,1,5645
269f6a2a5d8ed3746e1248e61aa4ee0230983819,false,Martin Tzvetanov Grigorov,Seg 21-Jul-2014 15:28:26 +0300,1,3,136,19,155,117,17,1,5648
26bd6849d5ebaebb1d5b8033ae43c0dba3266008,false,Martin Tzvetanov Grigorov,Qua 27-Ago-2014 12:42:18 +0300,1,1,1,2,3,-1,1,1,0
279cf5cee1d284b041f34783fd3d31649919d46d,false,Martin Tzvetanov Grigorov,Seg 22-Set-2014 10:09:34 +0200,1,1,2,2,4,0,2,1,0
2aa64cd5067c03723c3dcc28fb002fc322be6f69,false,Martin Tzvetanov Grigorov,Qua 29-Out-2014 09:31:36 +0200,2,2,26,3,29,23,4,1,5740
2ac29d3065a448c00a2ba7ac4b8cd53ae6c2b91b,true,Martin Tzvetanov Grigorov,Ter 09-Set-2014 16:21:35 +0300,2,4,8,66,74,-58,6,1,5689
2d78595d58b971fadad3afcffcf3fde4475baf53,false,Martin Tzvetanov Grigorov,Ter 12-Ago-2014 09:08:41 +0200,1,1,2,1,3,1,2,1,0
2fc6a3957da8b59443afb6e97e849510983a411b,true,adelbene,Dom 05-Out-2014 15:48:28 +0200,1,2,17,2,19,15,3,1,5720
304e0f427e3e01f182e1f916834a209281127448,false,Martin Tzvetanov Grigorov,Seg 04-Ago-2014 12:23:18 +0200,1,2,3,79,82,-76,4,1,5648
358b8d6a6086c9bfd39844f2d4b61ade47d15415,true,Martin Tzvetanov Grigorov,Ter 21-Out-2014 09:51:53 +0300,1,1,5,6,11,-1,1,1,5724
360e91bb9cc24913311b914a9413e6f69169e55e,false,Martin Tzvetanov Grigorov,Qua 09-Jul-2014 13:02:12 +0300,2,6,496,2,498,494,8,1,4344
3cc3fe95cbb3ebd72ff37817dd1860d828181b5e,true,adelbene,Qui 16-Out-2014 12:52:17 +0200,2,3,9,2,11,7,4,1,5728
4154c6aa770955504f8f99605d57f999c9d15872,true,Martin Tzvetanov Grigorov,Seg 21-Jul-2014 13:24:34 +0300,2,2,13,2,15,11,2,1,5636
41e71f9de5d84f24b80da12d2c5bd76216a5cf00,true,Martin Tzvetanov Grigorov,Qui 02-Out-2014 15:14:55 +0200,1,1,1,1,2,0,1,1,5714
46684ffdf5fa925976e1c10b89b8b754af152b6f,false,Martin Tzvetanov Grigorov,Qua 15-Out-2014 11:40:38 +0300,1,1,32,1,33,31,4,1,5713
4db7a736e7a2550f314eb00a874def76e9f9eb37,false,Martin Tzvetanov Grigorov,Seg 21-Jul-2014 13:02:01 +0300,1,3,61,7,68,54,8,1,5635
4ec4a07fa63ee7540af4352cb9cdb41a85ea1a2f,false,Martin Tzvetanov Grigorov,Seg 21-Jul-2014 17:26:14 +0300,1,4,234,46,280,188,13,1,5650
51864c6e2273bbec2e35988ab5bbf29c6569b77e,false,Martin Tzvetanov Grigorov,Qui 02-Out-2014 12:28:41 +0200,1,1,1,2,3,-1,2,1,0
53f479766ebfba449774d8f179673f8f33104698,false,Martin Tzvetanov Grigorov,Qui 02-Out-2014 12:22:54 +0200,1,1,1,4,5,-3,2,1,0
548233d240e1d9899a856c1aa29df0118d466e66,false,svenmeier,Sex 26-Set-2014 15:52:00 +0200,1,1,18,2,20,16,3,1,5350
55c1bc79901e195a20fceadb5469a0c7e2e1a275,false,Martin Tzvetanov Grigorov,Seg 29-Set-2014 10:34:07 +0200,1,2,12,19,31,-7,5,1,5677
562d1ee536ebaa07206c90baebdda5280fbf68e3,false,Martin Tzvetanov Grigorov,Ter 23-Set-2014 14:49:58 +0200,2,4,19,13,32,6,10,1,5350
572df1583add7b8e34aa412e9e554031a74231f0,true,Jesse Long,Sáb 27-Set-2014 04:45:00 +0200,1,1,4,0,4,4,1,1,5704
5cdc1c8d38aaf0ecd426e26bb13e1d126c935438,true,adelbene,Dom 13-Jul-2014 19:59:39 +0200,2,2,75,1,76,74,3,1,5578
5f0e63c8a91ea74c57ed6ba65a9f8a60d30eb130,true,Martin Tzvetanov Grigorov,Seg 11-Ago-2014 11:37:00 +0200,29,54,310,231,541,79,168,1,5539
623da39243372d2e5a93d7e2ead8c47921929d59,false,Carl-Eric Menzel,Sáb 27-Set-2014 21:24:00 +0200,1,3,264,4,268,260,9,2,5677:6
65384568a100ad9601f1ca880270ef9553d22324,false,Martin Tzvetanov Grigorov,Qui 25-Set-2014 19:56:16 +0200,4,4,5,48,53,-43,7,1,0
6731e45a32160884305164fdf33959418773b23a,false,Martin Tzvetanov Grigorov,Sex 08-Ago-2014 13:43:43 +0200,1,1,15,16,31,-1,1,1,0
69eed82db533f7de8b70c4a2ed808716941c3303,false,Martin Tzvetanov Grigorov,Qua 27-Ago-2014 12:22:28 +0300,1,1,1,1,2,0,1,1,0
6f504037f4534ac874dc8507df508ee676b20ff5,false,Martin Tzvetanov Grigorov,Seg 21-Jul-2014 17:23:36 +0300,1,1,5,4,9,1,4,1,0
