85
degradation,revision,authorexpertise,daysbeforerelease,bug,packages,files,issues,insertions,deletions,churns,deltalines,hunks,hour,day
false,069139412ce4b553375ac1a3006aaa9f5783091f,2839,25,false,1,1,1,1,1,2,0,1,9,2
false,0b0e0980d6ac9cff063be2ec5b93bf7d37fe8bc8,4,37,true,1,1,1,6,0,6,6,1,18,3
false,0c38b57174369490a875dd1355cb0eb2f5808922,18,48,false,1,1,1,66,37,103,29,7,16,6
false,0ce7be0382c9c8113afb2827e633e23fdfad1eb3,2963,39,false,1,1,1,4,11,15,-7,3,10,2
false,0f8a6d757367e73eaadcb0dff1372d169bcefb76,2969,38,true,1,2,1,65,4,69,61,4,13,3
false,13137b9da97f980bfd0f84dd716b22e344de86c8,2944,52,false,2,4,1,110,7,117,103,8,10,3
false,145da0212480f26b571208968e299abdfd951e2b,6,30,true,2,2,1,34,8,42,26,5,18,3
false,16e52ff2861f36431aedf61cafd86d2c5565d449,24,18,false,7,13,1,14,14,28,0,14,21,1
false,16e908b54916d3bf9c62a85ba20ee6e7016fe7dc,2787,75,false,2,10,1,178,63,241,115,26,15,7
false,1c517a264e908ab91f833e2563e3efcf0a0ca787,382,43,false,1,1,1,5,1,6,4,2,20,4
false,269f6a2a5d8ed3746e1248e61aa4ee0230983819,2825,38,false,1,3,1,136,19,155,117,17,15,2
false,26bd6849d5ebaebb1d5b8033ae43c0dba3266008,2933,2,false,1,1,1,1,2,3,-1,1,12,4
false,279cf5cee1d284b041f34783fd3d31649919d46d,2963,39,false,1,1,1,2,2,4,0,2,10,2
false,2aa64cd5067c03723c3dcc28fb002fc322be6f69,3008,2,false,2,2,1,26,3,29,23,4,9,4
false,2d78595d58b971fadad3afcffcf3fde4475baf53,2878,17,false,1,1,1,2,1,3,1,2,9,3
false,2fc6a3957da8b59443afb6e97e849510983a411b,23,25,true,1,2,1,17,2,19,15,3,15,1
false,304e0f427e3e01f182e1f916834a209281127448,2847,25,false,1,2,1,3,79,82,-76,4,12,2
false,360e91bb9cc24913311b914a9413e6f69169e55e,2816,51,false,2,6,1,496,2,498,494,8,13,4
false,3cc3fe95cbb3ebd72ff37817dd1860d828181b5e,30,15,true,2,3,1,9,2,11,7,4,12,5
false,41e71f9de5d84f24b80da12d2c5bd76216a5cf00,2987,28,true,1,1,1,1,1,2,0,1,15,5
false,46684ffdf5fa925976e1c10b89b8b754af152b6f,2999,16,false,1,1,1,32,1,33,31,4,11,4
false,4db7a736e7a2550f314eb00a874def76e9f9eb37,2823,39,false,1,3,1,61,7,68,54,8,13,2
false,4ec4a07fa63ee7540af4352cb9cdb41a85ea1a2f,2829,38,false,1,4,1,234,46,280,188,13,17,2
false,51864c6e2273bbec2e35988ab5bbf29c6569b77e,2977,29,false,1,1,1,1,2,3,-1,2,12,5
false,548233d240e1d9899a856c1aa29df0118d466e66,394,34,false,1,1,1,18,2,20,16,3,15,6
false,55c1bc79901e195a20fceadb5469a0c7e2e1a275,2975,32,false,1,2,1,12,19,31,-7,5,10,2
false,562d1ee536ebaa07206c90baebdda5280fbf68e3,2972,38,false,2,4,1,19,13,32,6,10,14,3
false,572df1583add7b8e34aa412e9e554031a74231f0,3,34,true,1,1,1,4,0,4,4,1,4,7
false,5cdc1c8d38aaf0ecd426e26bb13e1d126c935438,6,46,true,2,2,1,75,1,76,74,3,19,1
false,623da39243372d2e5a93d7e2ead8c47921929d59,21,33,false,1,3,2,264,4,268,260,9,21,7
false,6731e45a32160884305164fdf33959418773b23a,2868,21,false,1,1,1,15,16,31,-1,1,13,6
false,69eed82db533f7de8b70c4a2ed808716941c3303,2930,2,false,1,1,1,1,1,2,0,1,12,4
false,6f504037f4534ac874dc8507df508ee676b20ff5,2828,38,false,1,1,1,5,4,9,1,4,17,2
false,71674df5c8905c425152038281379027de89cf9b,10,4,true,1,2,2,50,5,55,45,4,14,1
false,763127d5e9f6b4ddae4fd04c68e37b6222f8318d,2713,168,true,1,1,1,1,5,6,-4,1,11,6
false,876064cae6c2d4ebc8a35f3f96333ee438179074,11,14,false,1,5,1,178,22,200,156,6,16,5
false,8f4a1398026ce8d5eda836bb5604237f9cdb294e,19,46,false,1,1,1,31,23,54,8,4,19,1
false,90b7ca90d3c1afe5dfbbc1672d9410484790414a,2838,36,true,1,1,1,3,2,5,1,1,14,5
false,95c2579ace678903b2e63023ced97be4877b6889,0,3,false,4,12,1,182,40,222,142,39,7,3
false,96b90813bc042564a00ee12ff297f6b50b1b1bd3,2652,183,false,1,4,1,207,2,209,205,4,17,4
false,999182fe5cd1e116273882bfe37101493617400d,2837,36,false,2,2,1,3,3,6,0,2,11,5
false,9d495f38f15c50deb65e94d9d039e3317062cd50,7,16,false,1,3,1,117,56,173,61,14,22,3
false,a9e82296a772d35b5d07900d5946e2cbdeb05a64,10,16,true,1,1,1,2,0,2,2,1,9,4
false,ad1b70e2fae5a8eb808dbb0fd27caf48ea0710be,2963,39,false,1,1,1,36,42,78,-6,1,10,2
false,adcb7a632af8225e86e09e398b8fb5430b143b18,393,36,false,4,9,1,60,35,95,25,26,22,4
false,b590d19bab446b2e8983b36d4f42c71e018d4bcd,2844,25,false,1,1,1,9,4,13,5,4,12,2
false,b8382271ed8bcf57157a4b10c02f6a4948e4a35a,2937,1,true,4,7,1,27,26,53,1,12,14,5
false,b93624f490da2af2df698902a0ca4da797b15014,21,34,false,2,2,1,4,1,5,3,2,17,6
