# Degradated methods (Rate method)
854
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.apache.wicket.request.mapper.info.PageInfo();0.3173775496922282;0.9837380753076708;0.0;0.00443213296398892;3610;3610
org.apache.wicket.markup.html.form.RadioChoice.appendOptionHtml(org.apache.wicket.util.string.AppendingStringBuffer,java.lang.Object,int,java.lang.String);0.32558198801619376;0.8244957516547711;0.0;0.5;30;30
org.apache.wicket.request.mapper.parameter.PageParameters$Entry.access$0(org.apache.wicket.request.mapper.parameter.PageParameters.Entry);0.3173259601179883;0.9921913501998336;0.0;0.0010217113665389529;15660;15660
org.apache.wicket.protocol.http.servlet.ServletWebResponse.getUrlRenderer();0.342050707334166;0.9693127033982808;0.006681270536692223;0.012048192771084338;9130;9130
org.apache.wicket.protocol.http.servlet.ServletWebRequest.getHeader(java.lang.String);0.40512838210960656;0.9811896395745098;0.0034840622683469237;0.004625648628613788;67450;67450
org.apache.wicket.request.handler.render.PageRenderer.getPageProvider();0.3174379111629053;0.9775872767740519;0.0;0.008421052631578947;1900;1900
org.apache.wicket.util.license.XmlLicenseHeaderHandler.checkLicenseHeader(java.io.File);8.028486334288982E-4;0.0957126953036076;5.8304347826086955;10.378260869565217;230;230
org.apache.wicket.settings.def.ResourceSettings.getLocalizer();0.165081007342469;0.7583318383932787;0.128;0.372;250;250
org.apache.wicket.request.cycle.RequestCycleListenerCollection.onRequestHandlerScheduled(org.apache.wicket.request.cycle.RequestCycle,org.apache.wicket.request.IRequestHandler);0.6628028703098845;0.9524872124321604;0.07380952380952381;0.10952380952380952;420;420
org.apache.wicket.response.filter.EmptySrcAttributeCheckFilter.filter(org.apache.wicket.util.string.AppendingStringBuffer);0.5911655895608756;0.9160897670242322;0.17222222222222222;0.22962962962962963;540;540
org.apache.wicket.markup.parser.XmlTag.getNamespace();0.31731224791933443;0.9973795069213979;0.0;1.1505824823817057E-4;139060;139060
org.apache.wicket.Page.onAfterRender();0.2789924913915456;0.6931277412540322;28.103703703703705;34.587037037037035;540;540
org.apache.wicket.devutils.debugbar.DebugBar.isVisible();0.3949749957594869;0.9606807410865286;0.015425531914893617;0.018541033434650456;39480;39480
org.apache.wicket.markup.MarkupCache.putIntoCache(java.lang.String,org.apache.wicket.MarkupContainer,org.apache.wicket.markup.Markup);0.15764052950921592;0.9322634319656038;0.0;0.03734939759036145;830;830
