# Optimized methods (Rate method)
877
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.apache.wicket.request.mapper.info.PageInfo();0.3173775496922282;0.9837380753076708;0.00443213296398892;0.0;3610;3610
org.apache.wicket.request.mapper.parameter.PageParameters$Entry.access$0(org.apache.wicket.request.mapper.parameter.PageParameters.Entry);0.3173259601179883;0.9921913501998336;0.0010217113665389529;0.0;15660;15660
org.apache.wicket.protocol.http.servlet.ServletWebResponse.getUrlRenderer();0.19463360487993242;0.9591018921134267;0.012048192771084338;0.005038335158817087;9130;9130
org.apache.wicket.MarkupContainer.getAssociatedMarkup();0.38786987441971044;0.8589016376824251;5.5363133640552995;5.1652534562211985;10850;10850
org.apache.wicket.protocol.http.servlet.ServletWebRequest.getHeader(java.lang.String);0.5157803877314843;0.9849518790547964;0.004625648628613788;0.003721275018532246;67450;67450
org.apache.wicket.util.value.ValueMap();0.5805814422129971;0.9935819828722949;0.0013373597929249353;6.902502157031924E-4;23180;23180
org.apache.wicket.markup.html.image.Image.onComponentTag(org.apache.wicket.markup.ComponentTag);0.07191656154347474;0.573328145582715;6.07929203539823;4.707964601769912;5650;5650
org.apache.wicket.page.PageAccessSynchronizer.lockPage(int);0.6845653086089009;0.7799788243723963;1.3018691588785047;1.222429906542056;1070;1070
org.apache.wicket.markup.html.list.ListView.removeLink(java.lang.String,org.apache.wicket.markup.html.list.ListItem);0.32347494517138287;0.8473896596867143;0.4;0.0;40;40
org.apache.wicket.request.handler.render.PageRenderer.getPageProvider();0.3174379111629053;0.9775872767740519;0.008421052631578947;0.0;1900;1900
org.apache.wicket.settings.def.ResourceSettings.getLocalizer();0.7529883641344989;0.937580738290337;0.372;0.308;250;250
org.apache.wicket.util.file.Files.getLocalFileFromUrl(java.lang.String);0.1575562576526417;0.9611634253099455;0.01225296442687747;0.0;2530;2530
org.apache.wicket.response.filter.EmptySrcAttributeCheckFilter.filter(org.apache.wicket.util.string.AppendingStringBuffer);0.24624912440832658;0.8331050046552985;0.22962962962962963;0.11481481481481481;540;540
org.apache.wicket.Page.onAfterRender();0.08957387018209317;0.7673160950284468;34.587037037037035;25.32777777777778;540;540
org.apache.wicket.Session.getId();0.8371847813813356;0.9909350187445158;0.01437308868501529;0.011940298507462687;3270;2680
org.apache.wicket.markup.MarkupCache.putIntoCache(java.lang.String,org.apache.wicket.MarkupContainer,org.apache.wicket.markup.Markup);0.5469910884793517;0.9660603177696392;0.03734939759036145;0.018072289156626505;830;830
org.apache.wicket.examples.hangman.Guess$2$1.onClick();0.545064859768208;0.9746510460168838;3.6636363636363636;2.981818181818182;110;110
org.apache.wicket.markup.head.CssReferenceHeaderItem.getDependencies();0.31775922485458197;0.9579866799215103;0.02962962962962963;0.0;540;540
org.apache.wicket.Page.peekPageStateless();0.440259748312101;0.8835143335203863;13.553571428571429;11.810714285714285;280;280
org.apache.wicket.markup.html.image.resource.LocalizedImageResource.setResourceReference(org.apache.wicket.request.resource.ResourceReference);0.46260772597308975;0.94776409506358;0.050445632798573975;0.03885918003565062;5610;5610
org.apache.wicket.behavior.Behavior.getStatelessHint(org.apache.wicket.Component);0.15731662012922776;0.9746894557807123;0.005369127516778523;0.0;5960;5960
org.apache.wicket.devutils.debugbar.StandardDebugPanel(java.lang.String);0.31745994168404945;0.9757286363393736;0.009876543209876543;0.0;1620;1620
org.apache.wicket.examples.niceurl.NiceUrlTest.testPage2PP();0.025415488426871143;0.045154569624278995;968.8;726.9;10;10
org.apache.wicket.util.tester.BaseWicketTester.getComponentFromLastRenderedPage(java.lang.String,boolean);0.3464637478372268;0.9208132003874453;0.6952380952380952;0.19365079365079366;630;630
org.apache.wicket.Component.getRenderBodyOnly();0.8138637570054109;0.995530883131562;0.0022185014650481375;0.0019464210966931772;47780;47780
org.apache.wicket.util.tester.BaseWicketTester.clickLink(java.lang.String,boolean);0.36002901473774584;0.18487016753076368;470.8875;438.51875;320;320
org.apache.wicket.protocol.http.mock.Cookies.keyOf(javax.servlet.http.Cookie);0.5463058908018923;0.8900736336232729;0.3875;0.1875;80;80
org.apache.wicket.mock.MockPageManager.touchPage(org.apache.wicket.page.IManageablePage);0.15741328399778376;0.9353007961529158;0.035164835164835165;0.0;910;910
org.apache.wicket.feedback.FeedbackCollector.collect(org.apache.wicket.feedback.IFeedbackMessageFilter);0.5970958922444891;0.7413208209306914;1.2852941176470587;1.0970588235294119;340;340
org.apache.wicket.request.Url.getHost();0.10830846982932307;0.9851376736459602;0.0011133603238866396;2.313475997686524E-4;69160;69160
org.apache.wicket.Application.setName(java.lang.String);0.2743534254381974;0.32634847332207206;9.1;7.533333333333333;60;60
org.apache.wicket.MarkupContainer.access$3(org.apache.wicket.MarkupContainer,int);0.010050705791276643;0.9812505114346934;0.026238723423545943;0.010213518291853666;220590;220590
org.apache.wicket.request.Url.isContextAbsolute();0.13020742371066318;0.9523789261022726;0.013342140026420079;0.006208718626155878;15140;15140
org.apache.wicket.markup.html.form.PasswordTextField.onComponentTag(org.apache.wicket.markup.ComponentTag);0.544956071508597;0.8187456534765798;1.0333333333333332;0.5;30;30
org.apache.wicket.Session.dirty();0.3222234059506751;0.8631659180932314;0.32;0.0;50;50
org.apache.wicket.Component.determineVisibility();0.34864174812515447;0.9821032357442361;0.020695987726068156;0.017002185131805292;430180;430180
org.apache.wicket.protocol.http.BufferedWebResponse.setHeader(java.lang.String,java.lang.String);0.6410435298292707;0.9407077401911222;0.14537037037037037;0.11666666666666667;1080;1080
org.apache.wicket.request.resource.ResourceReferenceRegistry(org.apache.wicket.request.resource.IResourceReferenceFactory);0.10672656315154405;0.24928975438390877;4.933333333333334;2.85;60;60
org.apache.wicket.markup.parser.XmlPullParser.getInputFromPositionMarker(int);0.6743281674505739;0.9904493508939606;0.005916030534351145;0.004293893129770993;10480;10480
org.apache.wicket.MarkupContainer.visitChildren(java.lang.Class,org.apache.wicket.util.visit.IVisitor);0.3509093292666464;0.5039870983085946;6.455851063829787;5.492553191489361;1880;1880
org.apache.wicket.markup.head.JavaScriptReferenceHeaderItem.getUrl();0.21208590811096206;0.9202352569990316;2.9660493827160495;2.4407407407407407;1620;1620
org.apache.wicket.request.mapper.info.ComponentInfo.decodeComponentPath(java.lang.CharSequence);0.31836599420477185;0.9357046751038941;0.06521739130434782;0.0;230;230
org.apache.wicket.markup.MarkupFactory.getMarkupResourceStreamProvider(org.apache.wicket.MarkupContainer);0.622624766092356;0.9413577687915877;0.11467889908256881;0.08807339449541285;1090;1090
org.apache.wicket.util.io.ProxyInputStream.available();0.3180237591678178;0.9470813981513473;0.047058823529411764;0.0;340;340
org.apache.wicket.protocol.http.mock.MockHttpServletRequest.setURL(java.lang.String);0.752505198649635;0.9685843599863246;0.6797872340425531;0.6329787234042553;940;940
org.apache.wicket.util.string.StringList.tokenize(java.lang.String,java.lang.String);0.060963866259288214;0.9017643667099969;0.06203007518796992;0.029291979949874685;31920;31920
org.apache.wicket.markup.html.SecurePackageResourceGuard$SimpleCache.put(java.lang.String,java.lang.Boolean);0.3179658106101133;0.9492660568721614;0.04054054054054054;0.0;370;370
