# Optimized methods (Rate method)
141
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
io.netty.buffer.CompositeByteBuf.capacity();0.47018006520645006;0.9776839177747815;0.007792207792207792;0.0020657155767865214;1925;15491
io.netty.buffer.AbstractByteBuf.writableBytes();0.12385869187227361;0.9636510855500688;0.01287995878413189;0.005675954592363261;19410;38760
io.netty.bootstrap.AbstractBootstrap();0.5218761756468323;0.9781585550647773;0.010948905109489052;0.0035714285714285713;1370;4200
io.netty.channel.ChannelOutboundBuffer$Entry();0.3173161091339124;0.9942227035264323;3.7037037037037035E-4;0.0;43200;133120
io.netty.channel.socket.DefaultDatagramChannelConfig(io.netty.channel.socket.DatagramChannel,java.net.DatagramSocket);0.30398806287281477;0.8860183280004943;0.14545454545454545;0.03409090909090909;220;440
io.netty.channel.socket.nio.ProtocolFamilyConverter.convert(io.netty.channel.socket.InternetProtocolFamily);0.6810219939730154;0.9468156908439403;0.13636363636363635;0.07272727272727272;110;220
io.netty.channel.DefaultChannelHandlerContext.findContextOutbound();0.45319689696034193;0.9957169338119348;3.491810612921882E-4;1.4800951080469428E-4;91643;209446
io.netty.testsuite.transport.socket.SocketSpdyEchoTest.createFrames(int);1.3743106812080246E-4;0.0017476349661124102;28.583333333333332;8.975;60;120
io.netty.channel.ChannelHandlerAdapter();0.15733764707689468;0.9533638996784577;0.011851851851851851;0.0;2700;9020
io.netty.testsuite.transport.socket.SocketTestPermutation$2$1.toString();0.15460295734660068;0.6989327534904786;0.5333333333333333;0.13333333333333333;120;240
io.netty.bootstrap.AbstractBootstrap.doBind(java.net.SocketAddress);2.9382775879709636E-19;3.47499806707674E-14;29.73972602739726;8.808715596330275;730;2180
io.netty.buffer.AbstractByteBuf.ensureAccessible();0.1257182614716864;0.9645581058960069;0.0054931640625;0.0036163441738568097;81920;235044
io.netty.channel.group.DefaultChannelGroup(java.lang.String,io.netty.util.concurrent.EventExecutor);0.34343639613791377;0.7054569861112734;1.5;0.0;10;10
io.netty.channel.DefaultChannelPipeline.addLast0(java.lang.String,io.netty.channel.DefaultChannelHandlerContext);0.0020629885920795095;0.4364005471429344;0.32978723404255317;0.13551401869158877;1410;4280
io.netty.bootstrap.AbstractBootstrap.bind();2.7882039231799372E-19;2.986499936241671E-14;29.78082191780822;8.822935779816515;730;2180
io.netty.bootstrap.Bootstrap.doConnect(java.net.SocketAddress,java.net.SocketAddress);1.1254611143466962E-8;0.0;15.710344827586207;5.82;580;1900
io.netty.channel.socket.nio.NioDatagramChannelConfig.setOption0(java.lang.Object,java.lang.Object);0.32558198801619376;0.7973514701113644;0.5333333333333333;0.0;30;60
io.netty.bootstrap.Bootstrap.doConnect0(io.netty.channel.ChannelFuture,io.netty.channel.Channel,java.net.SocketAddress,java.net.SocketAddress,io.netty.channel.ChannelPromise);0.598932104807615;0.9441097829293915;0.0967741935483871;0.041343669250646;155;387
io.netty.buffer.CompositeByteBuf.addComponent(io.netty.buffer.ByteBuf);7.920162901721455E-4;0.504070991270231;0.23636363636363636;0.08191853334194048;1925;15491
io.netty.bootstrap.Bootstrap.connect(java.net.SocketAddress);0.006767139838032519;2.715583502154173E-4;68.73333333333333;21.075;30;80
io.netty.channel.AbstractChannel$AbstractUnsafe.register(io.netty.channel.EventLoop,io.netty.channel.ChannelPromise);1.8470308581772125E-5;0.24763139898642395;0.3977777777777778;0.10120192307692308;1350;4160
io.netty.channel.DefaultChannelPipeline(io.netty.channel.AbstractChannel);5.747020376650512E-17;1.6663366041780314E-5;1.8548148148148147;0.596875;1350;4160
io.netty.channel.socket.nio.NioDatagramChannelConfig.setNetworkInterface(java.net.NetworkInterface);0.32558198801619376;0.7973514701113644;0.5333333333333333;0.0;30;60
io.netty.handler.codec.ByteToMessageDecoder();0.321394279769444;0.8555284676465171;0.25;0.0;60;120
io.netty.channel.DefaultChannelPromise.await();2.0514062246517117E-36;8.760991931922035E-12;58.42440401505646;21.20350436710382;6376;37439
io.netty.buffer.AbstractByteBuf.readableBytes();0.49329061651244266;0.9951654381667387;4.3636363636363637E-4;1.2532898859506203E-4;34375;127664
io.netty.bootstrap.AbstractBootstrap.initAndRegister();1.1178069533946447E-26;0.0;22.502962962962965;6.9810096153846155;1350;4160
io.netty.bootstrap.ServerBootstrap.group(io.netty.channel.EventLoopGroup,io.netty.channel.EventLoopGroup);0.1273209756410485;0.8614766561311864;0.08363636363636363;0.008791208791208791;550;1820
io.netty.buffer.AbstractReferenceCountedByteBuf(int);0.31731843502692103;0.9931042255729394;5.241605241605242E-4;0.0;30525;96682
io.netty.channel.socket.DefaultDatagramChannelConfig.setOption(io.netty.channel.ChannelOption,java.lang.Object);0.5606004443958743;0.9423303000889783;0.1;0.039473684210526314;160;760
io.netty.channel.SimpleChannelInboundHandler(boolean);8.344639811968286E-4;0.5335039186221112;0.23583333333333334;0.045572916666666664;1200;3840
io.netty.channel.AbstractChannel(io.netty.channel.Channel);1.4376439772151396E-16;1.2277328376164576E-8;9.928148148148148;3.55;1350;4160
io.netty.channel.DefaultChannelHandlerContext.validatePromise(io.netty.channel.ChannelPromise,boolean);0.013334352853054645;0.9351094966222676;0.007158211756489857;0.0033373757436284293;91643;209446
io.netty.bootstrap.AbstractBootstrap$BootstrapChannelFactory.newChannel();4.0831521286428977E-25;0.0;20.121774193548386;5.825380710659899;1240;3940
io.netty.channel.socket.oio.OioServerSocketChannel(java.net.ServerSocket);1.9068895223454518E-8;6.717845474391027E-5;3.7157894736842105;0.7935483870967742;190;620
io.netty.buffer.AbstractDerivedByteBuf(int);0.31731850841577325;0.9930695525232924;5.29013060009919E-4;0.0;30245;96122
io.netty.bootstrap.Bootstrap.connect();2.349554452134609E-7;0.0;12.883636363636363;5.167032967032967;550;1820
io.netty.channel.DefaultChannelHandlerContext$WriteTask(io.netty.util.Recycler.Handle);0.4699464685664516;0.995713267322852;3.442417243179017E-4;1.5189674940956264E-4;90053;204086
io.netty.channel.AbstractChannel.estimatorHandle();0.5656863066732389;0.9926685306484646;8.772611684230398E-4;6.124868927804945E-4;90053;204086
io.netty.channel.SingleThreadEventLoop.register(io.netty.channel.Channel,io.netty.channel.ChannelPromise);5.739898133001121E-5;0.25856255346165036;0.4088888888888889;0.12379807692307693;1350;4160
io.netty.bootstrap.Bootstrap.connect(java.lang.String,int);0.006038596373826816;1.2019690412823358E-4;69.26666666666667;21.075;30;80
io.netty.channel.socket.oio.OioDatagramChannel.newSocket();0.12433656598720721;0.5055153727675366;0.9818181818181818;0.35454545454545455;110;220
io.netty.bootstrap.AbstractBootstrap.toString();0.42513105044079624;0.9313601778441658;0.07384615384615385;0.047474747474747475;1300;3960
io.netty.buffer.CompositeByteBuf.consolidateIfNeeded();0.3174362559298227;0.9703012580720738;0.008311688311688312;0.0;1925;15491
io.netty.channel.AbstractChannel$AbstractUnsafe(io.netty.channel.AbstractChannel);0.003636122183547014;0.003923358224438012;1.4074074074074074;0.8439903846153847;1350;4160
io.netty.channel.DefaultChannelPromise.awaitUninterruptibly();0.5344013834946759;0.26006826909410086;218.35098039215686;206.57327044025158;510;3180
io.netty.channel.socket.oio.OioSocketChannel(io.netty.channel.Channel,java.net.Socket);0.004936601516687566;0.09751394484797427;2.0;0.8878787878787879;200;660
io.netty.testsuite.transport.socket.SocketTestPermutation$7.newInstance();1.4003529992916796E-5;0.02365971922997434;1.8210526315789475;0.6072580645161291;380;1240
io.netty.buffer.AbstractByteBuf.writeByte(int);0.31745994168404945;0.9719738436251258;0.009876543209876543;0.0;1620;3240
io.netty.bootstrap.Bootstrap.toString();0.07516557208906076;0.7721166818755183;0.168;0.05675675675675676;750;2220
io.netty.buffer.Unpooled.copyInt(int);0.174704341069982;0.4581902706211729;4.941666666666666;3.3208333333333333;120;240
io.netty.channel.socket.nio.NioSocketChannel.newSocket();0.7380302017053535;0.9760515820208313;0.039473684210526314;0.025;380;1240
