# Degradated methods (Rate method)
88
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
io.netty.channel.DefaultChannelPromise.channel();0.15729961681363835;0.9970780964990862;0.0;1.263523651583353E-4;99979;253260
io.netty.testsuite.transport.socket.SocketEchoTest.testSimpleEcho();2.3729167862418288E-23;1.5705228423079642E-4;3644.1;6895.2;10;10
io.netty.channel.DefaultChannelPipeline.writeAndFlush(java.lang.Object,io.netty.channel.ChannelPromise);0.7724673303909135;0.9364252208450425;0.27091836734693875;0.2936905358037056;1960;3994
io.netty.channel.AdaptiveRecvByteBufAllocator(int,int,int);0.5466636622392271;0.9199479328510998;0.1;0.20666666666666667;150;150
io.netty.testsuite.transport.socket.SocketObjectEchoTest.testObjectEcho();1.2089485977689124E-13;1.5705228423079642E-4;3883.0;7634.6;10;10
io.netty.buffer.AbstractDerivedByteBuf.refCnt();0.9610456359987491;0.9998389212680263;0.007792207792207792;0.008198308695371507;1925;15491
io.netty.testsuite.transport.socket.SocketFileRegionTest.testFileRegion();1.1631797224789614E-32;1.5705228423079642E-4;3825.1;7441.2;10;10
io.netty.channel.AbstractChannel.newPromise();0.2276913156182946;0.9489834539982263;0.0055147058823529415;0.022617901828681425;2720;2078
io.netty.testsuite.transport.socket.SocketEchoTest.testSimpleEchoWithAdditionalExecutor();1.6079948647608919E-12;1.5705228423079642E-4;4236.9;8629.8;10;10
io.netty.testsuite.transport.socket.DatagramUnicastTest.testSimpleSendWithoutBind();6.412354473714941E-16;1.5705228423079642E-4;5815.9;12099.5;10;10
io.netty.bootstrap.ServerBootstrap.toString();0.32140547835492217;0.9376409209303738;0.02727272727272727;0.06321839080459771;550;1740
io.netty.testsuite.transport.socket.SocketStringEchoTest.testStringEcho();4.643418197145897E-24;1.5705228423079642E-4;3887.5;7616.0;10;10
io.netty.channel.DefaultChannelHandlerContext.fireChannelWritabilityChanged();0.375377498885222;0.8734201485430095;0.22507122507122507;1.235864297253635;351;619
io.netty.buffer.SlicedByteBuf(io.netty.buffer.ByteBuf,int,int);0.5388854052799937;0.9345265221580208;0.017556620929079187;0.02186804269574083;30245;96122
io.netty.channel.socket.nio.NioDatagramChannel.joinGroup(java.net.InetAddress,java.net.NetworkInterface,java.net.InetAddress,io.netty.channel.ChannelPromise);0.7511124291977115;0.9824502949659324;1.6;2.35;10;20
io.netty.testsuite.transport.socket.SocketTestPermutation$2$1(null);0.31832187790784927;0.948603752073481;0.0;0.0625;120;240
io.netty.channel.DefaultChannelHandlerContext$WriteTask.newInstance(io.netty.channel.DefaultChannelHandlerContext,java.lang.Object,int,boolean,io.netty.channel.ChannelPromise);0.03328916736676223;0.9628089678022814;0.031292683197672484;0.044432249149868194;90053;204086
