# Scenarios executed in both releases
126
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
Entry point for DefaultServletTest.testRangeRequests;0.4141362891261191;0.05673850086936383;27.566666666666666;31.1;30;10
Entry point for ServletHandlerTest.testAllNonProgrammaticFilterMappings;0.51256680407232;0.1258923044808804;56.0;57.8;30;10
Entry point for AsyncContextTest.testDispatchWithContextAsyncContext;0.9851127298338067;0.9875396431792867;2.033333333333333;2.0;30;10
Entry point for DefaultServletTest.testListingXSS;0.5706140530203294;0.3100441238765246;9.433333333333334;11.0;30;10
Entry point for DispatcherTest.testForwardWithParam;0.3568806513201327;0.2352589447126754;6.566666666666666;9.2;30;10
Entry point for AsyncServletTest.testNormal;4.456153923858873E-5;0.012462158294540338;6.1;0.0;30;10
Entry point for DispatcherTest.testForwardNonUTF8;0.3689129754511714;0.22316494628105144;14.4;12.3;30;10
Entry point for DispatcherForwardTest.testQueryAggregatesWithFormMergedByForwardWithQuery;0.0717487938233107;0.06766474200791672;11.466666666666667;6.1;30;10
Entry point for AsyncIOServletTest.testAsyncReadThrowsError;0.6563525343578493;0.0947099748522855;15.066666666666666;14.2;30;10
Entry point for AsyncContextTest.testDispatch;0.6961774329538338;0.5633701759173013;2.7;2.0;30;10
Entry point for AsyncServletTest.testSuspendTimeoutSuspend;0.05456261691554906;0.24147691993853204;40.7;45.1;30;10
Entry point for AsyncServletTest.testSuspendWaitComplete;0.17495353671291936;0.14209516097542307;60.266666666666666;64.4;30;10
Entry point for DispatcherTest.testInclude;0.7782624975402764;0.7311604557095335;10.2;9.4;30;10
Entry point for DispatcherForwardTest.testContentCanBeReadViaInputStreamAfterForwardWithoutQuery;0.43460055470668557;0.24147691993853204;8.366666666666667;10.5;30;10
Entry point for AsyncServletIOTest.testBigWrites;0.0012198346409271997;0.024518720845428832;2351.4666666666667;2469.6;30;10
Entry point for DispatcherTest.testWorkingResourceHandler;0.3587774551928351;0.7906278567101722;2.2333333333333334;4.6;30;10
Entry point for AsyncServletTest.testSuspendOnTimeoutComplete;0.10085318322980132;0.8026816823825529;215.26666666666668;217.4;30;10
Entry point for AsyncContextTest.testStartDispatchThrow;8.029666053737052E-20;2.7966913074273236E-6;70.43333333333334;3.6;30;10
Entry point for DispatcherTest.testWrappedIncludeToResourceHandler;0.521744605257457;0.348736660138805;6.333333333333333;4.6;30;10
Entry point for AsyncServletTest.testFwdWrapStartDispatchPath;0.9517949481339365;0.7666725386427777;38.5;38.3;30;10
Entry point for AsyncServletTest.testSuspendWaitResume;0.00250440426387058;0.052799806376441216;21.966666666666665;29.5;30;10
Entry point for AsyncServletIOTest.testWritesFlushWrites;0.0021487495434650426;0.0456057407100382;237.76666666666668;252.8;30;10
Entry point for AsyncServletTest.testSuspendOnTimeoutDispatch;0.17177208021614687;0.08300173080441364;214.86666666666667;217.3;30;10
Entry point for AsyncIOServletTest.testAsyncWriteClosed;1.7766654785685578E-5;2.479126859500358E-5;128.13333333333333;146.6;30;10
Entry point for DispatcherTest.testIncludeToResourceHandler;0.06328995851938321;0.3818062478367513;16.233333333333334;15.4;30;10
Entry point for DispatcherTest.testForwardThenInclude;0.46370609648413774;0.4167322095640974;10.666666666666666;12.5;30;10
Entry point for ResponseHeadersTest.testResponseHeaderFormat;2.6382661338617142E-5;1.317080305329732E-5;175.1;191.6;30;10
Entry point for DispatcherForwardTest.testQueryRetainedByForwardWithoutQuery;0.023062174775504766;0.03779131250368006;570.1333333333333;583.7;30;10
Entry point for DispatcherForwardTest.testQueryAggregatesWithFormReplacedByForwardWithQuery;0.9117247285007785;0.6619035604716124;14.333333333333334;14.0;30;10
Entry point for ServletHandlerTest.testMatchBeforeAndAfter;0.020152991752355253;0.27429882739587585;1.8666666666666667;0.0;30;10
Entry point for ServletHandlerTest.testAllBeforeFilterMappings;0.6135273702168993;0.5846479572713803;2.566666666666667;1.6;30;10
Entry point for AsyncContextTest.testSimpleAsyncContext;0.8532163202366158;0.6847045541951502;5.8;5.3;30;10
Entry point for AsyncIOServletTest.testAsyncReadThrowsException;0.3561668476534292;0.7429382018663444;27.333333333333332;34.3;30;10
Entry point for AsyncServletLongPollTest.testSuspendedRequestCompletedByAnotherRequest;7.999308632797914E-5;0.01549094048289179;614.5666666666667;625.6;30;10
Entry point for DefaultServletTest.testGzip;0.8924050697781093;0.24780968296819428;15.966666666666667;15.8;30;10
Entry point for DefaultServletTest.testWelcome;0.006902711841909824;0.0392559679953155;34.56666666666667;23.1;30;10
Entry point for DispatcherTest.testForwardFilterToRogerServlet;0.2791453478760001;0.35682847959469854;26.566666666666666;23.3;30;10
Entry point for AsyncServletIOTest.testEmpty;1.5294361607241944E-19;2.7966913074273236E-6;7.1;176.5;30;10
Entry point for ErrorPageTest.testErrorException;0.0011791516236623863;0.0036745030569654835;187.06666666666666;198.2;30;10
Entry point for DispatcherTest.testWrappedForwardToResourceHandler;0.3837136026231638;0.9501889461730114;4.5;7.8;30;10
Entry point for DispatcherForwardTest.testQueryReplacedByForwardWithQuery;0.5029551806238401;0.40782855853633215;24.1;25.9;30;10
Entry point for ServletHandlerTest.testMatchAfterAndBefore;0.2672471791321285;0.39903926045811544;3.033333333333333;6.2;30;10
Entry point for DefaultServletTest.testIfModifiedLarge;0.12185945533778451;0.40782855853633215;19.266666666666666;26.5;30;10
Entry point for DefaultServletTest.testIfETagLarge;0.049640607449361496;0.05473961622978363;36.3;43.6;30;10
