# Degradated methods (TTest P-Value)
34
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.eclipse.jetty.servlet.InvokerTest.testInvoker();3.070315513753719E-14;1.875990662891791E-5;174.56666666666666;187.2;30;10
org.eclipse.jetty.servlet.AsyncServletLongPollTest.testSuspendedRequestCompletedByAnotherRequest();7.999308632797914E-5;0.01549094048289179;614.5666666666667;625.6;30;10
org.eclipse.jetty.servlet.DispatcherForwardTest.testQueryAggregatesWithFormBeforeAndAfterForward();0.01128557108057632;0.001986518443168106;14.533333333333333;35.2;30;10
org.eclipse.jetty.servlet.AsyncServletIOTest.testWritesFlushWrites();0.002148749543465039;0.0456057407100382;237.76666666666668;252.8;30;10
org.eclipse.jetty.servlet.RequestHeadersTest.testGetLowercaseHeader();0.0075262991934573675;3.6978046197810865E-4;185.3;198.0;30;10
org.eclipse.jetty.servlet.AsyncServletIOTest.testRead();0.003989047423545293;0.27429882739587585;319.8666666666667;327.6;30;10
org.eclipse.jetty.http.HttpFields.put(org.eclipse.jetty.http.HttpHeader,java.lang.String);0.03625132975776551;0.40538882643117324;0.7277777777777777;2.3333333333333335;180;60
org.eclipse.jetty.servlet.ErrorPageTest.testErrorException();0.0011791516236623863;0.0036745030569654835;187.06666666666666;198.2;30;10
org.eclipse.jetty.servlet.AsyncContextTest.testStartCompleteThrow();7.414557833973823E-8;1.875990662891791E-5;175.16666666666666;188.4;30;10
org.eclipse.jetty.servlet.AsyncServletIOTest.testReadWrite();0.005486710172401552;0.20586864962849094;379.93333333333334;391.6;30;10
org.eclipse.jetty.servlet.AsyncContextListenersTest.testAsyncDispatchAsyncCompletePreservesListener();2.8608621137557363E-4;0.0016947187657537777;604.1;619.4;30;10
org.eclipse.jetty.servlet.AsyncServletTest.testSuspendTimeoutSuspendResume();0.0015148376904617475;0.0011605018299080117;209.03333333333333;229.6;30;10
org.eclipse.jetty.servlet.DefaultServletTest.testIfETagLarge();0.049640607449361496;0.05473961622978363;36.3;43.6;30;10
org.eclipse.jetty.servlet.AsyncServletIOTest.testBigWrite();0.010591495646364819;0.01483793411904688;75.8;84.3;30;10
org.eclipse.jetty.server.handler.ContextHandler(org.eclipse.jetty.server.handler.ContextHandler.Context);4.078890510406518E-8;0.006897051211664729;0.24333333333333335;2.032142857142857;900;280
org.eclipse.jetty.servlet.AsyncServletIOTest.testEmpty();1.5294361607241944E-19;2.7966913074273236E-6;7.1;176.5;30;10
org.eclipse.jetty.servlet.AsyncServletTest.testSuspendWaitResume();0.002504404263870579;0.052799806376441216;21.966666666666665;29.5;30;10
org.eclipse.jetty.servlet.AsyncIOServletTest.testAsyncWriteClosed();1.7766654785685578E-5;2.479126859500358E-5;128.13333333333333;146.6;30;10
org.eclipse.jetty.servlet.ResponseHeadersTest.readResponseHeader(java.io.InputStream);2.2795454280576422E-7;2.6565150611945754E-5;154.96666666666667;170.0;30;10
org.eclipse.jetty.servlet.AsyncServletIOTest.testWrites();0.003936344021621496;0.15077522566632784;236.66666666666666;249.8;30;10
org.eclipse.jetty.servlet.DefaultServletRangesTest.testNoRangeRequests();2.7135781624061916E-4;2.4247134097110656E-4;212.4;226.3;30;10
org.eclipse.jetty.servlet.DefaultServletTest.testWelcomeServlet();1.1694788407094703E-5;5.925253599770031E-6;252.96666666666667;273.2;30;10
org.eclipse.jetty.servlet.AsyncIOServletTest.testAsyncWriteThrowsError();2.1449004949767846E-4;5.57603435422438E-4;593.7333333333333;608.4;30;10
org.eclipse.jetty.servlet.AsyncServletIOTest.testBigRead();0.0016590790296486945;0.3100441238765246;319.3333333333333;327.5;30;10
org.eclipse.jetty.servlet.DefaultServletTest.testListingProperUrlEncoding();0.02368035525788208;0.006896397158842937;9.4;14.3;30;10
org.eclipse.jetty.servlet.ResponseHeadersTest.testResponseHeaderFormat();2.6382661338617142E-5;1.317080305329732E-5;175.1;191.6;30;10
org.eclipse.jetty.servlet.DispatcherTest.testServletForwardDotDot();4.1276729018932426E-4;0.035001090259513146;211.33333333333334;220.0;30;10
org.eclipse.jetty.util.ssl.SslContextFactory.selectCipherSuites(java.lang.String[],java.lang.String[]);0.042173362533731766;0.18242243945173608;0.0;3.15;60;20
org.eclipse.jetty.server.SslConnectionFactory.doStart();0.0476680829138304;0.0392559679953155;234.96666666666667;252.8;30;10
org.eclipse.jetty.servlet.AsyncServletIOTest.testBigWrites();0.0012198346409271997;0.024518720845428832;2351.4666666666667;2469.6;30;10
org.eclipse.jetty.servlet.ServletContextHandlerTest.testReplaceServletHandlerWithoutServlet();2.3775718513871348E-4;0.0015226728206726436;429.5;444.5;30;10
org.eclipse.jetty.servlet.DispatcherForwardTest.testQueryRetainedByForwardWithoutQuery();0.023062174775504766;0.03779131250368006;570.1333333333333;583.7;30;10
org.eclipse.jetty.http.HttpGenerator$1();0.0221978186370488;0.31702508614094826;1.1277777777777778;3.1166666666666667;180;60
org.eclipse.jetty.http.MimeTypes$Type(java.lang.String,int,java.lang.String);0.0017973604603902095;0.3914681486121038;0.1824074074074074;0.75;1080;360
0.0
0.05
