# Optimized methods (TTest P-Value)
24
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.eclipse.jetty.servlet.DefaultServletTest.testFiltered();0.020861558942696923;0.019149571500766127;40.96666666666667;34.3;30;10
org.eclipse.jetty.util.thread.QueuedThreadPool.doStop();0.0014859299635403694;0.3977124371228937;0.5833333333333334;0.0;120;30
org.eclipse.jetty.servlet.ServletContextHandler.addFilter(java.lang.Class,java.lang.String,java.util.EnumSet);0.014863241466726589;0.0379163779030568;9.766666666666667;5.766666666666667;90;30
org.eclipse.jetty.server.LocalConnector$LocalEndPoint(org.eclipse.jetty.server.LocalConnector);0.0017143823116571727;0.873503856102702;0.03169014084507042;0.0;4260;1420
org.eclipse.jetty.servlet.ServletContextHandlerTest.testFallThrough();0.002545987374020544;0.005181784451575799;52.5;46.7;30;10
org.eclipse.jetty.servlet.ServletHandler.addFilterWithMapping(org.eclipse.jetty.servlet.FilterHolder,java.lang.String,java.util.EnumSet);0.04308057531040956;0.035067967055048554;5.68;3.46;150;50
org.eclipse.jetty.servlet.ServletHandlerTest.testMatchBeforeAndAfter();0.020152991752355204;0.27429882739587585;1.8666666666666667;0.0;30;10
org.eclipse.jetty.util.ssl.SslContextFactory.getTrustManagers(java.security.KeyStore,java.util.Collection);0.021042021346043063;0.348736660138805;2.433333333333333;0.0;30;10
org.eclipse.jetty.io.AbstractEndPoint.onClose();2.3175562841920862E-4;0.6712334580330683;0.0784037558685446;0.01056338028169014;4260;1420
org.eclipse.jetty.servlet.AsyncServletIOTest.testAsync2();0.00140552628551678;0.08581278065055209;3.3666666666666667;0.0;30;10
org.eclipse.jetty.util.log.StdErrLog.getLoggingProperty(java.util.Properties,java.lang.String,java.lang.String);0.005645578103007572;0.9357226456303203;0.011458333333333333;0.0;9600;3320
org.eclipse.jetty.servlet.AsyncContextTest.testStartDispatchThrow();8.029666053737052E-20;2.7966913074273236E-6;70.43333333333334;3.6;30;10
org.eclipse.jetty.util.BufferUtil.toBuffer(java.lang.String,java.nio.charset.Charset);0.021792611879741547;0.9260051064192617;0.012910798122065728;0.0;4260;1420
org.eclipse.jetty.servlet.DefaultServletTest.testWelcome();0.006902711841909824;0.0392559679953155;34.56666666666667;23.1;30;10
org.eclipse.jetty.servlet.ServletHandler.addFilterWithMapping(java.lang.Class,java.lang.String,java.util.EnumSet);0.01615808505701155;0.03876557417763726;9.71111111111111;5.766666666666667;90;30
org.eclipse.jetty.servlet.ServletHandler.newFilterHolder(org.eclipse.jetty.servlet.BaseHolder.Source);0.005165237199990466;0.36330214088689794;1.0222222222222221;0.0;90;30
org.eclipse.jetty.server.handler.ContextHandlerCollection.mapContexts();0.007393430234182928;0.21152242941072907;3.1333333333333333;0.0;30;10
org.eclipse.jetty.servlet.AsyncServletTest.testNormal();4.456153923858864E-5;0.012462158294540338;6.1;0.0;30;10
org.eclipse.jetty.io.IdleTimeout.onClose();0.012037871916107603;0.9154715640658235;0.01948356807511737;0.0;4260;1420
org.eclipse.jetty.util.Uptime();0.0034713323855318943;0.004262392019797945;3.5533333333333332;1.26;150;50
org.eclipse.jetty.servlet.ServletHandler();0.045455097642433204;0.9218911093593088;0.016666666666666666;0.0;1200;380
org.eclipse.jetty.io.WriteFlusher.completeWrite();0.008714962904402622;0.9049528444194525;0.013145539906103286;0.0;4260;1420
org.eclipse.jetty.http.MimeTypes$Type(java.lang.String,int,java.lang.String,java.nio.charset.Charset);0.022707191324455214;0.7495956887338278;0.15555555555555556;0.0;360;120
org.eclipse.jetty.servlet.ServletContextHandlerTest.testInitOrder();0.03975274122357356;0.39903926045811544;34.733333333333334;29.6;30;10
0.0
0.05
