# Unchanged methods (UTest P-Value)
775
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.eclipse.jetty.servlet.AsyncServletLongPollTest.prepare(javax.servlet.http.HttpServlet);0.4641774459702679;0.9626310820312192;420.9;422.7;30;10
org.eclipse.jetty.util.ConcurrentArrayQueue.getBlockSize();NaN;1.0;0.0;0.0;960;240
org.eclipse.jetty.servlet.ServletContextHandler.callContextInitialized(javax.servlet.ServletContextListener,javax.servlet.ServletContextEvent);NaN;1.0;0.0;0.0;30;10
org.eclipse.jetty.servlet.ServletContextHandlerTest$2(org.eclipse.jetty.servlet.ServletContextHandlerTest);NaN;1.0;0.0;0.0;30;10
org.eclipse.jetty.io.WriteFlusher$WritingState();NaN;1.0;0.0;0.0;240;80
org.eclipse.jetty.server.handler.HandlerList();NaN;1.0;0.0;0.0;30;10
org.eclipse.jetty.servlet.AsyncServletTest.process(java.lang.String,java.lang.String);0.7519852941863363;0.2792619386142873;80.83529411764705;83.25882352941177;510;170
org.eclipse.jetty.util.component.AbstractLifeCycle.stop();0.897797159486175;0.2732655338838412;0.8223809523809524;0.8017857142857143;2100;560
org.eclipse.jetty.servlet.FilterHolder$Config(org.eclipse.jetty.servlet.FilterHolder);NaN;1.0;0.0;0.0;120;40
org.eclipse.jetty.server.handler.ContextHandler$Context.getInitParameter(java.lang.String);0.3176469286842739;0.9742662514542825;0.006944444444444444;0.0;720;240
org.eclipse.jetty.util.ArrayTernaryTrie(boolean,int);0.3173434324095705;0.9920663042547138;0.0021768707482993197;0.0;7350;2350
org.eclipse.jetty.util.BufferUtil.toBuffer(java.lang.String);0.6274869623841905;0.9465820299177251;0.0225;0.016;6000;2000
org.eclipse.jetty.util.component.ContainerLifeCycle.unmanage(org.eclipse.jetty.util.component.ContainerLifeCycle.Bean);0.7101807685492953;0.9248235206952067;0.05486725663716814;0.04392523364485981;3390;1070
org.eclipse.jetty.util.log.StdErrLog.getLevelId(java.lang.String,java.lang.String);0.7312703940086994;0.9690227830863861;0.009906291834002677;0.012209302325581395;14940;5160
org.eclipse.jetty.server.Server.doStart();0.3112121681549427;0.5860840262756706;46.322916666666664;51.60689655172414;960;290
org.eclipse.jetty.server.handler.ContextHandler.getAttribute(java.lang.String);NaN;1.0;0.0;0.0;120;40
org.eclipse.jetty.servlet.DispatcherForwardTest$16(org.eclipse.jetty.servlet.DispatcherForwardTest);NaN;1.0;0.0;0.0;30;10
org.eclipse.jetty.util.thread.QueuedThreadPool.newThread(java.lang.Runnable);0.11485101037726975;0.9029752684995684;0.0234375;0.054310344827586204;7680;2320
org.eclipse.jetty.servlet.FilterMapping();NaN;1.0;0.0;0.0;420;140
org.eclipse.jetty.io.WriteFlusher$State(org.eclipse.jetty.io.WriteFlusher.StateType);NaN;1.0;0.0;0.0;720;240
org.eclipse.jetty.server.AbstractConnector.doStop();0.8896116867006704;0.5491413718642574;1.7;1.5666666666666667;120;30
org.eclipse.jetty.io.ByteArrayEndPoint(org.eclipse.jetty.util.thread.Scheduler,long);NaN;1.0;0.0;0.0;4260;1420
org.eclipse.jetty.util.thread.QueuedThreadPool.doStop();0.0014859299635403694;0.3977124371228937;0.5833333333333334;0.0;120;30
org.eclipse.jetty.util.ConcurrentArrayQueue$1();NaN;1.0;0.0;0.0;120;40
org.eclipse.jetty.server.session.AbstractSessionIdManager.doStart();0.15816606047309834;0.8747546027626794;0.08333333333333333;0.0;120;40
org.eclipse.jetty.server.Server.getSessionIdManager();0.3193395975454466;0.9371829222169371;0.13333333333333333;0.0;120;40
org.eclipse.jetty.servlet.FilterHolder(org.eclipse.jetty.servlet.BaseHolder.Source);NaN;1.0;0.0;0.0;300;100
org.eclipse.jetty.server.handler.ContextHandler.getInitParameter(java.lang.String);NaN;1.0;0.0;0.0;720;240
org.eclipse.jetty.util.thread.QueuedThreadPool.startThreads(int);0.3558404022319218;0.5447261620272907;1.521875;1.8275862068965516;960;290
org.eclipse.jetty.servlet.AsyncServletTest.testFwdStartDispatch();0.5917004568337965;0.9377589428180783;31.233333333333334;30.2;30;10
org.eclipse.jetty.util.component.ContainerLifeCycle.unmanage(java.lang.Object);0.8849976283707716;0.8815451622133951;0.08840579710144927;0.0761904761904762;690;210
org.eclipse.jetty.servlet.AsyncServletTest.testSuspendWaitComplete();0.17495353671291936;0.14209516097542307;60.266666666666666;64.4;30;10
org.eclipse.jetty.servlet.AsyncIOServletTest.testAsyncReadThrows(java.lang.Throwable);0.49333858134594166;0.5709406718028881;21.2;24.25;60;20
org.eclipse.jetty.server.LocalConnector$LocalEndPoint.waitUntilClosedOrIdleFor(long,java.util.concurrent.TimeUnit);0.5650831302565902;0.057465937280784085;12.460798122065727;13.135915492957746;4260;1420
org.eclipse.jetty.io.IdleTimeout.checkIdleTimeout();0.17668788775902855;0.978249421607588;0.035211267605633804;0.07605633802816901;4260;1420
org.eclipse.jetty.security.SecurityHandler.doStart();0.9885883764586751;0.6619035604716124;3.066666666666667;3.1;30;10
