# Optimized methods (TTest P-Value)
125
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.apache.wicket.Component.getMarkup();3.3805827185067094E-14;0.24683331925076868;0.42803114571746387;0.13506072123852786;107880;107870
org.apache.wicket.MarkupContainer.getAssociatedMarkup();7.424013150412195E-20;0.0;5.1652534562211985;2.29892029215624;10850;31490
org.apache.wicket.page.PageAccessSynchronizer.lockPage(int);0.02084261500525922;0.3711645883807575;1.222429906542056;0.8168224299065421;1070;1070
org.apache.wicket.util.visit.Visit.isDontGoDeeper();0.030769809143807378;0.9877595250631517;4.540077373149599E-4;9.577626664112633E-5;312770;313230
org.apache.wicket.core.util.resource.ClassPathResourceFinder.getResourceStreamWithClassLoader(java.lang.ClassLoader,java.lang.String);6.350371940898096E-4;0.4458254531051925;0.29297418630751965;0.24275443720512244;44550;44510
org.apache.wicket.core.request.mapper.MountedMapper.mapHandler(org.apache.wicket.request.IRequestHandler);4.062775820162084E-4;0.3459456882617685;0.24104545454545453;0.07086363636363636;22000;22000
org.apache.wicket.MarkupContainer.visitChildren(java.lang.Class,org.apache.wicket.util.visit.IVisitor);0.020264675363886445;0.012790785469235177;5.492553191489361;4.104864864864865;1880;1850
org.apache.wicket.util.markup.xhtml.WellFormedXmlTestCase.processDirectory(java.io.File);0.001959808638092825;2.1677993378155236E-7;193.84690265486725;128.12991452991454;1130;1170
org.apache.wicket.filtertest.WithoutCPWithFPTest.testHelloWorld();2.915600518385812E-4;8.597444817626254E-6;579.6;63.15;20;20
org.apache.wicket.util.license.ApacheLicenseHeaderTestCase$1.visitFile(java.io.File);7.337970096109696E-34;0.0;5.2419551934826885;3.0825102880658437;4910;4860
org.apache.wicket.markup.ComponentTag.closes(org.apache.wicket.markup.MarkupElement);0.038242506121784786;0.8437913712942055;0.019798496721573643;0.005013290802764487;187590;752400
org.apache.wicket.util.resource.ResourceStreamWrapper.lastModifiedTime();0.02620820620717011;0.6614612849386758;0.3150197628458498;0.18616600790513835;2530;2530
org.apache.wicket.Application.getMarkupSettings();0.032010942651095324;0.9418527873749768;0.007109190887666928;0.004039343009931245;76380;104720
org.apache.wicket.protocol.http.BufferedWebResponse.setDateHeader(java.lang.String,org.apache.wicket.util.time.Time);0.019960330709630877;0.6695573780022563;1.1305555555555555;0.6666666666666666;1080;1080
org.apache.wicket.markup.html.DecoratingHeaderResponse.wasRendered(java.lang.Object);0.002992000521752687;0.9400234945815907;0.006830941983780411;4.990642545227698E-4;32060;32060
org.apache.wicket.request.http.WebResponse.disableCaching();0.020264439552869218;0.5866644811612152;1.8964705882352941;1.2329411764705882;850;850
org.apache.wicket.markup.head.ResourceAggregator.wasRendered(java.lang.Object);0.04259604609054942;0.9454702389088603;0.010137242669993761;0.004398003742981909;32060;32060
org.apache.wicket.devutils.debugbar.DebugBar(java.lang.String,boolean);0.044595125859271875;0.6554255383813584;16.164285714285715;12.588095238095239;420;420
org.apache.wicket.util.file.Files.getLastModified(java.io.File);0.03159044187233244;0.7706042601645904;0.1292490118577075;0.05652173913043478;2530;2530
org.apache.wicket.markup.MarkupFactory.getMarkup(org.apache.wicket.MarkupContainer,boolean);4.270478268084382E-20;0.0;5.057327188940092;2.2508415369958716;10850;31490
