# Unchanged methods (TTest P-Value)
3518
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.apache.wicket.protocol.http.mock.Cookies$Key(javax.servlet.http.Cookie);0.1583399056597269;0.8069683671707382;0.32;0.0;100;100
org.apache.wicket.core.request.mapper.MountedMapper$MountPathSegment.getFixedPart();NaN;1.0;0.0;0.0;3550;3550
org.apache.wicket.request.mapper.info.PageInfo();NaN;1.0;0.0;0.0;4840;3610
org.apache.wicket.velocity.Initializer.getVelocityProperties(org.apache.wicket.Application);0.9097348895695803;0.8686825765857538;2.283333333333333;2.4;60;60
org.apache.wicket.util.io.FullyBufferedReader.getLineNumber();0.31732260685287506;0.993090289751818;8.0E-4;0.0;20000;20000
org.apache.wicket.Component.getMarkup();0.8737452488301287;0.9793972747671673;0.41700964034111976;0.42399888765294774;107880;107880
org.apache.wicket.markup.html.form.RadioChoice.appendOptionHtml(org.apache.wicket.util.string.AppendingStringBuffer,java.lang.Object,int,java.lang.String);NaN;1.0;0.0;0.0;30;30
org.apache.wicket.devutils.debugbar.DebugBar(java.lang.String);NaN;1.0;0.0;0.0;420;420
org.apache.wicket.util.collections.MicroMap.put(java.lang.Object,java.lang.Object);NaN;1.0;0.0;0.0;30;30
org.apache.wicket.examples.library.AuthenticatedWebPage();NaN;1.0;0.0;0.0;10;10
org.apache.wicket.util.license.CssLicenseHeaderHandler(java.util.List);NaN;1.0;0.0;0.0;10;10
org.apache.wicket.request.mapper.info.ComponentInfo.getRenderCount();NaN;1.0;0.0;0.0;180;180
org.apache.wicket.request.mapper.parameter.PageParameters$Entry.access$0(org.apache.wicket.request.mapper.parameter.PageParameters.Entry);0.31732361623530314;0.9931092825025516;8.66738894907909E-4;0.0;18460;15660
org.apache.wicket.request.resource.caching.version.LastModifiedResourceVersion.getVersion(org.apache.wicket.request.resource.caching.IStaticCacheableResource);0.1895807161705253;0.7343934917223554;0.8130434782608695;0.4683794466403162;2530;2530
org.apache.wicket.Page.onRender();0.9170764724722482;0.8570831764573816;415.67962962962963;413.2092592592593;540;540
org.apache.wicket.authorization.Action(java.lang.String);NaN;1.0;0.0;0.0;100;100
org.apache.wicket.util.convert.converter.CalendarConverter();NaN;1.0;0.0;0.0;60;60
org.apache.wicket.Component.setDefaultModel(org.apache.wicket.model.IModel);0.2560047367957916;0.8696168415945098;2.8;3.8130434782608695;230;230
org.apache.wicket.MarkupContainer.getAssociatedMarkup();0.5619901074571944;0.998676249708823;5.170322580645161;5.422396313364056;10850;10850
org.apache.wicket.protocol.http.servlet.ServletWebRequest.getHeader(java.lang.String);0.9813161560973789;0.9997572845250507;0.003454384410983171;0.0034840622683469237;67740;67450
org.apache.wicket.session.HttpSessionStore.getBindListeners();NaN;1.0;0.0;0.0;90;90
org.apache.wicket.util.value.ValueMap();0.1573036841070492;0.9871638272872476;0.0;0.0013805004314063848;23180;23180
org.apache.wicket.markup.html.form.FormComponent.onValid();NaN;1.0;0.0;0.0;190;190
