# Unchanged methods (Rate method)
1970
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.apache.wicket.protocol.http.mock.Cookies$Key(javax.servlet.http.Cookie);NaN;1.0;0.0;0.0;100;100
org.apache.wicket.core.request.mapper.MountedMapper$MountPathSegment.getFixedPart();NaN;1.0;0.0;0.0;3550;3550
org.apache.wicket.util.io.FullyBufferedReader.getLineNumber();NaN;1.0;0.0;0.0;20000;20000
org.apache.wicket.Component.getMarkup();0.9777959592607356;0.9343163700853924;0.42399888765294774;0.42520393029291803;107880;107880
org.apache.wicket.devutils.debugbar.DebugBar(java.lang.String);NaN;1.0;0.0;0.0;420;420
org.apache.wicket.util.collections.MicroMap.put(java.lang.Object,java.lang.Object);NaN;1.0;0.0;0.0;30;30
org.apache.wicket.examples.library.AuthenticatedWebPage();NaN;1.0;0.0;0.0;10;10
org.apache.wicket.util.license.CssLicenseHeaderHandler(java.util.List);NaN;1.0;0.0;0.0;10;10
org.apache.wicket.request.mapper.info.ComponentInfo.getRenderCount();NaN;1.0;0.0;0.0;180;180
org.apache.wicket.Page.onRender();0.9871003764745028;0.9845889486941964;413.2092592592593;413.5925925925926;540;540
org.apache.wicket.authorization.Action(java.lang.String);NaN;1.0;0.0;0.0;100;100
org.apache.wicket.util.convert.converter.CalendarConverter();NaN;1.0;0.0;0.0;60;60
org.apache.wicket.MarkupContainer.getAssociatedMarkup();0.7993746260133403;0.6844090167914533;5.422396313364056;5.5363133640552995;10850;10850
org.apache.wicket.session.HttpSessionStore.getBindListeners();NaN;1.0;0.0;0.0;90;90
org.apache.wicket.util.value.ValueMap();0.97468373924828;0.9999994462154244;0.0013805004314063848;0.0013373597929249353;23180;23180
org.apache.wicket.markup.html.form.FormComponent.onValid();NaN;1.0;0.0;0.0;190;190
org.apache.wicket.util.collections.UrlExternalFormComparator();NaN;1.0;0.0;0.0;60;60
org.apache.wicket.markup.html.image.Image.onComponentTag(org.apache.wicket.markup.ComponentTag);0.8140816707564426;0.7293854725513619;5.874159292035398;6.07929203539823;5650;5650
org.apache.wicket.markup.MarkupCache$DefaultCacheImplementation.get(java.lang.Object);NaN;1.0;0.0;0.0;21760;21760
org.apache.wicket.session.HttpSessionStore();NaN;1.0;0.0;0.0;60;60
org.apache.wicket.markup.html.panel.AbstractMarkupSourcingStrategy();NaN;1.0;0.0;0.0;2710;2710
org.apache.wicket.settings.def.DebugSettings.isLinePreciseReportingOnAddComponentEnabled();NaN;1.0;0.0;0.0;27150;27150
org.apache.wicket.RestartResponseAtInterceptPageException$1.mapRequest(org.apache.wicket.request.Request);NaN;1.0;0.0;0.0;80;80
org.apache.wicket.markup.html.form.FormComponent.hasRawInput();NaN;1.0;0.0;0.0;60;60
org.apache.wicket.Page$5(org.apache.wicket.Page);NaN;1.0;0.0;0.0;540;540
