# Degradated methods (UTest P-Value)
70
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.apache.wicket.MarkupContainer.getAssociatedMarkup();0.37666278714838186;1.0827636956034503E-5;2.569260082565894;2.754183412495433;31490;27370
org.apache.wicket.util.license.XmlLicenseHeaderHandler.checkLicenseHeader(java.io.File);4.979538334861052E-6;2.1278715094275036E-5;8.731818181818182;15.280952380952382;220;210
org.apache.wicket.Page.onAfterRender();0.8574159169864692;1.63202784619898E-14;14.481481481481481;15.468518518518518;540;540
org.apache.wicket.filtertest.WithoutCPWithFPTest.testHelloWorld();4.008821244566281E-21;6.3018482210353E-8;63.15;117.05;20;20
org.apache.wicket.util.license.ApacheLicenseHeaderTestCase$1.visitFile(java.io.File);7.798232179001175E-107;0.0;3.7625;8.389655172413793;4880;4930
org.apache.wicket.MarkupContainer.autoAdd(org.apache.wicket.Component,org.apache.wicket.markup.MarkupStream);1.3843956006652083E-20;2.682568789716955E-4;0.3792517006802721;1.3289473684210527;2940;2660
org.apache.wicket.markup.AbstractMarkupParser.parse();0.47986108065889366;0.007708324873630601;57.09285714285714;60.06760563380282;840;710
org.apache.wicket.Localizer();8.961912870094616E-5;7.959163393098656E-4;1.55;12.5;20;20
org.apache.wicket.core.util.resource.locator.caching.CachingResourceStreamLocator.locate(java.lang.Class,java.lang.String,java.lang.String,java.lang.String,java.util.Locale,java.lang.String,boolean);0.003385639380817717;2.6592918245249564E-7;1.2138436482084691;1.6598765432098765;12280;12960
org.apache.wicket.markup.MarkupFactory.loadMarkup(org.apache.wicket.MarkupContainer,org.apache.wicket.markup.MarkupResourceStream,boolean);0.5264756473418053;0.005536463867741426;68.17349397590361;71.27857142857142;830;700
org.apache.wicket.markup.MarkupFactory.getMarkup(org.apache.wicket.MarkupContainer,boolean);0.24645631484058517;8.38716607809431E-6;2.474087011749762;2.7097917427840703;31490;27370
org.apache.wicket.util.string.Entities.addEntities(java.lang.String[][]);0.00527008990142848;0.040492613538346656;5.585714285714285;6.734523809523809;840;840
org.apache.wicket.MarkupContainer$3.component(org.apache.wicket.Component,org.apache.wicket.util.visit.IVisit);1.0898533860020181E-5;0.001847002952339083;0.268436018957346;0.4119845944721341;63300;44140
org.apache.wicket.protocol.http.WebApplication.internalInit();0.45957345802326777;0.004593123212126682;195.75;215.51666666666668;60;60
org.apache.wicket.Component.fireInitialize();0.040333196991801656;0.011389413383365965;0.46159568086382724;0.5676959619952494;83350;54730
org.apache.wicket.examples.forminput.FormInput$InputForm$2.populateItem(org.apache.wicket.markup.html.list.ListItem);0.0024949370976422376;0.024625161703710985;16.166666666666668;25.0;30;30
org.apache.wicket.MarkupContainer.addedComponent(org.apache.wicket.Component);0.6312827693118968;0.001459496171746344;5.926187845303867;6.138248587570621;27150;17700
org.apache.wicket.examples.library.Home(org.apache.wicket.request.mapper.parameter.PageParameters);2.31310571707925E-9;1.5705228423079642E-4;49.9;163.7;10;10
org.apache.wicket.examples.hangman.Home(org.apache.wicket.request.mapper.parameter.PageParameters);1.8446974925056988E-5;4.600727270089866E-4;12.55;31.95;20;20
org.apache.wicket.examples.library.Home$1.populateItem(org.apache.wicket.markup.html.list.ListItem);5.665615218487824E-4;1.9318868904605324E-7;42.525;115.875;40;40
org.apache.wicket.examples.template.pageinheritance.TemplatePage();3.1535511456243013E-10;1.5705228423079642E-4;51.4;160.9;10;10
org.apache.wicket.examples.niceurl.Page1(org.apache.wicket.request.mapper.parameter.PageParameters);1.7096026593454223E-6;0.00100797624037674;1.6;17.1;10;10
org.apache.wicket.util.license.AbstractLicenseHeaderHandler.extractLicenseHeader(java.io.File,int,int);1.1115296274936032E-111;0.0;3.6043032786885245;8.243610547667343;4880;4930
org.apache.wicket.markup.html.panel.FeedbackPanel$1.onConfigure();0.017565181115071684;0.04129351866843611;7.78;13.42;50;50
org.apache.wicket.examples.WicketWebTestCase.beginAt(java.lang.String);0.10606136566965407;4.377215261774925E-5;444.825;577.2;80;80
org.apache.wicket.examples.template.border.Page1();2.9354207626799048E-5;1.5705228423079642E-4;56.2;142.0;10;10
org.apache.wicket.examples.niceurl.Page2(org.apache.wicket.request.mapper.parameter.PageParameters);1.2456275297872813E-5;2.9883000630104295E-4;7.766666666666667;33.016666666666666;60;60
org.apache.wicket.examples.guestbook.GuestBook();1.7855846709298567E-7;1.5705228423079642E-4;59.2;146.8;10;10
org.apache.wicket.util.markup.xhtml.WellFormedXmlTestCase.processFile(java.io.File);3.022858984974205E-4;0.0013478745613459964;6.016194331983805;7.865587044534413;2470;2470
org.apache.wicket.markup.html.form.CheckBox.getConverter(java.lang.Class);4.2178150470403484E-4;0.0019397281129029942;3.0;14.1;10;10
org.apache.wicket.util.markup.xhtml.WellFormedXmlTest.markupFiles();0.002354067929784184;0.002496908915141538;1802.0;2279.1;10;10
org.apache.wicket.util.license.CssLicenseHeaderHandler.checkLicenseHeader(java.io.File);4.133950825725058E-6;6.949142782641804E-5;5.29;14.463636363636363;100;110
org.apache.wicket.markup.MarkupCache.loadMarkup(org.apache.wicket.MarkupContainer,org.apache.wicket.markup.MarkupResourceStream,boolean);0.553350665239977;0.008389011772107269;68.41686746987952;71.32285714285715;830;700
org.apache.wicket.util.license.PropertiesLicenseHeaderHandler.checkLicenseHeader(java.io.File);1.0260086056352156E-12;6.633414040280172E-9;4.5120689655172415;8.622033898305085;580;590
org.apache.wicket.markup.html.link.ResourceLink.getURL();0.009742552601633776;0.019109922206844376;9.1;18.5;10;10
org.apache.wicket.examples.ajax.prototype.Index();2.7443760079196207E-9;1.5705228423079642E-4;35.9;118.8;10;10
org.apache.wicket.markup.MarkupFactory.getMarkup(org.apache.wicket.MarkupContainer,java.lang.Class,boolean);0.24748030408794308;8.089364494257012E-6;2.4973984771573603;2.7325547445255474;31520;27400
org.apache.wicket.markup.loader.InheritedMarkupMarkupLoader.loadMarkup(org.apache.wicket.MarkupContainer,org.apache.wicket.markup.MarkupResourceStream,org.apache.wicket.markup.loader.IMarkupLoader,boolean);0.5106005805330385;0.00527723311753836;67.49638554216868;70.68;830;700
org.apache.wicket.Page.isPageStateless();0.638082184460348;0.002436135583144705;3.4182735426008968;3.580269058295964;8920;8920
org.apache.wicket.util.visit.Visits.visitChildren(java.lang.Iterable,org.apache.wicket.util.visit.IVisitor,org.apache.wicket.util.visit.IVisitFilter,org.apache.wicket.util.visit.Visit);0.33742563149661375;6.586309633793697E-5;0.7787351650138189;0.8352385238523853;123020;88880
org.apache.wicket.markup.MarkupCache.getMarkup(org.apache.wicket.MarkupContainer,java.lang.Class,boolean);0.1303223358459441;6.484811315821126E-6;2.3764276649746194;2.6736131386861315;31520;27400
org.apache.wicket.examples.niceurl.mounted.Page4(org.apache.wicket.request.mapper.parameter.PageParameters);3.964208455340795E-15;1.5705228423079642E-4;0.0;15.7;10;10
org.apache.wicket.util.markup.xhtml.WellFormedXmlTestCase.markupFiles();0.002354067929784184;0.002496908915141538;1802.0;2279.1;10;10
org.apache.wicket.Page.onInitialize();1.5565785270984048E-10;1.786527246283587E-5;3.330952380952381;17.073809523809523;420;420
org.apache.wicket.util.license.JavaLicenseHeaderHandler.checkLicenseHeader(java.io.File);1.3194080911976135E-96;0.0;3.1289473684210525;7.887467362924282;3800;3830
org.apache.wicket.MarkupContainer.onInitialize();2.4936638917399415E-13;1.3100631690576847E-14;1.1839014158363923;2.1196415235250186;19070;13390
org.apache.wicket.util.string.Entities.fillWithHtml40Entities(org.apache.wicket.util.string.Entities);4.8242697975623035E-5;2.323940482419351E-4;25.941666666666666;31.691666666666666;120;120
org.apache.wicket.markup.html.form.AbstractSingleSelectChoice.getModelValue();0.0034154176340053925;0.030463802722688782;0.0;7.1;20;20
org.apache.wicket.MarkupContainer.add(org.apache.wicket.Component[]);0.6019888972791161;0.0010199788280222943;5.999852670349908;6.230395480225988;27150;17700
org.apache.wicket.MarkupContainer.dequeue();4.866264691273878E-7;0.0;7.496188850967008;10.662475312705727;17580;15190
