# Unchanged methods (Rate method)
446
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.eclipse.jetty.servlet.AsyncServletLongPollTest.prepare(javax.servlet.http.HttpServlet);0.2854582784460785;0.8244957516547711;424.43333333333334;426.3666666666667;30;30
org.eclipse.jetty.servlet.ServletContextHandlerTest$2(org.eclipse.jetty.servlet.ServletContextHandlerTest);NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.io.WriteFlusher$WritingState();NaN;1.0;0.0;0.0;240;240
org.eclipse.jetty.server.handler.HandlerList();NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.servlet.AsyncServletTest.process(java.lang.String,java.lang.String);0.8951299881198762;0.5522757772372476;82.37843137254902;81.66470588235295;510;510
org.eclipse.jetty.servlet.FilterHolder$Config(org.eclipse.jetty.servlet.FilterHolder);NaN;1.0;0.0;0.0;120;120
org.eclipse.jetty.servlet.AsyncServletLongPollTest.testSuspendedRequestCompletedByAnotherRequest();2.1345366758149393E-13;2.953694488994074E-8;621.4;636.4333333333333;30;30
org.eclipse.jetty.servlet.DispatcherForwardTest$16(org.eclipse.jetty.servlet.DispatcherForwardTest);NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.servlet.FilterMapping();NaN;1.0;0.0;0.0;420;420
org.eclipse.jetty.io.WriteFlusher$State(org.eclipse.jetty.io.WriteFlusher.StateType);NaN;1.0;0.0;0.0;720;720
org.eclipse.jetty.io.ByteArrayEndPoint(org.eclipse.jetty.util.thread.Scheduler,long);NaN;1.0;0.0;0.0;4260;4260
org.eclipse.jetty.util.ConcurrentArrayQueue$1();NaN;1.0;0.0;0.0;120;120
org.eclipse.jetty.servlet.ServletHandler.updateMappings();0.9752258655630511;0.9898251723639994;1.02421875;1.0269972451790634;3840;3630
org.eclipse.jetty.server.Server.getSessionIdManager();NaN;1.0;0.0;0.0;120;120
org.eclipse.jetty.servlet.FilterHolder(org.eclipse.jetty.servlet.BaseHolder.Source);NaN;1.0;0.0;0.0;300;300
org.eclipse.jetty.server.handler.ContextHandler.getInitParameter(java.lang.String);NaN;1.0;0.0;0.0;720;720
org.eclipse.jetty.servlet.AsyncServletTest.testSuspendWaitComplete();0.7909689560869242;0.8244957516547711;62.333333333333336;62.36666666666667;30;30
org.eclipse.jetty.util.log.StdErrLog.debug(java.lang.String,java.lang.Object[]);NaN;1.0;0.0;0.0;4920;4920
org.eclipse.jetty.servlet.SSLAsyncIOServletTest$1(org.eclipse.jetty.servlet.SSLAsyncIOServletTest,byte[]);NaN;1.0;0.0;0.0;60;60
org.eclipse.jetty.util.statistic.SampleStatistic();NaN;1.0;0.0;0.0;120;120
org.eclipse.jetty.servlet.ServletContextHandler.getSecurityHandler();NaN;1.0;0.0;0.0;1050;960
org.eclipse.jetty.util.security.Password.toString();NaN;1.0;0.0;0.0;90;90
org.eclipse.jetty.servlet.ServletContextHandler(org.eclipse.jetty.server.HandlerContainer,java.lang.String,org.eclipse.jetty.server.session.SessionHandler,org.eclipse.jetty.security.SecurityHandler,org.eclipse.jetty.servlet.ServletHandler,org.eclipse.jetty.server.handler.ErrorHandler);NaN;1.0;0.0;0.0;420;420
org.eclipse.jetty.servlet.Holder.$SWITCH_TABLE$org$eclipse$jetty$servlet$BaseHolder$Source();NaN;1.0;0.0;0.0;4020;3840
org.eclipse.jetty.io.FillInterest.fillable();NaN;1.0;0.0;0.0;4260;4260
org.eclipse.jetty.server.AbstractConnector.getServer();NaN;1.0;0.0;0.0;720;630
org.eclipse.jetty.util.log.StdErrLog.getLoggingLevel(java.util.Properties,java.lang.String);0.9224123454248129;0.9893492851867711;0.12795031055900621;0.13072289156626507;4830;4980
org.eclipse.jetty.util.ArrayTernaryTrie(int);NaN;1.0;0.0;0.0;180;180
org.eclipse.jetty.util.IO.close(java.io.InputStream);NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.util.ssl.SslContextFactory.selectProtocols(java.lang.String[],java.lang.String[]);NaN;1.0;0.0;0.0;60;60
org.eclipse.jetty.util.ArrayUtil.asMutableList(java.lang.Object[]);NaN;1.0;0.0;0.0;360;300
org.eclipse.jetty.io.IdleTimeout.getIdleTimeout();NaN;1.0;0.0;0.0;4260;4260
org.eclipse.jetty.server.LocalConnector.executeRequest(java.nio.ByteBuffer);0.5686261605155885;0.7130806699483652;2.121830985915493;2.2103286384976526;4260;4260
org.eclipse.jetty.util.MemoryUtils$1.run();NaN;1.0;0.0;0.0;150;150
org.eclipse.jetty.servlet.ServletMapping.setDefault(boolean);NaN;1.0;0.0;0.0;960;870
org.eclipse.jetty.http.HttpHeader.getBytesColonSpace();NaN;1.0;0.0;0.0;6480;6480
org.eclipse.jetty.servlet.AsyncContextTest.testExpire();0.49178306794772064;0.9469559422255942;118.5;117.1;30;30
org.eclipse.jetty.server.AbstractConnectionFactory.getProtocol();NaN;1.0;0.0;0.0;2250;1320
org.eclipse.jetty.server.ShutdownMonitor.access$12(org.eclipse.jetty.server.ShutdownMonitor);NaN;1.0;0.0;0.0;990;870
org.eclipse.jetty.server.handler.HandlerCollection();NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.util.security.CertificateUtils.loadCRL(java.lang.String);NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.http.HttpStatus$Code.values();NaN;1.0;0.0;0.0;180;180
org.eclipse.jetty.servlet.DispatcherTest$ForwardFilter();NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.servlet.FilterHolder.initialize();0.9795152183860434;0.9792307937466099;1.825;1.8083333333333333;120;120
org.eclipse.jetty.http.HttpField(org.eclipse.jetty.http.HttpHeader,java.lang.String,java.lang.String);NaN;1.0;0.0;0.0;3420;3420
org.eclipse.jetty.server.SslConnectionFactory(org.eclipse.jetty.util.ssl.SslContextFactory,java.lang.String);NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.servlet.AsyncServletTest.testSuspendWaitResumeSuspendWaitResume();0.2164093828128616;0.25495317799825334;31.133333333333333;31.766666666666666;30;30
org.eclipse.jetty.server.handler.ContextHandler.getDisplayName();NaN;1.0;0.0;0.0;1050;930
org.eclipse.jetty.servlet.AsyncServletTest.testFwdStartDispatchPath();0.2674728894250461;0.3750436235586131;31.233333333333334;31.366666666666667;30;30
org.eclipse.jetty.io.ByteArrayEndPoint.isOutputShutdown();NaN;1.0;0.0;0.0;4260;4260
org.eclipse.jetty.server.session.AbstractSessionManager$1();NaN;1.0;0.0;0.0;60;60
org.eclipse.jetty.servlet.AsyncContextListenersTest$1(org.eclipse.jetty.servlet.AsyncContextListenersTest,java.util.concurrent.atomic.AtomicInteger);NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.server.handler.ContextHandler.shutdown();NaN;1.0;0.0;0.0;120;90
org.eclipse.jetty.util.BufferUtil.toString(java.nio.ByteBuffer,java.nio.charset.Charset);0.9584458916370068;0.999978913861371;0.0107981220657277;0.011267605633802818;4260;4260
org.eclipse.jetty.servlet.ServletContextHandler.addServlet(java.lang.Class,java.lang.String);0.6816802968767388;0.8847718483284248;3.121212121212121;3.212727272727273;1650;1650
org.eclipse.jetty.http.MimeTypes$Type.asString();NaN;1.0;0.0;0.0;1260;1260
org.eclipse.jetty.io.ByteArrayEndPoint.getOutput();NaN;1.0;0.0;0.0;4260;4260
org.eclipse.jetty.servlet.ServletContextHandler.destroyServlet(javax.servlet.Servlet);NaN;1.0;0.0;0.0;300;270
org.eclipse.jetty.servlet.AsyncContextListenersTest$3(org.eclipse.jetty.servlet.AsyncContextListenersTest,java.util.concurrent.atomic.AtomicInteger);NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.http.HttpField(org.eclipse.jetty.http.HttpHeader,java.lang.String);NaN;1.0;0.0;0.0;3420;180
org.eclipse.jetty.servlet.AsyncServletIOTest.testWritesFlushWrites();0.24122937656747412;0.31118764341027505;249.56666666666666;250.23333333333332;30;30
org.eclipse.jetty.servlet.AsyncServletTest.testSuspendOnTimeoutDispatch();0.7994089862947341;0.8244957516547711;218.43333333333334;218.46666666666667;30;30
org.eclipse.jetty.servlet.ServletContextHandler(org.eclipse.jetty.server.HandlerContainer,java.lang.String,boolean,boolean);NaN;1.0;0.0;0.0;420;330
org.eclipse.jetty.io.AbstractEndPoint$2(org.eclipse.jetty.io.AbstractEndPoint,org.eclipse.jetty.io.EndPoint);NaN;1.0;0.0;0.0;4260;4260
org.eclipse.jetty.io.FillInterest();1.0;1.0;0.003755868544600939;0.003755868544600939;4260;4260
org.eclipse.jetty.util.thread.QueuedThreadPool(int);NaN;1.0;0.0;0.0;720;630
org.eclipse.jetty.util.FutureCallback.isDone();NaN;1.0;0.0;0.0;480;360
org.eclipse.jetty.http.MimeTypes$Type.values();NaN;1.0;0.0;0.0;180;180
org.eclipse.jetty.servlet.ServletHandler.getServletMappings();NaN;1.0;0.0;0.0;3720;3540
org.eclipse.jetty.servlet.AsyncServletIOTest.testRead();1.0;1.0;327.53333333333336;327.53333333333336;30;30
org.eclipse.jetty.server.AbstractConnector.getAcceptors();NaN;1.0;0.0;0.0;1470;1230
org.eclipse.jetty.util.Uptime.getInstance();NaN;1.0;0.0;0.0;1140;1020
org.eclipse.jetty.servlet.ServletHolder.setInitOrder(int);NaN;1.0;0.0;0.0;90;90
org.eclipse.jetty.servlet.ServletHandler.getIdentityService();NaN;1.0;0.0;0.0;3870;3630
org.eclipse.jetty.servlet.DispatcherForwardTest$8(org.eclipse.jetty.servlet.DispatcherForwardTest);NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.servlet.DispatcherForwardTest$3(org.eclipse.jetty.servlet.DispatcherForwardTest);NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.util.log.Log$1();NaN;1.0;0.0;0.0;150;150
