# Degradated methods (Rate method)
173
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.eclipse.jetty.util.ArrayTernaryTrie(boolean,int);0.15752951925078007;0.9770188657106349;0.0;0.004287690179806363;7230;7230
org.eclipse.jetty.server.handler.ContextHandler.getAttribute(java.lang.String);0.5465623035394833;0.9104262082097934;0.125;0.25833333333333336;120;120
org.eclipse.jetty.util.thread.QueuedThreadPool.newThread(java.lang.Runnable);0.38944227129346054;0.8871938162171875;0.06075268817204301;0.07970430107526882;7440;7440
org.eclipse.jetty.util.thread.QueuedThreadPool.startThreads(int);0.4811100794777917;0.6842729696223918;2.5;2.761290322580645;930;930
org.eclipse.jetty.servlet.DispatcherForwardTest.testQueryAggregatesWithFormBeforeAndAfterForward();0.1782848112636889;0.6151959787448549;13.533333333333333;15.066666666666666;30;30
org.eclipse.jetty.util.component.ContainerLifeCycle.unmanage(java.lang.Object);0.3549491644826659;0.886032510750616;0.09242424242424242;0.16363636363636364;660;660
org.eclipse.jetty.servlet.ServletHandlerTest.testMatchAfterAndBefore();0.021993700762758674;0.13537778532322642;1.0666666666666667;4.666666666666667;30;30
org.eclipse.jetty.io.FillInterest.fillable();0.31736731850398137;0.9850297200113107;0.0;0.003755868544600939;4260;4260
org.eclipse.jetty.util.IO.close(java.io.OutputStream);0.317735577070935;0.9591052472396117;0.0;0.028070175438596492;570;570
org.eclipse.jetty.servlet.ServletHolder.isJspServlet();0.7156530461201311;0.9711211030725382;0.0412280701754386;0.054385964912280704;1140;1140
org.eclipse.jetty.servlet.AsyncContextTest.testStartFlushCompleteThrow();0.2619810170015786;0.4246622046508919;3.2;5.266666666666667;30;30
org.eclipse.jetty.util.component.ContainerLifeCycle.addBean(java.lang.Object,org.eclipse.jetty.util.component.ContainerLifeCycle.Managed);0.17174842276751423;0.7838248150098287;0.20015600624024962;0.22548101924076963;19230;19230
org.eclipse.jetty.servlet.BaseHolder.doStart();0.1678928672750596;0.9212976210912497;0.01640625;0.03671875;3840;3840
org.eclipse.jetty.util.component.AbstractLifeCycle.isStarted();0.08341024959217136;0.9860643967773997;0.0;0.00103954802259887;44250;44250
org.eclipse.jetty.util.component.ContainerLifeCycle.contains(java.lang.Object);0.26573774856959287;0.9086251934364353;0.04940197607904316;0.05985439417576703;19230;19230
org.eclipse.jetty.servlet.DispatcherTest.testServletForward();0.18605716012188855;0.16914646155849122;5.7;8.4;30;30
org.eclipse.jetty.util.MemoryUtils$1.run();0.3189317446414355;0.9204763141807307;0.0;0.10666666666666667;150;150
org.eclipse.jetty.server.handler.ContextHandler.getDisplayName();0.3175551080132787;0.9689580605692488;0.0;0.01616161616161616;990;990
org.eclipse.jetty.util.thread.ScheduledExecutorScheduler$1.newThread(java.lang.Runnable);0.27790681081447133;0.8966582569448835;0.05675675675675676;0.0918918918918919;2220;2220
org.eclipse.jetty.server.handler.ContextHandler$Context.getAttributeNames();0.6872477851347625;0.9289747982188161;0.17777777777777778;0.25555555555555554;180;180
org.eclipse.jetty.util.DateCache.formatTick(long);0.40016048454052455;0.7752423203460109;0.42;0.7;150;150
org.eclipse.jetty.io.ArrayByteBufferPool$Bucket(int);0.6632860972163556;0.9966379743132705;3.6695075757575755E-4;5.445075757575758E-4;84480;84480
org.eclipse.jetty.util.component.ContainerLifeCycle.$SWITCH_TABLE$org$eclipse$jetty$util$component$ContainerLifeCycle$Managed();0.15730270125567702;0.9886598399483164;0.0;0.0010774410774410774;29700;29700
org.eclipse.jetty.server.LocalConnector$LocalEndPoint(org.eclipse.jetty.server.LocalConnector);0.3675061458588904;0.9551137413611824;0.014788732394366197;0.025821596244131457;4260;4260
org.eclipse.jetty.servlet.DefaultServletTest.getHeaderValue(java.lang.String,java.lang.String);0.15838425897568176;0.8234246789710753;0.0;0.25833333333333336;120;120
org.eclipse.jetty.servlet.DispatcherForwardTest.testQueryMergedByForwardWithQuery();0.7365648719009926;0.40353753915408586;9.9;10.566666666666666;30;30
org.eclipse.jetty.server.handler.AbstractHandlerContainer.expandHandler(org.eclipse.jetty.server.Handler,java.util.List,java.lang.Class);0.789938996675482;0.9883937217715391;0.01327683615819209;0.015395480225988701;7080;7080
org.eclipse.jetty.server.handler.ContextHandler$Context.getContext(java.lang.String);0.15460724850453356;0.48713803171001935;0.5;2.1333333333333333;30;30
