# Unchanged scenarios (Rate method)
47
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
Entry point for ServletHandlerTest.testAllNonProgrammaticFilterMappings;0.7797390315846515;0.8015549378818438;58.266666666666666;58.766666666666666;30;30
Entry point for AsyncServletTest.testNormal;NaN;1.0;0.0;0.0;30;30
Entry point for AsyncServletTest.testSuspendTimeoutSuspend;0.2687288027394068;0.4825169043645009;46.266666666666666;46.833333333333336;30;30
Entry point for AsyncServletTest.testSuspendWaitComplete;0.7909689560869242;0.8244957516547711;62.333333333333336;62.36666666666667;30;30
Entry point for AsyncServletIOTest.testBigWrites;0.2028489877109958;0.26750270341605387;2433.6;2433.4333333333334;30;30
Entry point for AsyncServletTest.testSuspendOnTimeoutComplete;0.44068104996915947;0.5058591780795983;218.36666666666667;218.46666666666667;30;30
Entry point for AsyncServletTest.testFwdWrapStartDispatchPath;0.567060380306295;0.6573804271100814;31.233333333333334;31.3;30;30
Entry point for AsyncServletTest.testSuspendWaitResume;0.2998657164002356;0.3750436235586131;15.533333333333333;15.666666666666666;30;30
Entry point for AsyncServletIOTest.testWritesFlushWrites;0.7948493229193064;0.8244957516547711;249.63333333333333;249.6;30;30
Entry point for AsyncServletTest.testSuspendOnTimeoutDispatch;0.7994089862947341;0.8244957516547711;218.43333333333334;218.46666666666667;30;30
Entry point for AsyncIOServletTest.testAsyncWriteClosed;0.9556972289882192;0.6256305639654388;129.0;128.9;30;30
Entry point for DispatcherForwardTest.testQueryRetainedByForwardWithoutQuery;1.8301680188083889E-6;2.8719471245608474E-11;569.2666666666667;597.3333333333334;30;30
Entry point for AsyncServletLongPollTest.testSuspendedRequestCompletedByAnotherRequest;2.349075803701639E-10;7.31597272540796E-7;620.3666666666667;634.6;30;30
Entry point for DefaultServletTest.testGzip;0.2917847630487108;0.5692201637415295;15.566666666666666;16.133333333333333;30;30
Entry point for DispatcherTest.testForwardFilterToRogerServlet;0.8755473940833933;0.6467245773434842;27.166666666666668;27.533333333333335;30;30
Entry point for DefaultServletTest.testIfETagLarge;0.5387966556435004;0.4825169043645009;44.13333333333333;42.266666666666666;30;30
Entry point for DefaultServletTest.testListingContextBreakout;0.08303068488413398;0.16237502241276713;49.333333333333336;47.166666666666664;30;30
Entry point for AsyncServletTest.testFwdStartDispatchPath;0.37970864050601627;0.5058591780795983;31.2;31.3;30;30
Entry point for AsyncServletTest.testSuspendResume;NaN;1.0;0.0;0.0;30;30
Entry point for DispatcherTest.testServletInclude;0.2961787497712707;0.5894511694056184;15.566666666666666;15.0;30;30
Entry point for ServletHandlerTest.testExistingFilterMappings;0.9592950151507246;0.8244957516547711;5.2;5.3;30;30
Entry point for DispatcherForwardTest.testQueryAggregatesWithFormBeforeAndAfterForward;1.0;1.0;13.533333333333333;13.533333333333333;30;30
Entry point for AsyncServletTest.testSuspendWaitResumeSuspend;0.3983244898323688;0.6573804271100814;31.133333333333333;31.066666666666666;30;30
Entry point for AsyncServletIOTest.testBigRead;0.444832769289486;0.5058591780795983;327.6;327.5;30;30
Entry point for AsyncServletTest.testSuspendWaitResumeSuspendComplete;1.0;1.0;31.166666666666668;31.166666666666668;30;30
Entry point for AsyncServletIOTest.testRead;1.0;1.0;327.56666666666666;327.56666666666666;30;30
